query_name,sequence_id,document_signature,plan_signature,plan_structural_cost,plan_utility,document_utility_contribution
Q1_CompanyProfileIBM,Q1_S1,Corporation,Corporation,11.0,0.083333333333,0.083333333333
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S1,Corporation|{Industry},Corporation|{Industry},12.5,0.074074074074,0.074074074074
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S1,Corporation,Corporation -> Industry,27.0,0.035714285714,0.017857142857
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S1,Industry,Corporation -> Industry,27.0,0.035714285714,0.017857142857
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S2,Corporation|{Country},Corporation|{Country},12.5,0.074074074074,0.074074074074
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S2,Corporation,Corporation -> Country,27.0,0.035714285714,0.017857142857
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S2,Country,Corporation -> Country,27.0,0.035714285714,0.017857142857
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,Corporation|{Security|{ListedSecurity}},Corporation|{Security|{ListedSecurity}},13.75,0.067796610169,0.067796610169
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,Corporation,Corporation -> Security|{ListedSecurity},28.5,0.033898305085,0.016949152542
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,Security|{ListedSecurity},Corporation -> Security|{ListedSecurity},28.5,0.033898305085,0.016949152542
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,Corporation|{Security},Corporation|{Security} -> ListedSecurity,28.5,0.033898305085,0.016949152542
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,ListedSecurity,Corporation|{Security} -> ListedSecurity,28.5,0.033898305085,0.016949152542
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,Corporation,Corporation -> Security -> ListedSecurity,43.0,0.022727272727,0.007575757576
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,Security,Corporation -> Security -> ListedSecurity,43.0,0.022727272727,0.007575757576
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,ListedSecurity,Corporation -> Security -> ListedSecurity,43.0,0.022727272727,0.007575757576
