target_collection,document_signature,root_entity,root_source_view,root_count,embedding_steps,estimated_worst_case_bson_bytes,estimated_worst_case_bson_mb,risk_label,max_child_summary
dbsr_rank01_listedsecurity,ListedSecurity,ListedSecurity,fiben_listed_securities,2745,0,210,0.0002,low_risk,[]
dbsr_rank02_transaction_listedsecurity,Transaction|{ListedSecurity},Transaction,fiben_transactions,500000,1,494,0.000471,low_risk,"[{""relationship_id"": ""transaction_refers_to_listed_security"", ""parent_entity"": ""Transaction"", ""child_entity"": ""ListedSecurity"", ""child_source_view"": ""fiben_listed_securities"", ""child_join_column"": ""LISTEDSECURITYID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""1002876"", ""child_count"": 1}, {""join_value"": ""1002477"", ""child_count"": 1}, {""join_value"": ""1003431"", ""child_count"": 1}, {""join_value"": ""1004171"", ""child_count"": 1}, {""join_value"": ""1003692"", ""child_count"": 1}]}]"
dbsr_rank03_corporation,Corporation,Corporation,fiben_corporations,2324,0,176,0.000168,low_risk,[]
dbsr_rank04_person,Person,Person,fiben_persons,50100,0,263,0.000251,low_risk,[]
dbsr_rank05_corporation_country,Corporation|{Country},Corporation,fiben_corporations,2324,1,285,0.000272,low_risk,"[{""relationship_id"": ""corporation_has_country"", ""parent_entity"": ""Corporation"", ""child_entity"": ""Country"", ""child_source_view"": ""fiben_countries"", ""child_join_column"": ""COUNTRYID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""73"", ""child_count"": 1}, {""join_value"": ""158"", ""child_count"": 1}, {""join_value"": ""99"", ""child_count"": 1}, {""join_value"": ""217"", ""child_count"": 1}, {""join_value"": ""20"", ""child_count"": 1}]}]"
dbsr_rank06_corporation_industry,Corporation|{Industry},Corporation,fiben_corporations,2324,1,424,0.000404,low_risk,"[{""relationship_id"": ""corporation_has_industry"", ""parent_entity"": ""Corporation"", ""child_entity"": ""Industry"", ""child_source_view"": ""fiben_industries"", ""child_join_column"": ""INDUSTRYSECTORCLASSIFIERID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""3613"", ""child_count"": 1}, {""join_value"": ""5040"", ""child_count"": 1}, {""join_value"": ""3842"", ""child_count"": 1}, {""join_value"": ""6531"", ""child_count"": 1}, {""join_value"": ""3541"", ""child_count"": 1}]}]"
dbsr_rank07_financialserviceaccount_holding_listedsecurity,FinancialServiceAccount|{Holding|{ListedSecurity}},FinancialServiceAccount,fiben_financial_service_accounts,97270,2,4240,0.004044,low_risk,"[{""relationship_id"": ""account_has_holding"", ""parent_entity"": ""FinancialServiceAccount"", ""child_entity"": ""Holding"", ""child_source_view"": ""fiben_holdings"", ""child_join_column"": ""ISHELDBY"", ""max_children"": 10, ""avg_children_when_present"": 5.494736301017785, ""top_parent_values"": [{""join_value"": ""150000010984"", ""child_count"": 10}, {""join_value"": ""150000071104"", ""child_count"": 10}, {""join_value"": ""150000013403"", ""child_count"": 10}, {""join_value"": ""150000018436"", ""child_count"": 10}, {""join_value"": ""150000002099"", ""child_count"": 10}]}, {""relationship_id"": ""holding_refers_to_listed_security"", ""parent_entity"": ""Holding"", ""child_entity"": ""ListedSecurity"", ""child_source_view"": ""fiben_listed_securities"", ""child_join_column"": ""LISTEDSECURITYID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""1002876"", ""child_count"": 1}, {""join_value"": ""1002477"", ""child_count"": 1}, {""join_value"": ""1003431"", ""child_count"": 1}, {""join_value"": ""1004171"", ""child_count"": 1}, {""join_value"": ""1003692"", ""child_count"": 1}]}]"
dbsr_rank08_corporation_security_listedsecurity,Corporation|{Security|{ListedSecurity}},Corporation,fiben_corporations,2324,2,4817,0.004594,low_risk,"[{""relationship_id"": ""corporation_has_security"", ""parent_entity"": ""Corporation"", ""child_entity"": ""Security"", ""child_source_view"": ""fiben_securities"", ""child_join_column"": ""ISPROVIDEDBY"", ""max_children"": 13, ""avg_children_when_present"": 1.1811531841652323, ""top_parent_values"": [{""join_value"": ""2085"", ""child_count"": 13}, {""join_value"": ""2688"", ""child_count"": 13}, {""join_value"": ""2091"", ""child_count"": 10}, {""join_value"": ""2557"", ""child_count"": 10}, {""join_value"": ""1034"", ""child_count"": 8}]}, {""relationship_id"": ""security_has_listed_security"", ""parent_entity"": ""Security"", ""child_entity"": ""ListedSecurity"", ""child_source_view"": ""fiben_listed_securities"", ""child_join_column"": ""LISTEDSECURITYID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""1002876"", ""child_count"": 1}, {""join_value"": ""1002477"", ""child_count"": 1}, {""join_value"": ""1003431"", ""child_count"": 1}, {""join_value"": ""1004171"", ""child_count"": 1}, {""join_value"": ""1003692"", ""child_count"": 1}]}]"
dbsr_rank09_financialserviceaccount_transaction_listedsecurity,FinancialServiceAccount|{Transaction|{ListedSecurity}},FinancialServiceAccount,fiben_financial_service_accounts,97270,2,8124,0.007748,low_risk,"[{""relationship_id"": ""account_records_transaction"", ""parent_entity"": ""FinancialServiceAccount"", ""child_entity"": ""Transaction"", ""child_source_view"": ""fiben_transactions"", ""child_join_column"": ""ISFACILITATEDBY"", ""max_children"": 16, ""avg_children_when_present"": 5.169027189083015, ""top_parent_values"": [{""join_value"": ""150000008362"", ""child_count"": 16}, {""join_value"": ""150000006411"", ""child_count"": 16}, {""join_value"": ""150000068991"", ""child_count"": 16}, {""join_value"": ""150000061722"", ""child_count"": 16}, {""join_value"": ""150000066523"", ""child_count"": 16}]}, {""relationship_id"": ""transaction_refers_to_listed_security"", ""parent_entity"": ""Transaction"", ""child_entity"": ""ListedSecurity"", ""child_source_view"": ""fiben_listed_securities"", ""child_join_column"": ""LISTEDSECURITYID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""1002876"", ""child_count"": 1}, {""join_value"": ""1002477"", ""child_count"": 1}, {""join_value"": ""1003431"", ""child_count"": 1}, {""join_value"": ""1004171"", ""child_count"": 1}, {""join_value"": ""1003692"", ""child_count"": 1}]}]"
dbsr_rank10_person_financialserviceaccount_transaction,Person|{FinancialServiceAccount|{Transaction}},Person,fiben_persons,50100,2,33611,0.032054,low_risk,"[{""relationship_id"": ""person_owns_financial_service_account"", ""parent_entity"": ""Person"", ""child_entity"": ""FinancialServiceAccount"", ""child_source_view"": ""fiben_financial_service_accounts"", ""child_join_column"": ""ISOWNEDBY"", ""max_children"": 7, ""avg_children_when_present"": 1.9454, ""top_parent_values"": [{""join_value"": ""400000019814"", ""child_count"": 7}, {""join_value"": ""400000031979"", ""child_count"": 7}, {""join_value"": ""400000046166"", ""child_count"": 7}, {""join_value"": ""400000020179"", ""child_count"": 7}, {""join_value"": ""400000035204"", ""child_count"": 7}]}, {""relationship_id"": ""account_records_transaction"", ""parent_entity"": ""FinancialServiceAccount"", ""child_entity"": ""Transaction"", ""child_source_view"": ""fiben_transactions"", ""child_join_column"": ""ISFACILITATEDBY"", ""max_children"": 16, ""avg_children_when_present"": 5.169027189083015, ""top_parent_values"": [{""join_value"": ""150000008362"", ""child_count"": 16}, {""join_value"": ""150000006411"", ""child_count"": 16}, {""join_value"": ""150000068991"", ""child_count"": 16}, {""join_value"": ""150000061722"", ""child_count"": 16}, {""join_value"": ""150000066523"", ""child_count"": 16}]}]"
dbsr_rank11_person_financialserviceaccount_holding,Person|{FinancialServiceAccount|{Holding}},Person,fiben_persons,50100,2,15243,0.014537,low_risk,"[{""relationship_id"": ""person_owns_financial_service_account"", ""parent_entity"": ""Person"", ""child_entity"": ""FinancialServiceAccount"", ""child_source_view"": ""fiben_financial_service_accounts"", ""child_join_column"": ""ISOWNEDBY"", ""max_children"": 7, ""avg_children_when_present"": 1.9454, ""top_parent_values"": [{""join_value"": ""400000019814"", ""child_count"": 7}, {""join_value"": ""400000031979"", ""child_count"": 7}, {""join_value"": ""400000046166"", ""child_count"": 7}, {""join_value"": ""400000020179"", ""child_count"": 7}, {""join_value"": ""400000035204"", ""child_count"": 7}]}, {""relationship_id"": ""account_has_holding"", ""parent_entity"": ""FinancialServiceAccount"", ""child_entity"": ""Holding"", ""child_source_view"": ""fiben_holdings"", ""child_join_column"": ""ISHELDBY"", ""max_children"": 10, ""avg_children_when_present"": 5.494736301017785, ""top_parent_values"": [{""join_value"": ""150000010984"", ""child_count"": 10}, {""join_value"": ""150000071104"", ""child_count"": 10}, {""join_value"": ""150000013403"", ""child_count"": 10}, {""join_value"": ""150000018436"", ""child_count"": 10}, {""join_value"": ""150000002099"", ""child_count"": 10}]}]"
dbsr_rank12_listedsecurity_security_corporation,ListedSecurity|{Security|{Corporation}},ListedSecurity,fiben_listed_securities,2745,2,533,0.000508,low_risk,"[{""relationship_id"": ""security_has_listed_security"", ""parent_entity"": ""ListedSecurity"", ""child_entity"": ""Security"", ""child_source_view"": ""fiben_securities"", ""child_join_column"": ""ISTRADEDON"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""1002876"", ""child_count"": 1}, {""join_value"": ""1002477"", ""child_count"": 1}, {""join_value"": ""1003431"", ""child_count"": 1}, {""join_value"": ""1004171"", ""child_count"": 1}, {""join_value"": ""1003692"", ""child_count"": 1}]}, {""relationship_id"": ""corporation_has_security"", ""parent_entity"": ""Security"", ""child_entity"": ""Corporation"", ""child_source_view"": ""fiben_corporations"", ""child_join_column"": ""CORPORATIONID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""2777"", ""child_count"": 1}, {""join_value"": ""2454"", ""child_count"": 1}, {""join_value"": ""2273"", ""child_count"": 1}, {""join_value"": ""2246"", ""child_count"": 1}, {""join_value"": ""2674"", ""child_count"": 1}]}]"
dbsr_rank13_financialreport_reportelement_statementelement,FinancialReport|{ReportElement|{StatementElement}},FinancialReport,fiben_reports,48301,2,522936,0.498711,low_risk,"[{""relationship_id"": ""financial_report_contains_report_element"", ""parent_entity"": ""FinancialReport"", ""child_entity"": ""ReportElement"", ""child_source_view"": ""fiben_report_elements"", ""child_join_column"": ""ISMEMBEROF"", ""max_children"": 822, ""avg_children_when_present"": 168.44201049640094, ""top_parent_values"": [{""join_value"": ""1033789"", ""child_count"": 822}, {""join_value"": ""1061661"", ""child_count"": 806}, {""join_value"": ""1090466"", ""child_count"": 766}, {""join_value"": ""1116116"", ""child_count"": 754}, {""join_value"": ""1033594"", ""child_count"": 742}]}, {""relationship_id"": ""report_element_has_statement_element"", ""parent_entity"": ""ReportElement"", ""child_entity"": ""StatementElement"", ""child_source_view"": ""fiben_statement_elements"", ""child_join_column"": ""ELEMENTOFFINANCIALSTATEMENTID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""52914671"", ""child_count"": 1}, {""join_value"": ""19099705"", ""child_count"": 1}, {""join_value"": ""45465717"", ""child_count"": 1}, {""join_value"": ""32713029"", ""child_count"": 1}, {""join_value"": ""51028568"", ""child_count"": 1}]}]"
