document_id,signature,root_entity,height_edges,max_width,entities_json,tree_json
D1,Corporation,Corporation,0,0,"[""Corporation""]","{""entity"": ""Corporation"", ""children"": []}"
D2,Corporation|{Country},Corporation,1,1,"[""Corporation"", ""Country""]","{""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}"
D3,Corporation|{FinancialReport|{ReportElement}},Corporation,2,1,"[""Corporation"", ""FinancialReport"", ""ReportElement""]","{""entity"": ""Corporation"", ""children"": [{""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": []}]}]}"
D4,Corporation|{FinancialReport},Corporation,1,1,"[""Corporation"", ""FinancialReport""]","{""entity"": ""Corporation"", ""children"": [{""entity"": ""FinancialReport"", ""children"": []}]}"
D5,Corporation|{Industry},Corporation,1,1,"[""Corporation"", ""Industry""]","{""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}"
D6,Corporation|{Security|{ListedSecurity}},Corporation,2,1,"[""Corporation"", ""Security"", ""ListedSecurity""]","{""entity"": ""Corporation"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}"
D7,Corporation|{Security},Corporation,1,1,"[""Corporation"", ""Security""]","{""entity"": ""Corporation"", ""children"": [{""entity"": ""Security"", ""children"": []}]}"
D8,Country,Country,0,0,"[""Country""]","{""entity"": ""Country"", ""children"": []}"
D9,FinancialReport,FinancialReport,0,0,"[""FinancialReport""]","{""entity"": ""FinancialReport"", ""children"": []}"
D10,FinancialReport|{ReportElement|{StatementElement}},FinancialReport,2,1,"[""FinancialReport"", ""ReportElement"", ""StatementElement""]","{""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}]}"
D11,FinancialReport|{ReportElement},FinancialReport,1,1,"[""FinancialReport"", ""ReportElement""]","{""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": []}]}"
D12,FinancialServiceAccount,FinancialServiceAccount,0,0,"[""FinancialServiceAccount""]","{""entity"": ""FinancialServiceAccount"", ""children"": []}"
D13,FinancialServiceAccount|{Holding|{ListedSecurity}},FinancialServiceAccount,2,1,"[""FinancialServiceAccount"", ""Holding"", ""ListedSecurity""]","{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}"
D14,FinancialServiceAccount|{Holding},FinancialServiceAccount,1,1,"[""FinancialServiceAccount"", ""Holding""]","{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}"
