query_name,sequence_id,frequency,step_count,plan_signature,filters_json,required_secondary_indexes,origin,steps_json
Q1_CompanyProfileIBM,Q1_S1,1.0,1,Corporation,{},[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S1,1.0,1,Corporation|{Industry},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S1,1.0,2,Corporation -> Industry,{},[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Industry"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S2,1.0,1,Corporation|{Country},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S2,1.0,2,Corporation -> Country,{},[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Country"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,1,Corporation|{Security|{ListedSecurity}},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,2,Corporation -> Security|{ListedSecurity},{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,2,Corporation|{Security} -> ListedSecurity,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,3,Corporation -> Security -> ListedSecurity,{},[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,1,FinancialServiceAccount|{Holding|{ListedSecurity}},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]"
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,2,FinancialServiceAccount -> Holding|{ListedSecurity},{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]"
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,2,FinancialServiceAccount|{Holding} -> ListedSecurity,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,3,FinancialServiceAccount -> Holding -> ListedSecurity,{},[],initial_single_level_documents,"[{""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,2,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity|{Security|{Corporation}},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,Person -> FinancialServiceAccount|{Holding|{ListedSecurity}} -> Security|{Corporation},{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
