query_name,sequence_id,frequency,step_count,plan_signature,required_secondary_indexes,origin,steps_json
Q1_CompanyProfileIBM,Q1_S1,1.0,1,Corporation,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S1,1.0,2,Corporation -> Industry,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Industry"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S2,1.0,2,Corporation -> Country,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Country"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,3,Corporation -> Security -> ListedSecurity,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,3,FinancialServiceAccount -> Holding -> ListedSecurity,[],initial_single_level_documents,"[{""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,6,Person -> FinancialServiceAccount -> Holding -> ListedSecurity -> Security -> Corporation,[],initial_single_level_documents,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,4,Corporation -> FinancialReport -> ReportElement -> StatementElement,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": []}, {""entity"": ""ReportElement"", ""children"": []}, {""entity"": ""StatementElement"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,4,ListedSecurity -> Security -> Corporation -> Industry,[],initial_single_level_documents,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Industry"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,4,ListedSecurity -> Security -> Corporation -> Country,[],initial_single_level_documents,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Country"", ""children"": []}]"
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,4,Person -> FinancialServiceAccount -> Transaction -> ListedSecurity,[],initial_single_level_documents,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Transaction"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S2,1.0,4,Person -> FinancialServiceAccount -> Transaction -> ListedSecurity,[],initial_single_level_documents,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Transaction"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q8_IBMTransactionsBelowAverageSellingPrice,Q8_S1,1.0,2,Transaction -> ListedSecurity,[],initial_single_level_documents,"[{""entity"": ""Transaction"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q8_IBMTransactionsBelowAverageSellingPrice,Q8_S2,1.0,2,Transaction -> ListedSecurity,[],initial_single_level_documents,"[{""entity"": ""Transaction"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S1,1.0,4,Person -> FinancialServiceAccount -> Transaction -> ListedSecurity,[],initial_single_level_documents,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Transaction"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S2,1.0,4,Person -> FinancialServiceAccount -> Transaction -> ListedSecurity,[],initial_single_level_documents,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Transaction"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
