rank,target_collection,document_signature,root_entity,root_source_view,root_primary_key,tree_entities,source_collections,embedding_steps_count,relationship_ids,missing_relationships_count,materialization_strategy,materialization_status,queries_covered,sequences_covered,total_utility
1,dbsr_rank01_listedsecurity,ListedSecurity,ListedSecurity,fiben_listed_securities,LISTEDSECURITYID,"[""ListedSecurity""]","[{""entity"": ""ListedSecurity"", ""source_view"": ""fiben_listed_securities"", ""primary_key"": ""LISTEDSECURITYID""}]",0,,0,root_scan_then_nested_lookup_embedding,planned_single_entity_collection,7,11,0.24699892254
2,dbsr_rank02_transaction_listedsecurity,Transaction|{ListedSecurity},Transaction,fiben_transactions,SECURITIESTRANSACTIONID,"[""Transaction"", ""ListedSecurity""]","[{""entity"": ""Transaction"", ""source_view"": ""fiben_transactions"", ""primary_key"": ""SECURITIESTRANSACTIONID""}, {""entity"": ""ListedSecurity"", ""source_view"": ""fiben_listed_securities"", ""primary_key"": ""LISTEDSECURITYID""}]",1,transaction_refers_to_listed_security,0,root_scan_then_nested_lookup_embedding,planned_nested_embedding,3,6,0.239945244797
3,dbsr_rank03_corporation,Corporation,Corporation,fiben_corporations,CORPORATIONID,"[""Corporation""]","[{""entity"": ""Corporation"", ""source_view"": ""fiben_corporations"", ""primary_key"": ""CORPORATIONID""}]",0,,0,root_scan_then_nested_lookup_embedding,planned_single_entity_collection,4,6,0.181393169286
4,dbsr_rank04_person,Person,Person,fiben_persons,PERSONID,"[""Person""]","[{""entity"": ""Person"", ""source_view"": ""fiben_persons"", ""primary_key"": ""PERSONID""}]",0,,0,root_scan_then_nested_lookup_embedding,planned_single_entity_collection,3,5,0.136620850758
5,dbsr_rank05_corporation_country,Corporation|{Country},Corporation,fiben_corporations,CORPORATIONID,"[""Corporation"", ""Country""]","[{""entity"": ""Corporation"", ""source_view"": ""fiben_corporations"", ""primary_key"": ""CORPORATIONID""}, {""entity"": ""Country"", ""source_view"": ""fiben_countries"", ""primary_key"": ""COUNTRYID""}]",1,corporation_has_country,0,root_scan_then_nested_lookup_embedding,planned_nested_embedding,2,2,0.097529113658
6,dbsr_rank06_corporation_industry,Corporation|{Industry},Corporation,fiben_corporations,CORPORATIONID,"[""Corporation"", ""Industry""]","[{""entity"": ""Corporation"", ""source_view"": ""fiben_corporations"", ""primary_key"": ""CORPORATIONID""}, {""entity"": ""Industry"", ""source_view"": ""fiben_industries"", ""primary_key"": ""INDUSTRYSECTORCLASSIFIERID""}]",1,corporation_has_industry,0,root_scan_then_nested_lookup_embedding,planned_nested_embedding,2,2,0.097529113658
7,dbsr_rank07_financialserviceaccount_holding_listedsecurity,FinancialServiceAccount|{Holding|{ListedSecurity}},FinancialServiceAccount,fiben_financial_service_accounts,FINANCIALSERVICEACCOUNTID,"[""FinancialServiceAccount"", ""Holding"", ""ListedSecurity""]","[{""entity"": ""FinancialServiceAccount"", ""source_view"": ""fiben_financial_service_accounts"", ""primary_key"": ""FINANCIALSERVICEACCOUNTID""}, {""entity"": ""Holding"", ""source_view"": ""fiben_holdings"", ""primary_key"": ""HOLDINGID""}, {""entity"": ""ListedSecurity"", ""source_view"": ""fiben_listed_securities"", ""primary_key"": ""LISTEDSECURITYID""}]",2,account_has_holding;holding_refers_to_listed_security,0,root_scan_then_nested_lookup_embedding,planned_nested_embedding,2,2,0.074705073036
8,dbsr_rank08_corporation_security_listedsecurity,Corporation|{Security|{ListedSecurity}},Corporation,fiben_corporations,CORPORATIONID,"[""Corporation"", ""Security"", ""ListedSecurity""]","[{""entity"": ""Corporation"", ""source_view"": ""fiben_corporations"", ""primary_key"": ""CORPORATIONID""}, {""entity"": ""Security"", ""source_view"": ""fiben_securities"", ""primary_key"": ""SECURITYID""}, {""entity"": ""ListedSecurity"", ""source_view"": ""fiben_listed_securities"", ""primary_key"": ""LISTEDSECURITYID""}]",2,corporation_has_security;security_has_listed_security,0,root_scan_then_nested_lookup_embedding,planned_nested_embedding,1,1,0.067796610169
9,dbsr_rank09_financialserviceaccount_transaction_listedsecurity,FinancialServiceAccount|{Transaction|{ListedSecurity}},FinancialServiceAccount,fiben_financial_service_accounts,FINANCIALSERVICEACCOUNTID,"[""FinancialServiceAccount"", ""Transaction"", ""ListedSecurity""]","[{""entity"": ""FinancialServiceAccount"", ""source_view"": ""fiben_financial_service_accounts"", ""primary_key"": ""FINANCIALSERVICEACCOUNTID""}, {""entity"": ""Transaction"", ""source_view"": ""fiben_transactions"", ""primary_key"": ""SECURITIESTRANSACTIONID""}, {""entity"": ""ListedSecurity"", ""source_view"": ""fiben_listed_securities"", ""primary_key"": ""LISTEDSECURITYID""}]",2,account_records_transaction;transaction_refers_to_listed_security,0,root_scan_then_nested_lookup_embedding,planned_nested_embedding,2,4,0.064516129032
10,dbsr_rank10_person_financialserviceaccount_transaction,Person|{FinancialServiceAccount|{Transaction}},Person,fiben_persons,PERSONID,"[""Person"", ""FinancialServiceAccount"", ""Transaction""]","[{""entity"": ""Person"", ""source_view"": ""fiben_persons"", ""primary_key"": ""PERSONID""}, {""entity"": ""FinancialServiceAccount"", ""source_view"": ""fiben_financial_service_accounts"", ""primary_key"": ""FINANCIALSERVICEACCOUNTID""}, {""entity"": ""Transaction"", ""source_view"": ""fiben_transactions"", ""primary_key"": ""SECURITIESTRANSACTIONID""}]",2,person_owns_financial_service_account;account_records_transaction,0,root_scan_then_nested_lookup_embedding,planned_nested_embedding,2,4,0.064516129032
