rank,target_collection,document_signature,root_entity,source_views_count,embedding_steps_count,expected_operations,errors_count,warnings_count,status,errors,warnings
1,dbsr_rank01_listedsecurity,ListedSecurity,ListedSecurity,1,0,1,0,0,passed,,
2,dbsr_rank02_transaction_listedsecurity,Transaction|{ListedSecurity},Transaction,2,1,2,0,0,passed,,
3,dbsr_rank03_corporation,Corporation,Corporation,1,0,1,0,0,passed,,
4,dbsr_rank04_person,Person,Person,1,0,1,0,0,passed,,
5,dbsr_rank05_corporation_country,Corporation|{Country},Corporation,2,1,2,0,0,passed,,
6,dbsr_rank06_corporation_industry,Corporation|{Industry},Corporation,2,1,2,0,0,passed,,
7,dbsr_rank07_financialserviceaccount_holding_listedsecurity,FinancialServiceAccount|{Holding|{ListedSecurity}},FinancialServiceAccount,3,2,3,0,0,passed,,
8,dbsr_rank08_corporation_security_listedsecurity,Corporation|{Security|{ListedSecurity}},Corporation,3,2,3,0,0,passed,,
9,dbsr_rank09_financialserviceaccount_transaction_listedsecurity,FinancialServiceAccount|{Transaction|{ListedSecurity}},FinancialServiceAccount,3,2,3,0,0,passed,,
10,dbsr_rank10_person_financialserviceaccount_transaction,Person|{FinancialServiceAccount|{Transaction}},Person,3,2,3,0,0,passed,,
11,dbsr_rank11_person_financialserviceaccount_holding,Person|{FinancialServiceAccount|{Holding}},Person,3,2,3,0,0,passed,,
12,dbsr_rank12_listedsecurity_security_corporation,ListedSecurity|{Security|{Corporation}},ListedSecurity,3,2,3,0,0,passed,,
13,dbsr_rank13_financialreport_reportelement_statementelement,FinancialReport|{ReportElement|{StatementElement}},FinancialReport,3,2,3,0,0,passed,,
14,dbsr_rank14_security_corporation_industry,Security|{Corporation|{Industry}},Security,3,2,3,0,0,passed,,
15,dbsr_rank15_security_corporation_country,Security|{Corporation|{Country}},Security,3,2,3,0,0,passed,,
