operation_order,target_collection,operation_type,source_view,entity,join_description
1,dbsr_rank01_listedsecurity,root_scan,fiben_listed_securities,ListedSecurity,
1,dbsr_rank02_transaction_listedsecurity,root_scan,fiben_transactions,Transaction,
2,dbsr_rank02_transaction_listedsecurity,lookup_children_and_embed,,ListedSecurity,Transaction.REFERSTO -> ListedSecurity.LISTEDSECURITYID
1,dbsr_rank03_corporation,root_scan,fiben_corporations,Corporation,
1,dbsr_rank04_person,root_scan,fiben_persons,Person,
1,dbsr_rank05_corporation_country,root_scan,fiben_corporations,Corporation,
2,dbsr_rank05_corporation_country,lookup_children_and_embed,,Country,Corporation.ISDOMICILEDIN -> Country.COUNTRYID
1,dbsr_rank06_corporation_industry,root_scan,fiben_corporations,Corporation,
2,dbsr_rank06_corporation_industry,lookup_children_and_embed,,Industry,Corporation.ISCLASSIFIEDBY -> Industry.INDUSTRYSECTORCLASSIFIERID
1,dbsr_rank07_financialserviceaccount_holding_listedsecurity,root_scan,fiben_financial_service_accounts,FinancialServiceAccount,
2,dbsr_rank07_financialserviceaccount_holding_listedsecurity,lookup_children_and_embed,,Holding,FinancialServiceAccount.FINANCIALSERVICEACCOUNTID -> Holding.ISHELDBY
3,dbsr_rank07_financialserviceaccount_holding_listedsecurity,lookup_children_and_embed,,ListedSecurity,Holding.REFERSTO -> ListedSecurity.LISTEDSECURITYID
1,dbsr_rank08_corporation_security_listedsecurity,root_scan,fiben_corporations,Corporation,
2,dbsr_rank08_corporation_security_listedsecurity,lookup_children_and_embed,,Security,Corporation.CORPORATIONID -> Security.ISPROVIDEDBY
3,dbsr_rank08_corporation_security_listedsecurity,lookup_children_and_embed,,ListedSecurity,Security.ISTRADEDON -> ListedSecurity.LISTEDSECURITYID
1,dbsr_rank09_financialserviceaccount_transaction_listedsecurity,root_scan,fiben_financial_service_accounts,FinancialServiceAccount,
2,dbsr_rank09_financialserviceaccount_transaction_listedsecurity,lookup_children_and_embed,,Transaction,FinancialServiceAccount.FINANCIALSERVICEACCOUNTID -> Transaction.ISFACILITATEDBY
3,dbsr_rank09_financialserviceaccount_transaction_listedsecurity,lookup_children_and_embed,,ListedSecurity,Transaction.REFERSTO -> ListedSecurity.LISTEDSECURITYID
1,dbsr_rank10_person_financialserviceaccount_transaction,root_scan,fiben_persons,Person,
2,dbsr_rank10_person_financialserviceaccount_transaction,lookup_children_and_embed,,FinancialServiceAccount,Person.PERSONID -> FinancialServiceAccount.ISOWNEDBY
3,dbsr_rank10_person_financialserviceaccount_transaction,lookup_children_and_embed,,Transaction,FinancialServiceAccount.FINANCIALSERVICEACCOUNTID -> Transaction.ISFACILITATEDBY
1,dbsr_rank11_person_financialserviceaccount_holding,root_scan,fiben_persons,Person,
2,dbsr_rank11_person_financialserviceaccount_holding,lookup_children_and_embed,,FinancialServiceAccount,Person.PERSONID -> FinancialServiceAccount.ISOWNEDBY
3,dbsr_rank11_person_financialserviceaccount_holding,lookup_children_and_embed,,Holding,FinancialServiceAccount.FINANCIALSERVICEACCOUNTID -> Holding.ISHELDBY
1,dbsr_rank12_listedsecurity_security_corporation,root_scan,fiben_listed_securities,ListedSecurity,
2,dbsr_rank12_listedsecurity_security_corporation,lookup_children_and_embed,,Security,ListedSecurity.LISTEDSECURITYID -> Security.ISTRADEDON
3,dbsr_rank12_listedsecurity_security_corporation,lookup_children_and_embed,,Corporation,Security.ISPROVIDEDBY -> Corporation.CORPORATIONID
1,dbsr_rank13_financialreport_reportelement_statementelement,root_scan,fiben_reports,FinancialReport,
2,dbsr_rank13_financialreport_reportelement_statementelement,lookup_children_and_embed,,ReportElement,FinancialReport.FINANCIALREPORTID -> ReportElement.ISMEMBEROF
3,dbsr_rank13_financialreport_reportelement_statementelement,lookup_children_and_embed,,StatementElement,ReportElement.ELEMENTSOFFINANCIALREPORTID -> StatementElement.ELEMENTOFFINANCIALSTATEMENTID
1,dbsr_rank14_security_corporation_industry,root_scan,fiben_securities,Security,
2,dbsr_rank14_security_corporation_industry,lookup_children_and_embed,,Corporation,Security.ISPROVIDEDBY -> Corporation.CORPORATIONID
3,dbsr_rank14_security_corporation_industry,lookup_children_and_embed,,Industry,Corporation.ISCLASSIFIEDBY -> Industry.INDUSTRYSECTORCLASSIFIERID
1,dbsr_rank15_security_corporation_country,root_scan,fiben_securities,Security,
2,dbsr_rank15_security_corporation_country,lookup_children_and_embed,,Corporation,Security.ISPROVIDEDBY -> Corporation.CORPORATIONID
3,dbsr_rank15_security_corporation_country,lookup_children_and_embed,,Country,Corporation.ISDOMICILEDIN -> Country.COUNTRYID
