query_name,sequence_id,frequency,step_count,join_steps,document_count,plan_signature,filters_json,structural_cost,plan_utility,total_document_structural_cost,filter_count,required_secondary_indexes,origin,steps_json,structural_rank_within_sequence,best_structural_cost_for_sequence,cost_ratio_to_best_sequence_plan,is_best_structural_plan,is_pruned_candidate
Q1_CompanyProfileIBM,Q1_S1,1.0,1,0,1,Corporation,{},11.0,0.083333333333,1.0,0,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}]",1,11.0,1.0,yes,yes
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S1,1.0,1,0,1,Corporation|{Industry},{},12.5,0.074074074074,2.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]",1,12.5,1.0,yes,yes
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S1,1.0,2,1,2,Corporation -> Industry,{},27.0,0.035714285714,2.0,0,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Industry"", ""children"": []}]",2,12.5,2.16,no,yes
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S2,1.0,1,0,1,Corporation|{Country},{},12.5,0.074074074074,2.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]",1,12.5,1.0,yes,yes
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S2,1.0,2,1,2,Corporation -> Country,{},27.0,0.035714285714,2.0,0,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Country"", ""children"": []}]",2,12.5,2.16,no,yes
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,1,0,1,Corporation|{Security|{ListedSecurity}},{},13.75,0.067796610169,3.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]",1,13.75,1.0,yes,yes
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,2,1,2,Corporation -> Security|{ListedSecurity},{},28.5,0.033898305085,3.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",2,13.75,2.072727,no,yes
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,2,1,2,Corporation|{Security} -> ListedSecurity,{},28.5,0.033898305085,3.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]",3,13.75,2.072727,no,yes
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,3,2,3,Corporation -> Security -> ListedSecurity,{},43.0,0.022727272727,3.0,0,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]",4,13.75,3.127273,no,yes
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,1,0,1,FinancialServiceAccount|{Holding|{ListedSecurity}},{},13.75,0.067796610169,3.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]",1,13.75,1.0,yes,yes
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,2,1,2,FinancialServiceAccount -> Holding|{ListedSecurity},{},28.5,0.033898305085,3.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",2,13.75,2.072727,no,yes
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,2,1,2,FinancialServiceAccount|{Holding} -> ListedSecurity,{},28.5,0.033898305085,3.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]",3,13.75,2.072727,no,yes
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,3,2,3,FinancialServiceAccount -> Holding -> ListedSecurity,{},43.0,0.022727272727,3.0,0,[],initial_single_level_documents,"[{""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]",4,13.75,3.127273,no,yes
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,2,1,2,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity|{Security|{Corporation}},{},32.5,0.029850746269,7.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}]",1,32.5,1.0,yes,yes
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person -> FinancialServiceAccount|{Holding|{ListedSecurity}} -> Security|{Corporation},{},47.25,0.020725388601,7.25,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]",2,32.5,1.453846,no,yes
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person -> FinancialServiceAccount|{Holding} -> ListedSecurity|{Security|{Corporation}},{},47.25,0.020725388601,7.25,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_2+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}]",3,32.5,1.453846,no,yes
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity -> Security|{Corporation},{},47.25,0.020725388601,7.25,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]",4,32.5,1.453846,no,yes
