rank,document_signature,total_utility,queries_covered,sequences_covered,plans_using_document,query_names,sequence_ids
1,ListedSecurity,0.24699892254,7,11,14,Q2_CompanyWithIndustryCountryAndListedSecurities;Q3_SecuritiesHeldInEachFinancialServiceAccount;Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q6_TechUSListedSecuritiesWithHighLastTradedValue;Q7_PersonsWhoBoughtMoreIBMThanSold;Q8_IBMTransactionsBelowAverageSellingPrice;Q9_PersonsWhoBoughtAndSoldSameStock,Q2_S3;Q3_S1;Q4_S1;Q6_S1;Q6_S2;Q7_S1;Q7_S2;Q8_S1;Q8_S2;Q9_S1;Q9_S2
2,Transaction|{ListedSecurity},0.239945244797,3,6,3,Q7_PersonsWhoBoughtMoreIBMThanSold;Q8_IBMTransactionsBelowAverageSellingPrice;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q8_S1;Q8_S2;Q9_S1;Q9_S2
3,Corporation,0.181393169286,4,6,9,Q1_CompanyProfileIBM;Q2_CompanyWithIndustryCountryAndListedSecurities;Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q5_ReportsAndMetricDataOfCompany,Q1_S1;Q2_S1;Q2_S2;Q2_S3;Q4_S1;Q5_S1
4,Person,0.136620850758,3,5,5,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q4_S1;Q7_S1;Q7_S2;Q9_S1;Q9_S2
5,Corporation|{Country},0.097529113658,2,2,3,Q2_CompanyWithIndustryCountryAndListedSecurities;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q2_S2;Q6_S2
6,Corporation|{Industry},0.097529113658,2,2,3,Q2_CompanyWithIndustryCountryAndListedSecurities;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q2_S1;Q6_S1
7,FinancialServiceAccount|{Holding|{ListedSecurity}},0.074705073036,2,2,2,Q3_SecuritiesHeldInEachFinancialServiceAccount;Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q3_S1;Q4_S1
8,Corporation|{Security|{ListedSecurity}},0.067796610169,1,1,1,Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3
9,FinancialServiceAccount|{Transaction|{ListedSecurity}},0.064516129032,2,4,1,Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q9_S1;Q9_S2
10,Person|{FinancialServiceAccount|{Transaction}},0.064516129032,2,4,1,Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q9_S1;Q9_S2
11,Person|{FinancialServiceAccount},0.064,2,4,1,Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q9_S1;Q9_S2
12,ListedSecurity|{Security|{Corporation}},0.054354161206,2,3,4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q4_S1;Q6_S1;Q6_S2
13,FinancialServiceAccount,0.053668808114,3,5,3,Q3_SecuritiesHeldInEachFinancialServiceAccount;Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q3_S1;Q7_S1;Q7_S2;Q9_S1;Q9_S2
14,Country,0.041443312785,2,2,3,Q2_CompanyWithIndustryCountryAndListedSecurities;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q2_S2;Q6_S2
15,Industry,0.041443312785,2,2,3,Q2_CompanyWithIndustryCountryAndListedSecurities;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q2_S1;Q6_S1
16,ListedSecurity|{Security},0.039166527383,2,3,3,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q4_S1;Q6_S1;Q6_S2
17,Transaction,0.035556257901,1,2,1,Q8_IBMTransactionsBelowAverageSellingPrice,Q8_S1;Q8_S2
18,FinancialServiceAccount|{Transaction},0.029143897996,2,4,1,Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q9_S1;Q9_S2
19,Person|{FinancialServiceAccount|{Holding}},0.028742298869,1,1,3,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1
20,Security|{Corporation},0.028468940386,2,3,4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q4_S1;Q6_S1;Q6_S2
21,FinancialServiceAccount|{Holding},0.023857615409,2,2,2,Q3_SecuritiesHeldInEachFinancialServiceAccount;Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q3_S1;Q4_S1
22,StatementElement,0.023586169928,1,1,2,Q5_ReportsAndMetricDataOfCompany,Q5_S1
23,ReportElement|{StatementElement},0.023455039584,1,1,2,Q5_ReportsAndMetricDataOfCompany,Q5_S1
24,Security,0.022227772228,2,3,3,Q2_CompanyWithIndustryCountryAndListedSecurities;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q2_S3;Q6_S1;Q6_S2
25,Corporation|{Security},0.016949152542,1,1,1,Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3
26,Holding|{ListedSecurity},0.016949152542,1,1,1,Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1
27,Security|{ListedSecurity},0.016949152542,1,1,1,Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3
28,Corporation|{FinancialReport|{ReportElement}},0.016260162602,1,1,1,Q5_ReportsAndMetricDataOfCompany,Q5_S1
29,FinancialReport|{ReportElement|{StatementElement}},0.016260162602,1,1,1,Q5_ReportsAndMetricDataOfCompany,Q5_S1
30,Security|{Corporation|{Country}},0.016260162602,1,1,1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2
31,Security|{Corporation|{Industry}},0.016260162602,1,1,1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1
32,Corporation|{FinancialReport},0.016129032258,1,1,1,Q5_ReportsAndMetricDataOfCompany,Q5_S1
33,Holding,0.007575757576,1,1,1,Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1
34,FinancialReport,0.007326007326,1,1,1,Q5_ReportsAndMetricDataOfCompany,Q5_S1
35,FinancialReport|{ReportElement},0.007326007326,1,1,1,Q5_ReportsAndMetricDataOfCompany,Q5_S1
