rank,document_signature,total_utility,queries_covered,sequences_covered,plans_using_document,query_names,sequence_ids
1,ListedSecurity,0.24699892254,7,11,14,Q2_CompanyWithIndustryCountryAndListedSecurities;Q3_SecuritiesHeldInEachFinancialServiceAccount;Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q6_TechUSListedSecuritiesWithHighLastTradedValue;Q7_PersonsWhoBoughtMoreIBMThanSold;Q8_IBMTransactionsBelowAverageSellingPrice;Q9_PersonsWhoBoughtAndSoldSameStock,Q2_S3;Q3_S1;Q4_S1;Q6_S1;Q6_S2;Q7_S1;Q7_S2;Q8_S1;Q8_S2;Q9_S1;Q9_S2
2,Transaction|{ListedSecurity},0.239945244797,3,6,3,Q7_PersonsWhoBoughtMoreIBMThanSold;Q8_IBMTransactionsBelowAverageSellingPrice;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q8_S1;Q8_S2;Q9_S1;Q9_S2
3,Corporation,0.181393169286,4,6,9,Q1_CompanyProfileIBM;Q2_CompanyWithIndustryCountryAndListedSecurities;Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q5_ReportsAndMetricDataOfCompany,Q1_S1;Q2_S1;Q2_S2;Q2_S3;Q4_S1;Q5_S1
4,Person,0.136620850758,3,5,5,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q4_S1;Q7_S1;Q7_S2;Q9_S1;Q9_S2
5,Corporation|{Country},0.097529113658,2,2,3,Q2_CompanyWithIndustryCountryAndListedSecurities;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q2_S2;Q6_S2
6,Corporation|{Industry},0.097529113658,2,2,3,Q2_CompanyWithIndustryCountryAndListedSecurities;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q2_S1;Q6_S1
7,FinancialServiceAccount|{Holding|{ListedSecurity}},0.074705073036,2,2,2,Q3_SecuritiesHeldInEachFinancialServiceAccount;Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q3_S1;Q4_S1
8,Corporation|{Security|{ListedSecurity}},0.067796610169,1,1,1,Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3
9,FinancialServiceAccount|{Transaction|{ListedSecurity}},0.064516129032,2,4,1,Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q9_S1;Q9_S2
10,Person|{FinancialServiceAccount|{Transaction}},0.064516129032,2,4,1,Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q9_S1;Q9_S2
