rank,source_rank,collection_name,document_signature,root_entity,embedded_or_included_entities,height_edges,max_width,total_utility,queries_covered,sequences_covered,plans_using_document,query_names,sequence_ids,selection_reason,added_for_query,added_for_sequence,added_from_plan,materialization_status,tree_found_in_generated_documents
1,1,dbsr_rank01_listedsecurity,ListedSecurity,ListedSecurity,"[""ListedSecurity""]",0,0,0.24699892254,7,11,14,Q2_CompanyWithIndustryCountryAndListedSecurities;Q3_SecuritiesHeldInEachFinancialServiceAccount;Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q6_TechUSListedSecuritiesWithHighLastTradedValue;Q7_PersonsWhoBoughtMoreIBMThanSold;Q8_IBMTransactionsBelowAverageSellingPrice;Q9_PersonsWhoBoughtAndSoldSameStock,Q2_S3;Q3_S1;Q4_S1;Q6_S1;Q6_S2;Q7_S1;Q7_S2;Q8_S1;Q8_S2;Q9_S1;Q9_S2,top_k_ranked_document,,,,not_materialized,yes
2,2,dbsr_rank02_transaction_listedsecurity,Transaction|{ListedSecurity},Transaction,"[""Transaction"", ""ListedSecurity""]",1,1,0.239945244797,3,6,3,Q7_PersonsWhoBoughtMoreIBMThanSold;Q8_IBMTransactionsBelowAverageSellingPrice;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q8_S1;Q8_S2;Q9_S1;Q9_S2,top_k_ranked_document,,,,not_materialized,yes
3,3,dbsr_rank03_corporation,Corporation,Corporation,"[""Corporation""]",0,0,0.181393169286,4,6,9,Q1_CompanyProfileIBM;Q2_CompanyWithIndustryCountryAndListedSecurities;Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q5_ReportsAndMetricDataOfCompany,Q1_S1;Q2_S1;Q2_S2;Q2_S3;Q4_S1;Q5_S1,top_k_ranked_document,,,,not_materialized,yes
4,4,dbsr_rank04_person,Person,Person,"[""Person""]",0,0,0.136620850758,3,5,5,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity;Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q4_S1;Q7_S1;Q7_S2;Q9_S1;Q9_S2,top_k_ranked_document,,,,not_materialized,yes
5,5,dbsr_rank05_corporation_country,Corporation|{Country},Corporation,"[""Corporation"", ""Country""]",1,1,0.097529113658,2,2,3,Q2_CompanyWithIndustryCountryAndListedSecurities;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q2_S2;Q6_S2,top_k_ranked_document,,,,not_materialized,yes
6,6,dbsr_rank06_corporation_industry,Corporation|{Industry},Corporation,"[""Corporation"", ""Industry""]",1,1,0.097529113658,2,2,3,Q2_CompanyWithIndustryCountryAndListedSecurities;Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q2_S1;Q6_S1,top_k_ranked_document,,,,not_materialized,yes
7,7,dbsr_rank07_financialserviceaccount_holding_listedsecurity,FinancialServiceAccount|{Holding|{ListedSecurity}},FinancialServiceAccount,"[""FinancialServiceAccount"", ""Holding"", ""ListedSecurity""]",2,1,0.074705073036,2,2,2,Q3_SecuritiesHeldInEachFinancialServiceAccount;Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q3_S1;Q4_S1,top_k_ranked_document,,,,not_materialized,yes
8,8,dbsr_rank08_corporation_security_listedsecurity,Corporation|{Security|{ListedSecurity}},Corporation,"[""Corporation"", ""Security"", ""ListedSecurity""]",2,1,0.067796610169,1,1,1,Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,top_k_ranked_document,,,,not_materialized,yes
9,9,dbsr_rank09_financialserviceaccount_transaction_listedsecurity,FinancialServiceAccount|{Transaction|{ListedSecurity}},FinancialServiceAccount,"[""FinancialServiceAccount"", ""Transaction"", ""ListedSecurity""]",2,1,0.064516129032,2,4,1,Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q9_S1;Q9_S2,top_k_ranked_document,,,,not_materialized,yes
10,10,dbsr_rank10_person_financialserviceaccount_transaction,Person|{FinancialServiceAccount|{Transaction}},Person,"[""Person"", ""FinancialServiceAccount"", ""Transaction""]",2,1,0.064516129032,2,4,1,Q7_PersonsWhoBoughtMoreIBMThanSold;Q9_PersonsWhoBoughtAndSoldSameStock,Q7_S1;Q7_S2;Q9_S1;Q9_S2,top_k_ranked_document,,,,not_materialized,yes
