query_name,sequence_id,frequency,step_count,join_steps,document_count,plan_signature,filters_json,structural_cost,plan_utility,total_document_structural_cost,filter_count,required_secondary_indexes,origin,steps_json
Q1_CompanyProfileIBM,Q1_S1,1.0,1,0,1,Corporation,{},11.0,0.083333333333,1.0,0,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S1,1.0,1,0,1,Corporation|{Industry},{},12.5,0.074074074074,2.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S1,1.0,2,1,2,Corporation -> Industry,{},27.0,0.035714285714,2.0,0,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Industry"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S2,1.0,1,0,1,Corporation|{Country},{},12.5,0.074074074074,2.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S2,1.0,2,1,2,Corporation -> Country,{},27.0,0.035714285714,2.0,0,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Country"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,1,0,1,Corporation|{Security|{ListedSecurity}},{},13.75,0.067796610169,3.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,2,1,2,Corporation -> Security|{ListedSecurity},{},28.5,0.033898305085,3.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,2,1,2,Corporation|{Security} -> ListedSecurity,{},28.5,0.033898305085,3.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q2_CompanyWithIndustryCountryAndListedSecurities,Q2_S3,1.0,3,2,3,Corporation -> Security -> ListedSecurity,{},43.0,0.022727272727,3.0,0,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,1,0,1,FinancialServiceAccount|{Holding|{ListedSecurity}},{},13.75,0.067796610169,3.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]"
