execution_status,n_candidates,query_name,scale_label
skipped,1,Q10_CreateAccountHoldingAndBuyTransaction,sf10
completed,1,Q1_CompanyProfileIBM,sf10
completed,1,Q2_CompanyWithIndustryCountryAndListedSecurities,sf10
completed,1,Q3_SecuritiesHeldInEachFinancialServiceAccount,sf10
completed,1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,sf10
completed,1,Q5_ReportsAndMetricDataOfCompany,sf10
completed,1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,sf10
completed,1,Q7_PersonsWhoBoughtMoreIBMThanSold,sf10
completed,1,Q8_IBMTransactionsBelowAverageSellingPrice,sf10
completed,1,Q9_PersonsWhoBoughtAndSoldSameStock,sf10
