candidate_id,collections_touched,design_pattern,execution_status,final_benchmark_group,g_class,has_COLLSCAN,has_GROUP,has_IXSCAN,max_collection_avg_obj_size_bytes,n_components,query_name,scale_label,source_results_dir,sum_estimated_docs_examined_bytes,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined
dbsr_q10_createaccountholdingandbuytransaction__materialized_baseline,not_explainable,dbsr_materialized_document_tree,skipped,baseline,DBSR,False,False,False,0.0,1.0,Q10_CreateAccountHoldingAndBuyTransaction,sf1,DBSR_implementation/results/fiben/query_plan,0.0,0.0,0.0,0.0
dbsr_q1_companyprofileibm__materialized_baseline,dbsr_rank03_corporation,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,176.0,1.0,Q1_CompanyProfileIBM,sf1,DBSR_implementation/results/fiben/query_plan,176.0,1.0,1.0,1.0
dbsr_q2_companywithindustrycountryandlistedsecurities__materialized_baseline,dbsr_rank03_corporation;dbsr_rank05_corporation_country;dbsr_rank06_corporation_industry;dbsr_rank08_corporation_security_listedsecurity,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,645.0,4.0,Q2_CompanyWithIndustryCountryAndListedSecurities,sf1,DBSR_implementation/results/fiben/query_plan,1580.0,4.0,4.0,4.0
dbsr_q3_securitiesheldineachfinancialserviceaccount__materialized_baseline,dbsr_rank01_listedsecurity;dbsr_rank07_financialserviceaccount_holding_listedsecurity,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,2596.0,2.0,Q3_SecuritiesHeldInEachFinancialServiceAccount,sf1,DBSR_implementation/results/fiben/query_plan,3604.0,5.8,5.8,2746.0
dbsr_q4_companiesreachedfrompersonthroughaccountholdinglistedsecurity__materialized_baseline,dbsr_rank11_person_financialserviceaccount_holding;dbsr_rank12_listedsecurity_security_corporation,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,2842.0,2.0,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,sf1,DBSR_implementation/results/fiben/query_plan,1575727.0,54.8,2746.0,2746.0
dbsr_q5_reportsandmetricdataofcompany__materialized_baseline,dbsr_rank13_financialreport_reportelement_statementelement,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,29215.0,1.0,Q5_ReportsAndMetricDataOfCompany,sf1,DBSR_implementation/results/fiben/query_plan,701160.0,24.0,24.0,24.0
dbsr_q6_techuslistedsecuritieswithhighlasttradedvalue__materialized_baseline,dbsr_rank01_listedsecurity,dbsr_materialized_document_tree,completed,baseline,DBSR,True,False,False,210.0,1.0,Q6_TechUSListedSecuritiesWithHighLastTradedValue,sf1,DBSR_implementation/results/fiben/query_plan,21000.0,100.0,100.0,0.0
dbsr_q7_personswhoboughtmoreibmthansold__materialized_baseline,dbsr_rank02_transaction_listedsecurity;dbsr_rank12_listedsecurity_security_corporation,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,573.0,2.0,Q7_PersonsWhoBoughtMoreIBMThanSold,sf1,DBSR_implementation/results/fiben/query_plan,93474.0,180.0,180.0,180.0
dbsr_q8_ibmtransactionsbelowaveragesellingprice__materialized_baseline,dbsr_rank02_transaction_listedsecurity;dbsr_rank12_listedsecurity_security_corporation,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,573.0,2.0,Q8_IBMTransactionsBelowAverageSellingPrice,sf1,DBSR_implementation/results/fiben/query_plan,93474.0,180.0,180.0,180.0
dbsr_q9_personswhoboughtandsoldsamestock__materialized_baseline,dbsr_rank02_transaction_listedsecurity,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,519.0,1.0,Q9_PersonsWhoBoughtAndSoldSameStock,sf1,DBSR_implementation/results/fiben/query_plan,115944.6,223.4,223.4,223.4
