scale_label,query_name,best_candidate_id,best_g_class,best_group,best_design_pattern,best_n_components,best_docs_examined,best_keys_examined,best_estimated_docs_examined_bytes,best_has_COLLSCAN,best_has_GROUP,best_collections_touched,candidate_id,execution_status,n_components,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,sum_estimated_docs_examined_bytes,has_IXSCAN,has_COLLSCAN,has_GROUP,collections_touched,docs_examined_ratio_dbsr_over_schemalens,keys_examined_ratio_dbsr_over_schemalens,estimated_bytes_ratio_dbsr_over_schemalens,lower_estimated_bytes_method,lower_docs_examined_method
sf1,Q1_CompanyProfileIBM,q1_company_profile_ibm__g0__root_only,G0,primary,root_only_collection,1,1,1,431.0,False,False,corporations,dbsr_q1_companyprofileibm__materialized_baseline,completed,1.0,1.0,1.0,1.0,176.0,True,False,False,dbsr_rank03_corporation,1.0,1.0,0.40835266821345706,DBSR,Tie
sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,q2_company_with_industry_country_and_listed_securities__g3__association_references,G3,primary,association_references,4,4,4,1126.0,False,False,corporations_with_references;countries;industries;listed_securities,dbsr_q2_companywithindustrycountryandlistedsecurities__materialized_baseline,completed,4.0,4.0,4.0,4.0,1580.0,True,False,False,dbsr_rank03_corporation;dbsr_rank05_corporation_country;dbsr_rank06_corporation_industry;dbsr_rank08_corporation_security_listedsecurity,1.0,1.0,1.403197158081705,SchemaLens,Tie
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g3__association_references,G3,primary,association_references,4,7,11,1798.0,False,False,financial_service_accounts_with_references;holdings;listed_securities;securities,dbsr_q3_securitiesheldineachfinancialserviceaccount__materialized_baseline,completed,2.0,5.8,5.8,2746.0,3604.0,True,False,False,dbsr_rank01_listedsecurity;dbsr_rank07_financialserviceaccount_holding_listedsecurity,0.8285714285714285,249.63636363636363,2.0044493882091214,SchemaLens,DBSR
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,primary,deep_nested_document,4,2446,182,1025218.0,True,False,corporations;holdings;persons_deep_nested;securities,dbsr_q4_companiesreachedfrompersonthroughaccountholdinglistedsecurity__materialized_baseline,completed,2.0,54.8,2746.0,2746.0,1575727.0,True,False,False,dbsr_rank11_person_financialserviceaccount_holding;dbsr_rank12_listedsecurity_security_corporation,1.1226492232215863,15.087912087912088,1.5369677473473935,SchemaLens,SchemaLens
sf1,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__g4__deep_nested_path,G4,primary,deep_nested_document,3,6718,8263,1065417.0,False,False,corporations_deep_nested;report_elements;statement_elements,dbsr_q5_reportsandmetricdataofcompany__materialized_baseline,completed,1.0,24.0,24.0,24.0,701160.0,True,False,False,dbsr_rank13_financialreport_reportelement_statementelement,0.003572491813039595,0.0029045140989955223,0.6581085152574062,DBSR,DBSR
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,G3,primary,association_references,6,5514,5301,1057424.0,True,False,corporations;countries;industries;listed_securities;listed_securitys_with_references;securities,dbsr_q6_techuslistedsecuritieswithhighlasttradedvalue__materialized_baseline,completed,1.0,100.0,100.0,0.0,21000.0,False,True,False,dbsr_rank01_listedsecurity,0.018135654697134566,0.0,0.019859583289200927,DBSR,DBSR
sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,3,359,359,125789.0,False,True,securities;transactions,dbsr_q7_personswhoboughtmoreibmthansold__materialized_baseline,completed,2.0,180.0,180.0,180.0,93474.0,True,False,False,dbsr_rank02_transaction_listedsecurity;dbsr_rank12_listedsecurity_security_corporation,0.5013927576601671,0.5013927576601671,0.743101543060204,DBSR,DBSR
sf1,Q8_IBMTransactionsBelowAverageSellingPrice,q8_ibmtransactions_below_average_selling_price__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,3,359,359,125789.0,False,True,securities;transactions,dbsr_q8_ibmtransactionsbelowaveragesellingprice__materialized_baseline,completed,2.0,180.0,180.0,180.0,93474.0,True,False,False,dbsr_rank02_transaction_listedsecurity;dbsr_rank12_listedsecurity_security_corporation,0.5013927576601671,0.5013927576601671,0.743101543060204,DBSR,DBSR
sf1,Q9_PersonsWhoBoughtAndSoldSameStock,q9_persons_who_bought_and_sold_same_stock__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,2,458,458,160758.0,False,True,transactions,dbsr_q9_personswhoboughtandsoldsamestock__materialized_baseline,completed,1.0,223.4,223.4,223.4,115944.6,True,False,False,dbsr_rank02_transaction_listedsecurity,0.4877729257641922,0.4877729257641922,0.7212368902325235,DBSR,DBSR
sf10,Q1_CompanyProfileIBM,q1_company_profile_ibm__g0__root_only,G0,primary,root_only_collection,1,1,1,536.0,False,False,corporations,dbsr_q1_companyprofileibm__materialized_baseline,completed,1.0,1.0,1.0,1.0,206.0,True,False,False,dbsr_rank03_corporation,1.0,1.0,0.3843283582089552,DBSR,Tie
sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,primary,embedded_descriptors,3,21,21,8735.0,False,False,corporations_with_descriptors;listed_securities;securities,dbsr_q2_companywithindustrycountryandlistedsecurities__materialized_baseline,completed,4.0,4.0,4.0,4.0,1793.0,True,False,False,dbsr_rank03_corporation;dbsr_rank05_corporation_country;dbsr_rank06_corporation_industry;dbsr_rank08_corporation_security_listedsecurity,0.19047619047619047,0.19047619047619047,0.20526617057813396,DBSR,DBSR
sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g2__embed_containment_children,G2,primary,embedded_containment,3,41,45,10298.0,False,False,financial_service_accounts_with_containment;listed_securities;securities,dbsr_q3_securitiesheldineachfinancialserviceaccount__materialized_baseline,completed,2.0,49.0,49.0,27452.0,14066.0,True,False,False,dbsr_rank01_listedsecurity;dbsr_rank07_financialserviceaccount_holding_listedsecurity,1.1951219512195121,610.0444444444445,1.3658962905418528,SchemaLens,SchemaLens
sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,primary,deep_nested_document,4,672,722,123099.0,True,False,corporations;holdings;persons_deep_nested;securities,dbsr_q4_companiesreachedfrompersonthroughaccountholdinglistedsecurity__materialized_baseline,completed,2.0,601.0,27451.0,27451.0,18696798.0,True,False,False,dbsr_rank11_person_financialserviceaccount_holding;dbsr_rank12_listedsecurity_security_corporation,40.84970238095238,38.0207756232687,151.8842395145371,SchemaLens,SchemaLens
sf10,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__g9__tradeoff_benchmark_candidate,G9,secondary_affected,benchmark_tradeoff_alternative,4,6742,8311,1067848.0,False,False,corporations_tradeoff;report_elements;reports;statement_elements,dbsr_q5_reportsandmetricdataofcompany__materialized_baseline,completed,1.0,24.0,24.0,24.0,806664.0,True,False,False,dbsr_rank13_financialreport_reportelement_statementelement,0.0035597745476119848,0.0028877391408976055,0.7554108824476892,DBSR,DBSR
sf10,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,G3,primary,association_references,6,50073,49911,10867290.0,True,False,corporations;countries;industries;listed_securities;listed_securitys_with_references;securities,dbsr_q6_techuslistedsecuritieswithhighlasttradedvalue__materialized_baseline,completed,1.0,100.0,100.0,0.0,25100.0,False,True,False,dbsr_rank01_listedsecurity,0.001997084256984802,0.0,0.0023096834629424633,DBSR,DBSR
sf10,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,3,368,368,127338.0,False,True,securities;transactions,dbsr_q7_personswhoboughtmoreibmthansold__materialized_baseline,completed,2.0,180.0,180.0,180.0,73355.0,True,False,False,dbsr_rank02_transaction_listedsecurity;dbsr_rank12_listedsecurity_security_corporation,0.4891304347826087,0.4891304347826087,0.57606527509463,DBSR,DBSR
sf10,Q8_IBMTransactionsBelowAverageSellingPrice,q8_ibmtransactions_below_average_selling_price__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,3,368,368,127338.0,False,True,securities;transactions,dbsr_q8_ibmtransactionsbelowaveragesellingprice__materialized_baseline,completed,2.0,180.0,180.0,180.0,73355.0,True,False,False,dbsr_rank02_transaction_listedsecurity;dbsr_rank12_listedsecurity_security_corporation,0.4891304347826087,0.4891304347826087,0.57606527509463,DBSR,DBSR
