query_name,generic_class,query_family,query_type,selected_root,document_depth,Rc,Re,DeltaR,DeltaRratio,query_update_volatility_score,max_observed_sharedness_score,active_g_classes,active_g_class_names,inactive_g_classes,n_active_g_classes,primary_activation_class,primary_activation_name,primary_activation_score,primary_activation_reason,activation_has_g0,activation_has_g1,activation_has_g2,activation_has_g3,activation_has_g4,activation_has_g5,activation_has_g6,activation_has_g7,activation_has_g8,activation_has_g9
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,5.0,0.0,5.0,1.0,0.932,0.2958825,"['G2', 'G3', 'G4', 'G5', 'G7', 'G9']","['Root with contained children', 'Root with associated references', 'Deep nested traversal document', 'Shared target reference strategy', 'Update-aware document strategy', 'Benchmark-required trade-off candidate']","['G0', 'G1', 'G6', 'G8']",6,G2,Root with contained children,1.0,The query touches containment relationships suitable for nested document structures.,False,False,True,True,True,True,False,True,False,True
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['G0'],['Root-only document'],"['G1', 'G2', 'G3', 'G4', 'G5', 'G6', 'G7', 'G8', 'G9']",1,G0,Root-only document,1.0,The query does not require conceptual relationship traversal.,True,False,False,False,False,False,False,False,False,False
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,3.0,0.0,3.0,1.0,0.36299999999999993,0.2974182444061962,"['G1', 'G3', 'G5', 'G7', 'G9']","['Root with direct descriptors', 'Root with associated references', 'Shared target reference strategy', 'Update-aware document strategy', 'Benchmark-required trade-off candidate']","['G0', 'G2', 'G4', 'G6', 'G8']",5,G1,Root with direct descriptors,1.0,The query touches descriptor relationships that can be colocated near the selected root.,False,True,False,True,False,True,False,True,False,True
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,3.0,0.0,3.0,1.0,0.799,0.2958825,"['G2', 'G3', 'G4', 'G5', 'G7', 'G9']","['Root with contained children', 'Root with associated references', 'Deep nested traversal document', 'Shared target reference strategy', 'Update-aware document strategy', 'Benchmark-required trade-off candidate']","['G0', 'G1', 'G6', 'G8']",6,G2,Root with contained children,1.0,The query touches containment relationships suitable for nested document structures.,False,False,True,True,True,True,False,True,False,True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,4.0,0.0,4.0,1.0,0.7984,0.2958825,"['G2', 'G3', 'G4', 'G5', 'G7', 'G9']","['Root with contained children', 'Root with associated references', 'Deep nested traversal document', 'Shared target reference strategy', 'Update-aware document strategy', 'Benchmark-required trade-off candidate']","['G0', 'G1', 'G6', 'G8']",6,G2,Root with contained children,1.0,The query touches containment relationships suitable for nested document structures.,False,False,True,True,True,True,False,True,False,True
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,4.0,0.0,4.0,1.0,0.0,0.29462099999999997,"['G2', 'G4', 'G9']","['Root with contained children', 'Deep nested traversal document', 'Benchmark-required trade-off candidate']","['G0', 'G1', 'G3', 'G5', 'G6', 'G7', 'G8']",3,G2,Root with contained children,1.0,The query touches containment relationships suitable for nested document structures.,False,False,True,False,True,False,False,False,False,True
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,3.0,0.0,3.0,1.0,0.36299999999999993,0.2974182444061962,"['G1', 'G3', 'G5', 'G7', 'G9']","['Root with direct descriptors', 'Root with associated references', 'Shared target reference strategy', 'Update-aware document strategy', 'Benchmark-required trade-off candidate']","['G0', 'G2', 'G4', 'G6', 'G8']",5,G1,Root with direct descriptors,1.0,The query touches descriptor relationships that can be colocated near the selected root.,False,True,False,True,False,True,False,True,False,True
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,6.0,0.0,6.0,1.0,0.7702857142857144,0.2958825,"['G2', 'G3', 'G4', 'G5', 'G6', 'G7', 'G9']","['Root with contained children', 'Root with associated references', 'Deep nested traversal document', 'Shared target reference strategy', 'Aggregation-oriented document', 'Update-aware document strategy', 'Benchmark-required trade-off candidate']","['G0', 'G1', 'G8']",7,G2,Root with contained children,1.0,The query touches containment relationships suitable for nested document structures.,False,False,True,True,True,True,True,True,False,True
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,3.0,0.0,3.0,1.0,0.649,0.2958825,"['G3', 'G5', 'G6', 'G7', 'G9']","['Root with associated references', 'Shared target reference strategy', 'Aggregation-oriented document', 'Update-aware document strategy', 'Benchmark-required trade-off candidate']","['G0', 'G1', 'G2', 'G4', 'G8']",5,G6,Aggregation-oriented document,1.0,The query has an aggregation/ranking profile and may benefit from read-optimized or precomputed document structures.,False,False,False,True,False,True,True,True,False,True
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,5.0,0.0,5.0,1.0,0.8320000000000001,0.2958825,"['G2', 'G3', 'G4', 'G5', 'G7', 'G9']","['Root with contained children', 'Root with associated references', 'Deep nested traversal document', 'Shared target reference strategy', 'Update-aware document strategy', 'Benchmark-required trade-off candidate']","['G0', 'G1', 'G6', 'G8']",6,G2,Root with contained children,1.0,The query touches containment relationships suitable for nested document structures.,False,False,True,True,True,True,False,True,False,True
