query_name,generic_class,query_family,query_type,selected_root,document_depth,max_depth_for_query,Rc,Rc_status,Re,DeltaR,DeltaRratio,n_reachable_entities,reachable_entities,n_total_edges,n_covered_edges,n_remaining_edges,covered_edge_ids,remaining_edge_ids,covered_relationships,remaining_relationships,covered_semantic_types,remaining_semantic_types,is_full_coverage
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0,0,0,single_or_no_terminal,0,0,0.0,1,['Corporation'],0,0,0,[],[],[],[],[],[],True
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,0,1,3,connected,3,0,0.0,1,['Corporation'],3,0,3,[],"['Corporation -- Country [corporation_has_country]', 'Corporation -- Industry [corporation_has_industry]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",[],"['association', 'descriptor']",False
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1,1,3,connected,0,3,1.0,4,"['Corporation', 'Country', 'Industry', 'ListedSecurity']",3,3,0,"['Corporation -- Country [corporation_has_country]', 'Corporation -- Industry [corporation_has_industry]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",[],"['association', 'descriptor']",[],True
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,0,3,3,connected,3,0,0.0,1,['FinancialServiceAccount'],3,0,3,[],"['FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'ListedSecurity -- Security [listed_security_represents_security]']",[],"['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']",[],"['association', 'containment']",False
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,1,3,3,connected,2,1,0.3333333333333333,2,"['FinancialServiceAccount', 'Holding']",3,1,2,['FinancialServiceAccount -- Holding [account_has_holding]'],"['Holding -- ListedSecurity [holding_refers_to_listed_security]', 'ListedSecurity -- Security [listed_security_represents_security]']",['account_has_holding'],"['holding_refers_to_listed_security', 'listed_security_represents_security']",['containment'],['association'],False
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,2,3,3,connected,1,2,0.6666666666666666,3,"['FinancialServiceAccount', 'Holding', 'ListedSecurity']",3,2,1,"['FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",['ListedSecurity -- Security [listed_security_represents_security]'],"['account_has_holding', 'holding_refers_to_listed_security']",['listed_security_represents_security'],"['association', 'containment']",['association'],False
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3,3,3,connected,0,3,1.0,4,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",3,3,0,"['FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'ListedSecurity -- Security [listed_security_represents_security]']",[],"['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']",[],"['association', 'containment']",[],True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,0,4,4,connected,4,0,0.0,1,['Person'],4,0,4,[],"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],"['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",[],"['association', 'containment', 'ownership']",False
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,1,4,4,connected,3,1,0.25,2,"['FinancialServiceAccount', 'Person']",4,1,3,['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],"['FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",['person_owns_financial_service_account'],"['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security']",['ownership'],"['association', 'containment']",False
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,2,4,4,connected,2,2,0.5,3,"['FinancialServiceAccount', 'Holding', 'Person']",4,2,2,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]']","['Holding -- ListedSecurity [holding_refers_to_listed_security]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']","['account_has_holding', 'person_owns_financial_service_account']","['corporation_has_listed_security', 'holding_refers_to_listed_security']","['containment', 'ownership']",['association'],False
