dataset,ablation_variant,total_cases,available_cases,unavailable_cases,availability_ratio,top1_preservation_rate,top3_preservation_rate,near_best_preservation_rate,mean_relative_regret,median_relative_regret,max_relative_regret,mean_ablation_best_p95,mean_global_best_p95
fiben,full_schema_lens,60,60,0,1.0,0.8333333333333334,1.0,0.9,0.09366646670450986,0.0,2.051029304576128,23.839087543116573,22.613015508783672
fiben,no_depth,60,60,0,1.0,0.6833333333333333,0.9833333333333333,0.7666666666666667,0.11577473678889308,0.0,2.051029304576128,24.305902420019265,22.613015508783672
fiben,no_relationship_semantics,60,60,0,1.0,0.4166666666666667,0.8333333333333334,0.6833333333333333,0.2014391860738406,0.005532354065150464,4.59425650156169,25.015942196090084,22.613015508783672
fiben,no_relationship_semantics_no_depth,60,60,0,1.0,0.35,0.6666666666666666,0.55,0.25001777752512916,0.017649541343835617,4.59425650156169,25.441431788397797,22.613015508783672
fiben,no_residual_traversal,60,60,0,1.0,0.6166666666666667,1.0,0.7833333333333333,0.11905486984538063,0.0,2.051029304576128,24.284082626594074,22.613015508783672
fiben,no_sharedness,60,60,0,1.0,0.6333333333333333,1.0,0.85,0.11185096540942391,0.0,2.4268230414106737,23.87067202109999,22.613015508783672
fiben,no_update_volatility,60,60,0,1.0,0.7,1.0,0.8833333333333333,0.09729818369127247,0.0,2.051029304576128,23.84226182747322,22.613015508783672
imdb,full_schema_lens,60,60,0,1.0,0.6666666666666666,0.95,0.7833333333333333,0.06256872190820552,0.0,0.5870653641792252,44.45333046444525,44.429983128763205
imdb,no_depth,60,60,0,1.0,0.38333333333333336,0.95,0.65,0.09022752384839205,0.010963203415410884,0.5870653641792252,48.74537844440662,44.429983128763205
imdb,no_relationship_semantics,60,60,0,1.0,0.35,0.6666666666666666,0.5166666666666667,0.3938822815043422,0.040123487904913664,6.967434074292564,44.90560066090742,44.429983128763205
imdb,no_relationship_semantics_no_depth,60,60,0,1.0,0.23333333333333334,0.5333333333333333,0.4,0.5793944877251422,0.10903360916186883,7.173239708067449,49.573123472837324,44.429983128763205
imdb,no_residual_traversal,60,60,0,1.0,0.3,0.9333333333333333,0.55,0.25760827763482896,0.033728029571037633,2.2863715890215954,63.424672032021284,44.429983128763205
imdb,no_sharedness,60,60,0,1.0,0.5666666666666667,0.8833333333333333,0.6666666666666666,0.1643042936009148,0.0,2.1382713044901154,44.491931580208366,44.429983128763205
imdb,no_update_volatility,60,60,0,1.0,0.5333333333333333,0.8833333333333333,0.6666666666666666,0.107334690520958,0.0,0.8959889924862883,44.53356575840491,44.429983128763205
ldbc_snb,full_schema_lens,132,132,0,1.0,0.9545454545454546,1.0,0.9772727272727273,0.004496588841765473,0.0,0.23837579097174177,912.1250689165512,904.9928478662023
ldbc_snb,no_depth,132,132,0,1.0,0.5151515151515151,1.0,0.5984848484848485,1.0607811627402042,0.0,23.021505999267873,922.6007787309671,904.9928478662023
ldbc_snb,no_relationship_semantics,132,114,18,0.8636363636363636,0.4824561403508772,0.9385964912280702,0.5526315789473685,1.702578539292578,0.015541400548508338,23.021505999267873,1060.7322530134727,1047.6818796866082
ldbc_snb,no_relationship_semantics_no_depth,132,114,18,0.8636363636363636,0.4824561403508772,0.9385964912280702,0.5526315789473685,1.702578539292578,0.015541400548508338,23.021505999267873,1060.7322530134727,1047.6818796866082
ldbc_snb,no_residual_traversal,132,132,0,1.0,0.45454545454545453,1.0,0.5681818181818182,1.075930745570811,0.02481509343163611,23.021505999267873,926.384786486795,904.9928478662023
ldbc_snb,no_sharedness,132,132,0,1.0,0.32575757575757575,1.0,0.4393939393939394,1.3449108837570183,0.11757229015917131,23.021505999267873,926.7567968272929,904.9928478662023
ldbc_snb,no_update_volatility,132,132,0,1.0,0.32575757575757575,0.8560606060606061,0.4621212121212121,1.3617932455947208,0.08326712776225234,23.021505999267873,935.1432676448233,904.9928478662023
