dataset,file,status,rows,cols,roles,matched_required_columns,missing_required_columns,all_columns
imdb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\imdb\ablation_variables\analytical_matrix_final_imdb.csv,OK,10,50,unknown,{},{},"['query_name', 'generic_class', 'query_type', 'Qi_entities_touched', 'Qi_n_entities_touched', 'abstract_query', 'query_notes', 'selected_root', 'Rc', 'D_value', 'entity_distances_from_root', 'all_entities_reachable', 'Rc_selected_edges', 'root_decision_rationale', 'n_association', 'n_associative', 'n_containment', 'n_associative_detail', 'n_containment_detail', 'n_descriptive_association', 'n_structural_association', 'n_shared_descriptor_edges', 'n_structural_component_edges', 'n_associative_bridge_edges', 'n_containment_edges', 'selected_root_from_reduction', 'selected_document_depth', 'Rc_from_reduction', 'selected_Re', 'selected_DeltaR', 'selected_DeltaR_ratio', 'selected_structural_coverage', 'dominant_semantic_group', 'dominant_semantic_detail', 'root_consistent_v5_v10', 'Rc_consistent_v5_v10', 'depth_selection_reason_v13', 'updavg', 'updmax', 'n_entities_with_nonzero_update_volatility', 'query_volatility_class', 'shareavg', 'sharemax', 'n_entities_with_sharedness_gt_1', 'query_sharedness_class', 'query_sharedness_details', 'query_avg_sharedness', 'query_max_sharedness', 'query_entities_with_sharedness_gt_1', 'document_candidate_assessment']"
imdb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\imdb\ablation_variables\benchmark_coverage_imdb.csv,OK,9,12,benchmark,"{'benchmark': ['config_name', 'activated_class', 'benchmark_family', 'primary_queries', 'secondary_affected_queries', 'control_queries']}",{'benchmark': []},"['config_name', 'activated_class', 'selected_root', 'embedding_variant', 'benchmark_family', 'primary_queries', 'secondary_affected_queries', 'control_queries', 'n_primary_queries', 'n_secondary_affected_queries', 'n_control_queries', 'changed_region_entities']"
imdb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\imdb\ablation_variables\query_analytical_metadata_imdb.csv,OK,10,30,query_metadata,"{'query_metadata': ['query_name', 'selected_root', 'Rc', 'D_value', 'selected_Re', 'selected_DeltaR', 'selected_DeltaR_ratio', 'n_association', 'n_associative', 'n_containment', 'query_avg_update_volatility', 'query_max_update_volatility', 'query_volatility_class', 'query_avg_sharedness', 'query_max_sharedness', 'query_sharedness_class', 'has_any_association', 'has_any_associative', 'has_any_containment']}",{'query_metadata': []},"['query_name', 'query_type', 'Qi_entities_touched', 'Qi_n_entities_touched', 'abstract_query', 'selected_root', 'Rc', 'D_value', 'selected_document_depth', 'selected_Re', 'selected_DeltaR', 'selected_DeltaR_ratio', 'selected_structural_coverage', 'n_association', 'n_associative', 'n_containment', 'query_avg_update_volatility', 'query_max_update_volatility', 'query_entities_with_nonzero_volatility', 'query_volatility_class', 'query_avg_sharedness', 'query_max_sharedness', 'query_entities_with_sharedness_gt_1', 'query_sharedness_class', 'document_candidate_assessment', 'has_full_absorption', 'is_structurally_neutral', 'has_any_association', 'has_any_associative', 'has_any_containment']"
imdb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\imdb\ablation_variables\query_class_activation_imdb.csv,OK,27,5,activation,"{'activation': ['query_name', 'activated_class', 'activation_reason']}",{'activation': []},"['query_name', 'generic_class', 'activated_class', 'selected_root', 'activation_reason']"
imdb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\imdb\ablation_variables\re_full_imdb.csv,OK,20,8,reduction,"{'reduction': ['query_name', 'selected_root', 'test_depth', 'Rc', 'Re', 'DeltaR']}",{'reduction': ['DeltaRratio']},"['query_name', 'selected_root', 'test_depth', 'Rc', 'n_edges_total', 'n_edges_absorbed', 'Re', 'DeltaR']"
imdb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\imdb\ablation_variables\reduction_summary_imdb.csv,OK,17,9,reduction,"{'reduction': ['query_name', 'selected_root', 'test_depth', 'Rc', 'Re', 'DeltaR', 'DeltaRratio']}",{'reduction': []},"['query_name', 'selected_root', 'test_depth', 'Rc', 'n_edges_total', 'n_edges_absorbed', 'Re', 'DeltaR', 'DeltaRratio']"
fiben,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\fiben\ablation_variables\benchmark_configuration_selection_fiben.csv,OK,60,35,benchmark,"{'benchmark': ['candidate_id', 'query_name', 'g_class', 'design_pattern', 'final_benchmark_group', 'selection_role', 'candidate_selection_score']}",{'benchmark': []},"['candidate_id', 'query_name', 'generic_class', 'query_family', 'query_type', 'g_class', 'root_entity', 'collection_name', 'variant', 'design_pattern', 'benchmark_priority', 'embedded_entities', 'referenced_entities', 'materialized_entities', 'n_embedded_entities', 'n_referenced_entities', 'n_materialized_entities', 'rationale', 'candidate_spec', 'candidate_spec_json', 'final_benchmark_group', 'is_generated_candidate', 'selection_role', 'candidate_selection_score', 'active_g_classes', 'primary_activation_class', 'primary_activation_name', 'primary_activation_score', 'DeltaRratio', 'query_update_volatility_score', 'max_observed_sharedness_score', 'combined_document_design_risk_class', 'document_potential_class', 'physical_mapping_reliability', 'benchmark_group_order']"
fiben,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\fiben\ablation_variables\benchmark_execution_plan_fiben.csv,OK,60,40,benchmark,"{'benchmark': ['candidate_id', 'query_name', 'g_class', 'design_pattern', 'final_benchmark_group', 'selection_role', 'candidate_selection_score']}",{'benchmark': []},"['benchmark_plan_order', 'query_name', 'candidate_id', 'final_benchmark_group', 'selection_role', 'benchmark_priority', 'g_class', 'design_pattern', 'variant', 'root_entity', 'collection_name', 'embedded_entities', 'referenced_entities', 'materialized_entities', 'n_embedded_entities', 'n_referenced_entities', 'n_materialized_entities', 'DeltaRratio', 'query_update_volatility_score', 'max_observed_sharedness_score', 'candidate_selection_score', 'should_load_configuration', 'should_run_read_benchmark', 'should_run_update_benchmark', 'benchmark_notes', 'candidate_spec_json', 'generic_class', 'query_family', 'query_type', 'rationale', 'candidate_spec', 'is_generated_candidate', 'active_g_classes', 'primary_activation_class', 'primary_activation_name', 'primary_activation_score', 'combined_document_design_risk_class', 'document_potential_class', 'physical_mapping_reliability', 'benchmark_group_order']"
fiben,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\fiben\ablation_variables\benchmark_selection_by_query_fiben.csv,OK,10,9,unknown,{},{},"['query_name', 'n_selected_configurations', 'selected_candidate_ids', 'selected_design_patterns', 'selected_g_classes', 'n_primary_configurations', 'n_secondary_affected_configurations', 'n_control_configurations', 'max_candidate_selection_score']"
fiben,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\fiben\ablation_variables\best_depth_by_query_fiben.csv,OK,10,14,reduction,"{'reduction': ['query_name', 'selected_root', 'Rc']}","{'reduction': ['document_depth', 'Re', 'DeltaR', 'DeltaRratio']}","['query_name', 'generic_class', 'query_family', 'query_type', 'selected_root', 'best_document_depth', 'max_depth_for_query', 'Rc', 'Re_at_best_depth', 'DeltaR_at_best_depth', 'DeltaRratio_at_best_depth', 'n_reachable_entities_at_best_depth', 'reachable_entities_at_best_depth', 'is_full_coverage_at_best_depth']"
