dataset,scale_label,query_name,run_phase,available_config_count,available_g_classes,schema_lens_g_classes,schema_lens_class_count,dominant_semantics,depth_D,metadata_status
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf1,Q1_CompanyProfileIBM,cold,2,CONTROL|G0,G0,1,local,0,confirmed
fiben,sf1,Q1_CompanyProfileIBM,hot,2,CONTROL|G0,G0,1,local,0,confirmed
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,4,confirmed
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,4,confirmed
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,cold,4,CONTROL|G2|G4|G9,G2|G4|G9,3,containment,3,confirmed
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,hot,4,CONTROL|G2|G4|G9,G2|G4|G9,3,containment,3,confirmed
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,cold,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,hot,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,cold,8,CONTROL|G2|G3|G4|G5|G6|G7|G9,G2|G3|G4|G5|G6|G7|G9,7,associative,2,confirmed
fiben,sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,hot,8,CONTROL|G2|G3|G4|G5|G6|G7|G9,G2|G3|G4|G5|G6|G7|G9,7,associative,2,confirmed
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,cold,6,CONTROL|G3|G5|G6|G7|G9,G3|G5|G6|G7|G9,5,associative,2,confirmed
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,hot,6,CONTROL|G3|G5|G6|G7|G9,G3|G5|G6|G7|G9,5,associative,2,confirmed
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf10,Q1_CompanyProfileIBM,cold,2,CONTROL|G0,G0,1,local,0,confirmed
fiben,sf10,Q1_CompanyProfileIBM,hot,2,CONTROL|G0,G0,1,local,0,confirmed
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,4,confirmed
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,4,confirmed
fiben,sf10,Q5_ReportsAndMetricDataOfCompany,cold,4,CONTROL|G2|G4|G9,G2|G4|G9,3,containment,3,confirmed
fiben,sf10,Q5_ReportsAndMetricDataOfCompany,hot,4,CONTROL|G2|G4|G9,G2|G4|G9,3,containment,3,confirmed
fiben,sf10,Q6_TechUSListedSecuritiesWithHighLastTradedValue,cold,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf10,Q6_TechUSListedSecuritiesWithHighLastTradedValue,hot,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf10,Q7_PersonsWhoBoughtMoreIBMThanSold,cold,8,CONTROL|G2|G3|G4|G5|G6|G7|G9,G2|G3|G4|G5|G6|G7|G9,7,associative,2,confirmed
fiben,sf10,Q7_PersonsWhoBoughtMoreIBMThanSold,hot,8,CONTROL|G2|G3|G4|G5|G6|G7|G9,G2|G3|G4|G5|G6|G7|G9,7,associative,2,confirmed
fiben,sf10,Q8_IBMTransactionsBelowAverageSellingPrice,cold,6,CONTROL|G3|G5|G6|G7|G9,G3|G5|G6|G7|G9,5,associative,2,confirmed
fiben,sf10,Q8_IBMTransactionsBelowAverageSellingPrice,hot,6,CONTROL|G3|G5|G6|G7|G9,G3|G5|G6|G7|G9,5,associative,2,confirmed
fiben,sf10,Q9_PersonsWhoBoughtAndSoldSameStock,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf10,Q9_PersonsWhoBoughtAndSoldSameStock,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf30,Q10_CreateAccountHoldingAndBuyTransaction,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf30,Q10_CreateAccountHoldingAndBuyTransaction,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf30,Q1_CompanyProfileIBM,cold,2,CONTROL|G0,G0,1,local,0,confirmed
fiben,sf30,Q1_CompanyProfileIBM,hot,2,CONTROL|G0,G0,1,local,0,confirmed
fiben,sf30,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf30,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf30,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf30,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
fiben,sf30,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,4,confirmed
fiben,sf30,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,4,confirmed
fiben,sf30,Q5_ReportsAndMetricDataOfCompany,cold,4,CONTROL|G2|G4|G9,G2|G4|G9,3,containment,3,confirmed
fiben,sf30,Q5_ReportsAndMetricDataOfCompany,hot,4,CONTROL|G2|G4|G9,G2|G4|G9,3,containment,3,confirmed
fiben,sf30,Q6_TechUSListedSecuritiesWithHighLastTradedValue,cold,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf30,Q6_TechUSListedSecuritiesWithHighLastTradedValue,hot,6,CONTROL|G1|G3|G5|G7|G9,G1|G3|G5|G7|G9,5,association,1,confirmed
fiben,sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,cold,8,CONTROL|G2|G3|G4|G5|G6|G7|G9,G2|G3|G4|G5|G6|G7|G9,7,associative,2,confirmed
fiben,sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,hot,8,CONTROL|G2|G3|G4|G5|G6|G7|G9,G2|G3|G4|G5|G6|G7|G9,7,associative,2,confirmed
fiben,sf30,Q8_IBMTransactionsBelowAverageSellingPrice,cold,6,CONTROL|G3|G5|G6|G7|G9,G3|G5|G6|G7|G9,5,associative,2,confirmed
fiben,sf30,Q8_IBMTransactionsBelowAverageSellingPrice,hot,6,CONTROL|G3|G5|G6|G7|G9,G3|G5|G6|G7|G9,5,associative,2,confirmed
fiben,sf30,Q9_PersonsWhoBoughtAndSoldSameStock,cold,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
