dataset,scale_label,query_name,run_phase,query_scale_phase_id,baseline,availability_status,selected_g_classes,selected_config_count,global_best_config_id,global_best_g_class,global_best_p95,baseline_best_config_id,baseline_best_g_class,baseline_best_p95,top1_preserved,top3_preserved,near_best_preserved,relative_regret,random_repetitions,random_k_size,random_top1_std,random_top3_std,random_near_best_std,random_regret_std,note
imdb,sf1,QG9_TopRatedSeriesByGenre,hot,imdb::sf1::QG9_TopRatedSeriesByGenre::hot,relationship_type_only,available,G0|G2|G3,3,series_g7,G7,4.0780437040666575,watchitem_g2,G2,159.41339150376731,0.0,0.0,0.0,38.0906530366016,,,,,,,Coverage status: full; performance computed over selected measured classes.
imdb,sf0.5,QG9_TopRatedSeriesByGenre,hot,imdb::sf0.5::QG9_TopRatedSeriesByGenre::hot,relationship_type_only,available,G0|G2|G3,3,series_g7,G7,2.054242697340668,watchitem_g2,G2,78.13642835462812,0.0,0.0,0.0,37.036610014863435,,,,,,,Coverage status: full; performance computed over selected measured classes.
imdb,sf1,QG9_TopRatedSeriesByGenre,cold,imdb::sf1::QG9_TopRatedSeriesByGenre::cold,relationship_type_only,available,G0|G2|G3,3,series_g8,G8,11.690209502557977,watchitem_g2,G2,196.7971635524009,0.0,0.0,0.0,15.834357289263206,,,,,,,Coverage status: full; performance computed over selected measured classes.
imdb,sf0.25,QG9_TopRatedSeriesByGenre,hot,imdb::sf0.25::QG9_TopRatedSeriesByGenre::hot,relationship_type_only,available,G0|G2|G3,3,series_g7,G7,3.006609698422833,watchitem_g0,G0,40.19758284921407,0.0,0.0,0.0,12.369737638477112,,,,,,,Coverage status: full; performance computed over selected measured classes.
imdb,sf0.25,QG9_TopRatedSeriesByGenre,cold,imdb::sf0.25::QG9_TopRatedSeriesByGenre::cold,relationship_type_only,available,G0|G2|G3,3,series_g8,G8,4.181634601991389,watchitem_g3,G3,40.41359749862748,0.0,0.0,0.0,8.664545409917359,,,,,,,Coverage status: full; performance computed over selected measured classes.
fiben,sf30,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf30::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,relationship_type_only,available,G3,1,q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,CONTROL,0.2866552327759563,q2_company_with_industry_country_and_listed_securities__g3__association_references,G3,2.5585654366295767,0.0,0.0,0.0,7.925584270179005,,,,,,,Coverage status: partial; performance computed over selected measured classes.
imdb,sf0.5,QG9_TopRatedSeriesByGenre,cold,imdb::sf0.5::QG9_TopRatedSeriesByGenre::cold,relationship_type_only,available,G0|G2|G3,3,series_g8,G8,10.406354698352503,watchitem_g0,G0,78.35055474060934,0.0,0.0,0.0,6.52910668641859,,,,,,,Coverage status: full; performance computed over selected measured classes.
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf10::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,relationship_type_only,available,G3,1,q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,CONTROL,0.3040543640963732,q2_company_with_industry_country_and_listed_securities__g3__association_references,G3,1.9528514938428965,0.0,0.0,0.0,5.422705030551444,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf30,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf30::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,relationship_type_only,available,G3,1,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,G9,0.2507009194232523,q2_company_with_industry_country_and_listed_securities__g3__association_references,G3,1.5413900895509869,0.0,0.0,0.0,5.1483224437190644,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf10::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,depth_only,available,G9,1,q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,CONTROL,0.3040543640963732,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,G9,1.700958103174341,0.0,0.0,0.0,4.59425650156169,,,,,,,Coverage status: partial; performance computed over selected measured classes.
