dataset,scale_label,query_name,run_phase,query_scale_phase_id,baseline,availability_status,selected_g_classes,selected_config_count,global_best_config_id,global_best_g_class,global_best_p95,baseline_best_config_id,baseline_best_g_class,baseline_best_p95,top1_preserved,top3_preserved,near_best_preserved,relative_regret,random_repetitions,random_k_size,random_top1_std,random_top3_std,random_near_best_std,random_regret_std,note
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,schema_lens,available,G2|G3|G4|G5|G7|G9,6,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,1.0,1.0,1.0,0.0,,,,,,,SchemaLens selects all non-control measured configuration classes for this case.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,random_k,available,random_sample_k=6,6,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,,,0.7345196548849343,0.84,1.0,1.0,0.005579339916669277,1000,6,0.36660605559646714,0.0,0.0,0.012783873748012783,Random-k is averaged over repeated samples from measured configuration classes.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,always_reference,available,CONTROL|G3|G7,3,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,q10_create_account_holding_and_buy_transaction__g3__association_references,G3,0.755915488116443,0.0,1.0,1.0,0.034870874479182974,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,always_embed,available,G2|G4|G5|G9,4,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,depth_only,available,G3|G4|G5|G9,4,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,relationship_type_only,available,G4|G5,2,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,schema_lens,available,G2|G3|G4|G5|G7|G9,6,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,1.0,1.0,1.0,0.0,,,,,,,SchemaLens selects all non-control measured configuration classes for this case.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,random_k,available,random_sample_k=6,6,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,,,0.5859388956509065,0.841,1.0,0.841,0.01802602031047328,1000,6,0.3656760861746363,0.0,0.3656760861746363,0.04145713557508408,Random-k is averaged over repeated samples from measured configuration classes.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,always_reference,available,CONTROL|G3|G7,3,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,q10_create_account_holding_and_buy_transaction__g7__update_aware_references,G7,0.64081612508744,0.0,1.0,0.0,0.11337119692121557,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,always_embed,available,G2|G4|G5|G9,4,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
