dataset,baseline,total_cases,available_cases,unavailable_cases,availability_ratio,top1_preservation_rate,top3_preservation_rate,near_best_preservation_rate,mean_relative_regret,median_relative_regret,max_relative_regret,mean_baseline_best_p95,mean_global_best_p95
fiben,always_embed,60,54,6,0.9,0.5,0.9814814814814815,0.8518518518518519,0.11541717014927509,0.000178044213294852,2.051029304576128,27.38505311954887,25.05395015371808
fiben,always_reference,60,60,0,1.0,0.5166666666666667,0.8833333333333333,0.6833333333333333,0.15129617042019328,0.0,3.508891757148259,27.450499455056455,22.613015508783672
fiben,depth_only,60,48,12,0.8,0.4791666666666667,0.7916666666666666,0.75,0.23734368089746752,0.001503807581516743,4.59425650156169,25.84997311035598,22.944896441185847
fiben,random_k,60,60,0,1.0,0.8048166666666666,1.0,0.8989333333333334,0.07744242757545677,0.0051619357692218246,1.6008380038399734,22.980093236038716,22.613015508783672
fiben,relationship_type_only,60,60,0,1.0,0.38333333333333336,0.7666666666666667,0.5833333333333334,0.41210670051785653,0.018841423163335272,7.925584270179005,25.625253368537717,22.613015508783672
fiben,schema_lens,60,60,0,1.0,0.8333333333333334,1.0,0.9,0.09366646670450986,0.0,2.051029304576128,23.839087543116573,22.613015508783672
imdb,always_embed,60,60,0,1.0,0.7166666666666667,1.0,0.7833333333333333,0.0702658601010769,0.0,0.8959889924862883,44.51340763004432,44.429983128763205
imdb,always_reference,60,60,0,1.0,0.2833333333333333,0.7666666666666667,0.4666666666666667,0.3420729483151087,0.06465952886810408,2.9094421435712667,65.36663606316021,44.429983128763205
imdb,depth_only,60,60,0,1.0,0.65,0.9166666666666666,0.75,0.06937024250051518,0.0,0.8959889924862883,44.74636993386715,44.429983128763205
imdb,random_k,60,60,0,1.0,0.7769666666666667,0.9815333333333334,0.8651666666666668,0.04052203136936848,0.00793982625016635,0.36958144923563224,44.454678007706335,44.429983128763205
imdb,relationship_type_only,60,60,0,1.0,0.25,0.5166666666666667,0.4166666666666667,2.3679622732548564,0.1180196989386322,38.0906530366016,68.20149122243188,44.429983128763205
imdb,schema_lens,60,60,0,1.0,0.6666666666666666,0.95,0.7833333333333333,0.06256872190820552,0.0,0.5870653641792252,44.45333046444525,44.429983128763205
ldbc_snb,always_embed,132,66,66,0.5,0.15151515151515152,0.8636363636363636,0.2878787878787879,0.6816364995841805,0.21636702777585398,7.6786875503202205,1377.1712521863678,1340.616956263936
ldbc_snb,always_reference,132,132,0,1.0,0.9242424242424242,1.0,0.9696969696969697,0.011716048270713925,0.0,0.5696229402434627,906.1847309230925,904.9928478662023
ldbc_snb,depth_only,132,72,60,0.5454545454545454,0.4305555555555556,0.9166666666666666,0.5694444444444444,0.14667457495255265,0.01616232523081308,1.324895074013249,1546.9601556758992,1490.0812418914736
ldbc_snb,random_k,132,132,0,1.0,0.9772424242424241,1.0,0.9886666666666666,0.0022282267143667427,0.0,0.11322850071157736,908.541008120708,904.9928478662023
ldbc_snb,relationship_type_only,132,114,18,0.8636363636363636,0.7017543859649122,0.9649122807017544,0.7807017543859649,0.5727227565993461,0.0,15.450651489166868,1055.3479502016369,1047.6818796866082
ldbc_snb,schema_lens,132,132,0,1.0,0.9545454545454546,1.0,0.9772727272727273,0.004496588841765473,0.0,0.23837579097174177,912.1250689165512,904.9928478662023
