baseline,dataset,selected_g_classes,n_cases
always_embed,fiben,G2|G4|G5|G9,15
always_embed,fiben,G5|G9,9
always_embed,fiben,G2|G4|G9,3
always_embed,imdb,G2|G4|G5|G8|G9,30
always_embed,ldbc_snb,G9,15
always_embed,ldbc_snb,G4,12
always_embed,ldbc_snb,G4|G9,6
always_reference,fiben,CONTROL|G3|G7,18
always_reference,fiben,CONTROL|G3|G6|G7,6
always_reference,fiben,CONTROL,3
always_reference,fiben,CONTROL|G0,3
always_reference,imdb,G0|G3|G6|G7,30
always_reference,ldbc_snb,G0|G3,30
always_reference,ldbc_snb,G0|G3|G7,15
always_reference,ldbc_snb,G6,9
always_reference,ldbc_snb,G0|G3|G6|G7,6
always_reference,ldbc_snb,G0,3
always_reference,ldbc_snb,G0|G3|G6,3
depth_only,fiben,G3|G4|G5|G9,9
depth_only,fiben,G9,6
depth_only,fiben,G3|G4|G5|G6|G9,3
depth_only,fiben,G3|G5|G6|G9,3
depth_only,fiben,G3|G7,3
depth_only,imdb,G2|G8|G9,21
depth_only,imdb,G3|G4|G5|G6|G9,9
depth_only,ldbc_snb,G9,15
depth_only,ldbc_snb,G3,12
depth_only,ldbc_snb,G0|G3|G7,3
depth_only,ldbc_snb,G3|G4|G6,3
depth_only,ldbc_snb,G3|G4|G6|G9,3
random_k,fiben,random_sample_k=6,12
random_k,fiben,random_sample_k=5,9
random_k,fiben,random_sample_k=1,3
random_k,fiben,random_sample_k=3,3
random_k,fiben,random_sample_k=7,3
random_k,imdb,random_sample_k=6,15
random_k,imdb,random_sample_k=9,12
random_k,imdb,random_sample_k=4,3
random_k,ldbc_snb,random_sample_k=2,39
random_k,ldbc_snb,random_sample_k=4,18
random_k,ldbc_snb,random_sample_k=6,6
random_k,ldbc_snb,random_sample_k=1,3
relationship_type_only,fiben,G4|G5,12
relationship_type_only,fiben,G3,6
relationship_type_only,fiben,CONTROL|G0,3
relationship_type_only,fiben,G4|G5|G6,3
relationship_type_only,fiben,G5|G6,3
relationship_type_only,fiben,G9,3
relationship_type_only,imdb,G0|G2,9
relationship_type_only,imdb,G0|G2|G3,9
relationship_type_only,imdb,G4|G5|G6,9
relationship_type_only,imdb,G7|G8|G9,3
relationship_type_only,ldbc_snb,G0|G3,36
relationship_type_only,ldbc_snb,G0,9
relationship_type_only,ldbc_snb,G7|G9,9
relationship_type_only,ldbc_snb,G0|G1,3
schema_lens,fiben,G2|G3|G4|G5|G7|G9,12
schema_lens,fiben,G1|G3|G5|G7|G9,6
schema_lens,fiben,G0,3
schema_lens,fiben,G2|G3|G4|G5|G6|G7|G9,3
schema_lens,fiben,G2|G4|G9,3
schema_lens,fiben,G3|G5|G6|G7|G9,3
schema_lens,imdb,G0|G2|G3|G4|G5|G6,15
schema_lens,imdb,G0|G2|G3|G4|G5|G6|G7|G8|G9,12
schema_lens,imdb,G3|G7|G8|G9,3
schema_lens,ldbc_snb,G0|G3,30
schema_lens,ldbc_snb,G0|G3|G7|G9,15
schema_lens,ldbc_snb,G4|G6,9
schema_lens,ldbc_snb,G0|G3|G4|G6|G7|G9,6
schema_lens,ldbc_snb,G0|G3|G4|G6,3
schema_lens,ldbc_snb,G1,3
