dataset,scale_label,query_name,run_phase,selected_g_classes,selected_config_count,activated_count,dsr,global_best_g_class,baseline_best_g_class,top1_preserved,top3_preserved,near_best_preserved,relative_regret
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,G2|G3|G4|G5|G7|G9,6,6,0.4,G9,G9,1.0,1.0,1.0,0.0
fiben,sf1,Q1_CompanyProfileIBM,hot,G0,1,1,0.9,CONTROL,G0,0.0,1.0,0.0,1.3903518947787057
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,G1|G3|G5|G7|G9,5,5,0.5,G5,G5,1.0,1.0,1.0,0.0
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,G2|G3|G4|G5|G7|G9,6,6,0.4,G5,G5,1.0,1.0,1.0,0.0
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,G2|G3|G4|G5|G7|G9,6,6,0.4,CONTROL,G4,0.0,1.0,0.0,0.1807082320186638
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,hot,G2|G4|G9,3,3,0.7,G2,G2,1.0,1.0,1.0,0.0
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,hot,G1|G3|G5|G7|G9,5,5,0.5,G9,G9,1.0,1.0,1.0,0.0
fiben,sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,hot,G2|G3|G4|G5|G6|G7|G9,7,7,0.30000000000000004,G4,G4,1.0,1.0,1.0,0.0
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,hot,G3|G5|G6|G7|G9,5,5,0.5,G7,G7,1.0,1.0,1.0,0.0
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,hot,G2|G3|G4|G5|G7|G9,6,6,0.4,G7,G7,1.0,1.0,1.0,0.0
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,hot,G2|G3|G4|G5|G7|G9,6,6,0.4,G3,G3,1.0,1.0,1.0,0.0
fiben,sf10,Q1_CompanyProfileIBM,hot,G0,1,1,0.9,CONTROL,G0,0.0,1.0,0.0,0.1556969272211012
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,G1|G3|G5|G7|G9,5,5,0.5,G1,G1,1.0,1.0,1.0,0.0
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,G2|G3|G4|G5|G7|G9,6,6,0.4,G4,G4,1.0,1.0,1.0,0.0
