dataset,scale_label,query_name,global_best_g_class,global_best_p95,schema_lens_selected_space,baseline_available_count,baseline_hit_count,baseline_miss_count,baseline_mean_miss_regret,baseline_max_miss_regret,baseline_has_strong_miss,baseline_hit_details,baseline_miss_details,random_k_top1_or_probability,random_k_expected_p95,random_k_regret,ablation_available_count,ablation_hit_count,ablation_miss_count,ablation_mean_miss_regret,ablation_max_miss_regret,ablation_has_strong_miss,ablation_hit_details,ablation_miss_details,case_focus,selected_root,Rc,D,Re,DeltaRratio,dominant_semantic_type,update_volatility_max,observed_sharedness_max,query_family,query_type,baseline_score,ablation_score,joint_score,case_type
ldbc_snb,sf3,IC7_RecentLikers,G3,0.8586212992668152,G0|G3|G4|G6,4,3,1,1.0785756812608576,1.0785756812608576,1,always_reference->G3 p95=0.859 delta=0.000 regret=0.000; depth_only->G3 p95=0.859 delta=0.000 regret=0.000; relationship_type_only->G3 p95=0.859 delta=0.000 regret=0.000,always_embed->G4 p95=1.785 delta=0.926 regret=1.079,1.0,0.8586212992668152,0.0,6,0,6,2.227453892577256,4.873476984776409,1,,no_relationship_semantics->G0 p95=5.043 delta=4.184 regret=4.873 (space=G0; removed=G3|G4|G6); no_depth->G6 p95=1.585 delta=0.727 regret=0.846 (space=G0|G6; removed=G3|G4); no_residual_traversal->G6 p95=1.585 delta=0.727 regret=0.846 (space=G0|G6; removed=G3|G4); no_sharedness->G4 p95=1.785 delta=0.926 regret=1.079 (space=G0|G4; removed=G3|G6); no_update_volatility->G6 p95=1.585 delta=0.727 regret=0.846 (space=G0|G4|G6; removed=G3); no_relationship_semantics_no_depth->G0 p95=5.043 delta=4.184 regret=4.873 (space=G0; removed=G3|G4|G6),official complex read / likes and friend check,Person,5.0,2.0,3.0,0.4,association,1.0,0.106448461162677,complex_read,read,4.157151362521715,18.87347698477641,25.109204028558985,ablation_strong_with_baseline_signal
ldbc_snb,sf3,INS1_AddPerson,G3,1.233651558868587,G0|G3,4,1,3,0.3276027354519596,0.9828082063558788,1,always_reference->G3 p95=1.234 delta=0.000 regret=0.000,always_embed-> p95=0.000 delta=-1.234 regret=0.000; depth_only-> p95=0.000 delta=-1.234 regret=0.000; relationship_type_only->G0 p95=2.446 delta=1.212 regret=0.983,1.0,1.233651558868587,0.0,6,0,6,0.9828082063558788,0.9828082063558788,1,,no_relationship_semantics->G0 p95=2.446 delta=1.212 regret=0.983 (space=G0; removed=G3); no_depth->G0 p95=2.446 delta=1.212 regret=0.983 (space=G0; removed=G3); no_residual_traversal->G0 p95=2.446 delta=1.212 regret=0.983 (space=G0; removed=G3); no_sharedness->G0 p95=2.446 delta=1.212 regret=0.983 (space=G0; removed=G3); no_update_volatility->G0 p95=2.446 delta=1.212 regret=0.983 (space=G0; removed=G3); no_relationship_semantics_no_depth->G0 p95=2.446 delta=1.212 regret=0.983 (space=G0; removed=G3),,,,,,,,,,,,7.310410941807838,13.965616412711757,24.931232825423514,joint_strong
ldbc_snb,sf3,IS1_ProfileOfPerson,G3,0.2856900915503502,G0|G3,4,1,3,0.32114935667946887,0.9634480700384066,1,always_reference->G3 p95=0.286 delta=0.000 regret=0.000,always_embed-> p95=0.000 delta=-0.286 regret=0.000; depth_only-> p95=0.000 delta=-0.286 regret=0.000; relationship_type_only->G0 p95=0.561 delta=0.275 regret=0.963,1.0,0.2856900915503502,0.0,6,0,6,0.9634480700384066,0.9634480700384066,1,,no_relationship_semantics->G0 p95=0.561 delta=0.275 regret=0.963 (space=G0; removed=G3); no_depth->G0 p95=0.561 delta=0.275 regret=0.963 (space=G0; removed=G3); no_residual_traversal->G0 p95=0.561 delta=0.275 regret=0.963 (space=G0; removed=G3); no_sharedness->G0 p95=0.561 delta=0.275 regret=0.963 (space=G0; removed=G3); no_update_volatility->G0 p95=0.561 delta=0.275 regret=0.963 (space=G0; removed=G3); no_relationship_semantics_no_depth->G0 p95=0.561 delta=0.275 regret=0.963 (space=G0; removed=G3),,,,,,,,,,,,7.284597426717876,13.926896140076813,24.853792280153627,joint_strong
ldbc_snb,sf1,IS1_ProfileOfPerson,G3,0.3514554351568221,G0|G3,4,1,3,0.20617761570975135,0.618532847129254,1,always_reference->G3 p95=0.351 delta=0.000 regret=0.000,always_embed-> p95=0.000 delta=-0.351 regret=0.000; depth_only-> p95=0.000 delta=-0.351 regret=0.000; relationship_type_only->G0 p95=0.569 delta=0.217 regret=0.619,1.0,0.3514554351568221,0.0,6,0,6,0.618532847129254,0.618532847129254,1,,no_relationship_semantics->G0 p95=0.569 delta=0.217 regret=0.619 (space=G0; removed=G3); no_depth->G0 p95=0.569 delta=0.217 regret=0.619 (space=G0; removed=G3); no_residual_traversal->G0 p95=0.569 delta=0.217 regret=0.619 (space=G0; removed=G3); no_sharedness->G0 p95=0.569 delta=0.217 regret=0.619 (space=G0; removed=G3); no_update_volatility->G0 p95=0.569 delta=0.217 regret=0.619 (space=G0; removed=G3); no_relationship_semantics_no_depth->G0 p95=0.569 delta=0.217 regret=0.619 (space=G0; removed=G3),,,,,,,,,,,,6.824710462839005,13.237065694258508,23.474131388517016,joint_strong
ldbc_snb,sf0.1,INS1_AddPerson,G3,0.9918343741446732,G0|G3,4,1,3,0.13363659737374164,0.4009097921212249,1,always_reference->G3 p95=0.992 delta=0.000 regret=0.000,always_embed-> p95=0.000 delta=-0.992 regret=0.000; depth_only-> p95=0.000 delta=-0.992 regret=0.000; relationship_type_only->G0 p95=1.389 delta=0.398 regret=0.401,1.0,0.9918343741446732,0.0,6,0,6,0.40090979212122496,0.4009097921212249,1,,no_relationship_semantics->G0 p95=1.389 delta=0.398 regret=0.401 (space=G0; removed=G3); no_depth->G0 p95=1.389 delta=0.398 regret=0.401 (space=G0; removed=G3); no_residual_traversal->G0 p95=1.389 delta=0.398 regret=0.401 (space=G0; removed=G3); no_sharedness->G0 p95=1.389 delta=0.398 regret=0.401 (space=G0; removed=G3); no_update_volatility->G0 p95=1.389 delta=0.398 regret=0.401 (space=G0; removed=G3); no_relationship_semantics_no_depth->G0 p95=1.389 delta=0.398 regret=0.401 (space=G0; removed=G3),,,,,,,,,,,,6.534546389494967,12.801819584242448,22.603639168484897,joint_strong
ldbc_snb,sf1,IS7_RepliesOfMessage,G3,1.2579675763845444,G0|G3|G7|G9,4,1,3,0.1379222301915612,0.1379222301915612,1,always_reference->G3 p95=1.258 delta=0.000 regret=0.000,always_embed->G9 p95=1.431 delta=0.174 regret=0.138; depth_only->G9 p95=1.431 delta=0.174 regret=0.138; relationship_type_only->G9 p95=1.431 delta=0.174 regret=0.138,1.0,1.2579675763845444,0.0,6,0,6,0.23594976757300942,0.4087205208078221,1,,no_relationship_semantics->G9 p95=1.431 delta=0.174 regret=0.138 (space=G0|G7|G9; removed=G3); no_depth->G9 p95=1.431 delta=0.174 regret=0.138 (space=G0|G7|G9; removed=G3); no_residual_traversal->G7 p95=1.631 delta=0.373 regret=0.297 (space=G0|G7; removed=G3|G9); no_sharedness->G7 p95=1.631 delta=0.373 regret=0.297 (space=G0|G7; removed=G3|G9); no_update_volatility->G0 p95=1.772 delta=0.514 regret=0.409 (space=G0; removed=G3|G7|G9); no_relationship_semantics_no_depth->G9 p95=1.431 delta=0.174 regret=0.138 (space=G0|G7|G9; removed=G3),official short read / replies and author relation,Post,5.0,2.0,3.0,0.4,association,1.0,0.106448461162677,short_read,read,6.275844460383123,12.644670288380832,22.05843697895552,joint_strong
ldbc_snb,sf1,INS4_AddForum,G3,1.4519527088850737,G0|G3,4,1,3,0.07622876605970397,0.2286862981791119,1,always_reference->G3 p95=1.452 delta=0.000 regret=0.000,always_embed-> p95=0.000 delta=-1.452 regret=0.000; depth_only-> p95=0.000 delta=-1.452 regret=0.000; relationship_type_only->G0 p95=1.784 delta=0.332 regret=0.229,1.0,1.4519527088850737,0.0,6,0,6,0.22868629817911187,0.2286862981791119,1,,no_relationship_semantics->G0 p95=1.784 delta=0.332 regret=0.229 (space=G0; removed=G3); no_depth->G0 p95=1.784 delta=0.332 regret=0.229 (space=G0; removed=G3); no_residual_traversal->G0 p95=1.784 delta=0.332 regret=0.229 (space=G0; removed=G3); no_sharedness->G0 p95=1.784 delta=0.332 regret=0.229 (space=G0; removed=G3); no_update_volatility->G0 p95=1.784 delta=0.332 regret=0.229 (space=G0; removed=G3); no_relationship_semantics_no_depth->G0 p95=1.784 delta=0.332 regret=0.229 (space=G0; removed=G3),,,,,,,,,,,,6.304915064238816,12.457372596358223,21.914745192716445,joint_strong
ldbc_snb,sf3,INS4_AddForum,G3,1.9815747626125813,G0|G3,4,1,3,0.07537916417434283,0.2261374925230285,1,always_reference->G3 p95=1.982 delta=0.000 regret=0.000,always_embed-> p95=0.000 delta=-1.982 regret=0.000; depth_only-> p95=0.000 delta=-1.982 regret=0.000; relationship_type_only->G0 p95=2.430 delta=0.448 regret=0.226,1.0,1.9815747626125813,0.0,6,0,6,0.22613749252302853,0.2261374925230285,1,,no_relationship_semantics->G0 p95=2.430 delta=0.448 regret=0.226 (space=G0; removed=G3); no_depth->G0 p95=2.430 delta=0.448 regret=0.226 (space=G0; removed=G3); no_residual_traversal->G0 p95=2.430 delta=0.448 regret=0.226 (space=G0; removed=G3); no_sharedness->G0 p95=2.430 delta=0.448 regret=0.226 (space=G0; removed=G3); no_update_volatility->G0 p95=2.430 delta=0.448 regret=0.226 (space=G0; removed=G3); no_relationship_semantics_no_depth->G0 p95=2.430 delta=0.448 regret=0.226 (space=G0; removed=G3),,,,,,,,,,,,6.301516656697371,12.452274985046056,21.904549970092113,joint_strong
ldbc_snb,sf1,INS2_AddLikeToPost,G6,0.5551356123760343,G4|G6,4,1,3,0.6805214590919536,2.041564377275861,1,always_reference->G6 p95=0.555 delta=0.000 regret=0.000,always_embed->G4 p95=1.688 delta=1.133 regret=2.042; depth_only-> p95=0.000 delta=-0.555 regret=0.000; relationship_type_only-> p95=0.000 delta=-0.555 regret=0.000,1.0,0.5551356123760343,0.0,6,3,3,0.6805214590919536,2.041564377275861,1,no_depth->G6 p95=0.555 delta=0.000 regret=0.000 (space=G6; removed=G4); no_residual_traversal->G6 p95=0.555 delta=0.000 regret=0.000 (space=G6; removed=G4); no_update_volatility->G6 p95=0.555 delta=0.000 regret=0.000 (space=G4|G6),no_relationship_semantics-> p95=0.000 delta=-0.555 regret=0.000 (removed=G4|G6); no_sharedness->G4 p95=1.688 delta=1.133 regret=2.042 (space=G4; removed=G6); no_relationship_semantics_no_depth-> p95=0.000 delta=-0.555 regret=0.000 (removed=G4|G6),,,,,,,,,,,,8.722085836367814,8.722085836367814,21.805214590919533,joint_strong
ldbc_snb,sf1,INS1_AddPerson,G3,1.874242164194584,G0|G3,4,1,3,0.031173841876426498,0.0935215256292795,0,always_reference->G3 p95=1.874 delta=0.000 regret=0.000,always_embed-> p95=0.000 delta=-1.874 regret=0.000; depth_only-> p95=0.000 delta=-1.874 regret=0.000; relationship_type_only->G0 p95=2.050 delta=0.175 regret=0.094,1.0,1.874242164194584,0.0,6,0,6,0.0935215256292795,0.0935215256292795,0,,no_relationship_semantics->G0 p95=2.050 delta=0.175 regret=0.094 (space=G0; removed=G3); no_depth->G0 p95=2.050 delta=0.175 regret=0.094 (space=G0; removed=G3); no_residual_traversal->G0 p95=2.050 delta=0.175 regret=0.094 (space=G0; removed=G3); no_sharedness->G0 p95=2.050 delta=0.175 regret=0.094 (space=G0; removed=G3); no_update_volatility->G0 p95=2.050 delta=0.175 regret=0.094 (space=G0; removed=G3); no_relationship_semantics_no_depth->G0 p95=2.050 delta=0.175 regret=0.094 (space=G0; removed=G3),,,,,,,,,,,,6.124695367505706,12.18704305125856,21.37408610251712,weak_or_redundant
