official_id,scale_label,activated_regret,primary_regret,global_best_g_class,global_best_group,global_best_p95_latency_ms
IC1,sf0.1,0.0,0.0,G0,primary,407.6774085406214
IC2,sf0.1,0.0,0.0,G3,primary,11.36461275164038
IC3,sf0.1,0.0,0.0,G3,primary,645.5053343670442
IC4,sf0.1,0.0,0.0,G0,primary,15.355125255882738
IC5,sf0.1,0.0,0.0,G3,primary,2962.312255683355
IC6,sf0.1,0.0,0.0,G0,primary,49.4784573558718
IC7,sf0.1,0.0,0.0,G3,primary,0.7809062954038382
INS1,sf0.1,0.0,0.0,G3,primary,0.9918343741446732
INS2,sf0.1,0.0,0.0,G6,primary,1.0702538304030895
INS3,sf0.1,0.0,0.0,G6,primary,1.3003105064854026
INS4,sf0.1,0.0,0.0,G0,primary,1.9892216660082336
INS5,sf0.1,0.0,0.0,G6,primary,0.6517352303490043
INS6,sf0.1,0.0,0.4348216275740174,G7,secondary_affected,1.562038459815085
INS7,sf0.1,0.0,0.36202754917069757,G7,secondary_affected,1.1086300713941457
INS8,sf0.1,0.0,0.0,G0,primary,0.5134835140779612
IS1,sf0.1,0.0,0.0,G3,primary,0.3323353128507733
IS2,sf0.1,0.0,,G9,secondary_affected,1.3761401642113915
IS3,sf0.1,0.0,0.0,G3,primary,0.7041530450806022
IS4,sf0.1,0.00012144826934837949,0.00012144826934837949,G0,control,93.52295123972
IS5,sf0.1,0.0,0.0,G0,primary,1.2501776451244946
IS6,sf0.1,0.0,0.0,G9,primary,94.48190636467189
IS7,sf0.1,0.0,0.5696229402434627,G9,secondary_affected,0.874050357379019
IC1,sf1,0.0,0.0,G0,primary,2827.2060004761443
IC2,sf1,0.0,0.0,G3,primary,16.605158452875912
IC3,sf1,0.0,0.08811259705731596,G7,secondary_affected,3664.1984829446296
IC4,sf1,0.0,0.0,G3,primary,61.061802972108126
IC5,sf1,0.0,0.0011507125445715393,G7,secondary_affected,8636.625373270363
IC6,sf1,0.0,0.0,G0,primary,82.23682607058436
IC7,sf1,0.0,0.4737298366777791,G6,secondary_affected,1.1722147930413485
INS1,sf1,0.0,0.0,G3,primary,1.874242164194584
INS2,sf1,0.0,0.0,G6,primary,0.5551356123760343
INS3,sf1,0.0,0.0,G6,primary,1.0541439056396484
INS4,sf1,0.0,0.0,G3,primary,1.4519527088850737
INS5,sf1,0.0,0.0,G6,primary,0.6805679993703961
INS6,sf1,0.0,0.24523006301095585,G7,secondary_affected,1.7574992030858994
INS7,sf1,0.0,0.1478584410268964,G7,secondary_affected,1.5986245591193438
INS8,sf1,0.0,0.0,G3,primary,0.8583541493862863
IS1,sf1,0.0,0.0,G3,primary,0.3514554351568221
IS2,sf1,0.0,,G9,secondary_affected,1.876588980667293
IS3,sf1,0.0,0.0,G3,primary,0.7068826584145427
IS4,sf1,0.041751108784861414,0.041751108784861414,G0,control,1247.1139102010056
IS5,sf1,0.0,0.0,G3,primary,0.5504123866558073
IS6,sf1,0.0,0.09612496715430173,G3,secondary_affected,1294.5043080952018
IS7,sf1,0.0,0.0,G3,primary,1.2579675763845444
IC1,sf3,0.0,0.0,G0,primary,5567.528298520482
IC2,sf3,0.0,0.0,G0,primary,36.35683855973183
IC3,sf3,0.0,0.02621391483243485,G7,secondary_affected,5790.021879947744
IC4,sf3,0.0,0.0,G0,primary,62.66664217691868
IC5,sf3,0.0,0.008348987007548263,G9,secondary_affected,16242.84667596221
IC6,sf3,0.0,0.0,G3,primary,99.28986779414116
IC7,sf3,0.0,0.0,G3,primary,0.8586212992668152
INS1,sf3,0.0,0.0,G3,primary,1.233651558868587
INS2,sf3,0.0,0.0,G4,primary,1.664909720420837
INS3,sf3,0.0,0.0,G6,primary,1.1133011430501938
INS4,sf3,0.0,0.0,G3,primary,1.9815747626125813
INS5,sf3,0.0,0.0,G6,primary,0.5913543049246073
INS6,sf3,0.0,0.23818755207189068,G7,secondary_affected,1.0188206331804397
INS7,sf3,0.0,0.4730966232123848,G7,secondary_affected,1.596001721918583
INS8,sf3,0.0,0.0,G0,primary,0.5076339235529299
IS1,sf3,0.0,0.0,G3,primary,0.2856900915503502
IS2,sf3,0.0,,G7,secondary_affected,1.2880705296993256
IS3,sf3,0.0,0.0,G3,primary,0.7044013123959301
IS4,sf3,0.03240406955075788,0.03240406955075788,G0,control,4795.356284594163
IS5,sf3,0.0,0.0,G3,primary,0.9215830126777292
IS6,sf3,0.0,0.020876768891200086,G3,secondary_affected,4783.008740656078
IS7,sf3,0.0,0.06436090565466211,G7,secondary_affected,1.341143879108131
