scale_label,official_id,run_phase,plan_scope,rows
sf0.1,IC1,cold,read_query_plan_available,2
sf0.1,IC1,hot,read_query_plan_available,2
sf0.1,IC2,cold,read_query_plan_available,2
sf0.1,IC2,hot,read_query_plan_available,2
sf0.1,IC3,cold,read_query_plan_available,4
sf0.1,IC3,hot,read_query_plan_available,4
sf0.1,IC4,cold,read_query_plan_available,2
sf0.1,IC4,hot,read_query_plan_available,2
sf0.1,IC5,cold,read_query_plan_available,6
sf0.1,IC5,hot,read_query_plan_available,6
sf0.1,IC6,cold,read_query_plan_available,2
sf0.1,IC6,hot,read_query_plan_available,2
sf0.1,IC7,cold,read_query_plan_available,4
sf0.1,IC7,hot,read_query_plan_available,4
sf0.1,INS1,cold,write_workload_no_read_executionStats,2
sf0.1,INS1,hot,write_workload_no_read_executionStats,2
sf0.1,INS2,cold,write_workload_no_read_executionStats,2
sf0.1,INS2,hot,write_workload_no_read_executionStats,2
sf0.1,INS3,cold,write_workload_no_read_executionStats,2
sf0.1,INS3,hot,write_workload_no_read_executionStats,2
sf0.1,INS4,cold,write_workload_no_read_executionStats,2
sf0.1,INS4,hot,write_workload_no_read_executionStats,2
sf0.1,INS5,cold,write_workload_no_read_executionStats,2
sf0.1,INS5,hot,write_workload_no_read_executionStats,2
sf0.1,INS6,cold,write_workload_no_read_executionStats,4
sf0.1,INS6,hot,write_workload_no_read_executionStats,4
sf0.1,INS7,cold,write_workload_no_read_executionStats,4
sf0.1,INS7,hot,write_workload_no_read_executionStats,4
sf0.1,INS8,cold,write_workload_no_read_executionStats,2
sf0.1,INS8,hot,write_workload_no_read_executionStats,2
sf0.1,IS1,cold,read_query_plan_available,2
sf0.1,IS1,hot,read_query_plan_available,2
sf0.1,IS2,cold,read_query_plan_available,6
sf0.1,IS2,hot,read_query_plan_available,6
sf0.1,IS3,cold,read_query_plan_available,2
sf0.1,IS3,hot,read_query_plan_available,2
sf0.1,IS4,cold,read_query_plan_available,2
sf0.1,IS4,hot,read_query_plan_available,2
sf0.1,IS5,cold,read_query_plan_available,2
sf0.1,IS5,hot,read_query_plan_available,2
sf0.1,IS6,cold,read_query_plan_available,4
sf0.1,IS6,hot,read_query_plan_available,4
sf0.1,IS7,cold,read_query_plan_available,4
sf0.1,IS7,hot,read_query_plan_available,4
sf1,IC1,cold,read_query_plan_available,2
sf1,IC1,hot,read_query_plan_available,2
sf1,IC2,cold,read_query_plan_available,2
sf1,IC2,hot,read_query_plan_available,2
sf1,IC3,cold,read_query_plan_available,4
sf1,IC3,hot,read_query_plan_available,4
sf1,IC4,cold,read_query_plan_available,2
sf1,IC4,hot,read_query_plan_available,2
sf1,IC5,cold,read_query_plan_available,6
sf1,IC5,hot,read_query_plan_available,6
sf1,IC6,cold,read_query_plan_available,2
sf1,IC6,hot,read_query_plan_available,2
sf1,IC7,cold,read_query_plan_available,4
sf1,IC7,hot,read_query_plan_available,4
sf1,INS1,cold,write_workload_no_read_executionStats,2
sf1,INS1,hot,write_workload_no_read_executionStats,2
sf1,INS2,cold,write_workload_no_read_executionStats,2
sf1,INS2,hot,write_workload_no_read_executionStats,2
sf1,INS3,cold,write_workload_no_read_executionStats,2
sf1,INS3,hot,write_workload_no_read_executionStats,2
sf1,INS4,cold,write_workload_no_read_executionStats,2
sf1,INS4,hot,write_workload_no_read_executionStats,2
sf1,INS5,cold,write_workload_no_read_executionStats,2
sf1,INS5,hot,write_workload_no_read_executionStats,2
sf1,INS6,cold,write_workload_no_read_executionStats,4
sf1,INS6,hot,write_workload_no_read_executionStats,4
sf1,INS7,cold,write_workload_no_read_executionStats,4
sf1,INS7,hot,write_workload_no_read_executionStats,4
sf1,INS8,cold,write_workload_no_read_executionStats,2
sf1,INS8,hot,write_workload_no_read_executionStats,2
sf1,IS1,cold,read_query_plan_available,2
sf1,IS1,hot,read_query_plan_available,2
sf1,IS2,cold,read_query_plan_available,6
sf1,IS2,hot,read_query_plan_available,6
