dataset,scale_label,query_name,run_phase,baseline,metadata_status,dominant_semantics,depth_D,available_g_classes,desired_g_classes,selected_available_g_classes,missing_g_classes,desired_count,selected_available_count,coverage_ratio,coverage_status,note
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,depth_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G3|G4|G5|G6|G9,G3|G4|G5|G9,G6,5,4,0.8,partial,
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,relationship_type_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,depth_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G3|G4|G5|G6|G9,G3|G4|G5|G9,G6,5,4,0.8,partial,
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,relationship_type_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf1,Q1_CompanyProfileIBM,cold,always_reference,confirmed,local,0,CONTROL|G0,CONTROL|G0|G3|G6|G7,CONTROL|G0,G3|G6|G7,5,2,0.4,partial,
fiben,sf1,Q1_CompanyProfileIBM,cold,always_embed,confirmed,local,0,CONTROL|G0,G2|G4|G5|G8|G9,,G2|G4|G5|G8|G9,5,0,0.0,none,
