dataset,query_name,query_id,generic_class,query_family,query_type,selected_root,Rc,D,selected_document_depth,Re,DeltaR,DeltaRratio,structural_coverage,dominant_semantic_type,dominant_semantic_detail,association_count,associative_count,containment_count,lookup_count,has_association,has_associative,has_containment,update_volatility_mean,update_volatility_max,update_volatility_class,has_update_volatility,observed_sharedness_mean,observed_sharedness_max,observed_sharedness_class,has_observed_sharedness,document_candidate_assessment,is_write_query,source_file
fiben,Q10_CreateAccountHoldingAndBuyTransaction,,QG10,Update / insertion with relationship creation,insert,Person,5.0,3.0,3.0,0.0,5.0,1.0,high_reduction_potential,mixed,"['association', 'containment', 'ownership', 'subtype']",1.0,0.0,2.0,0.0,True,False,True,0.8866666666666667,1.0,high,True,0.1719496137760871,0.2958825,medium,True,strong_read_candidate_high_update_pressure,True,analysis/fiben/ablation_variables/query_analytical_metadata_fiben.csv
fiben,Q1_CompanyProfileIBM,,QG1,Local lookup,select,Corporation,0.0,0.0,0.0,0.0,0.0,0.0,no_relationship_traversal,none,[],0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,none,False,0.0,0.0,none,False,low_overall_design_pressure,False,analysis/fiben/ablation_variables/query_analytical_metadata_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Shallow rooted retrieval,select,Corporation,3.0,1.0,1.0,0.0,3.0,1.0,high_reduction_potential,mixed,"['association', 'descriptor']",1.0,0.0,0.0,0.0,True,False,False,0.1649999999999999,0.6599999999999999,medium,True,0.1837349397590361,0.2974182444061962,medium,True,strong_read_candidate_low_maintenance_pressure,False,analysis/fiben/ablation_variables/query_analytical_metadata_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,3.0,3.0,0.0,3.0,1.0,high_reduction_potential,mixed,"['association', 'containment']",2.0,0.0,1.0,0.0,True,False,True,0.665,1.0,high,True,0.180405,0.2958825,medium,True,strong_read_candidate_high_update_pressure,False,analysis/fiben/ablation_variables/query_analytical_metadata_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Deep traversal,select,Person,4.0,4.0,4.0,0.0,4.0,1.0,high_reduction_potential,mixed,"['association', 'containment', 'ownership']",2.0,0.0,1.0,0.0,True,False,True,0.6639999999999999,1.0,high,True,0.1717512672201089,0.2958825,medium,True,strong_read_candidate_high_update_pressure,False,analysis/fiben/ablation_variables/query_analytical_metadata_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Containment retrieval,select,Corporation,4.0,3.0,3.0,0.0,4.0,1.0,high_reduction_potential,containment,['containment'],0.0,0.0,4.0,0.0,False,False,True,0.0,0.0,none,False,0.1450466290604749,0.2946209999999999,medium,True,strong_read_candidate_low_maintenance_pressure,False,analysis/fiben/ablation_variables/query_analytical_metadata_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,Filtered search / recommendation,select,ListedSecurity,3.0,2.0,2.0,0.0,3.0,1.0,high_reduction_potential,mixed,"['association', 'descriptor']",1.0,0.0,0.0,0.0,True,False,False,0.1649999999999999,0.6599999999999999,medium,True,0.1837349397590361,0.2974182444061962,medium,True,strong_read_candidate_low_maintenance_pressure,False,analysis/fiben/ablation_variables/query_analytical_metadata_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Aggregation / ranking,select,Person,6.0,4.0,4.0,0.0,6.0,1.0,high_reduction_potential,mixed,"['association', 'containment', 'ownership', 'subtype']",2.0,0.0,1.0,0.0,True,False,True,0.6171428571428572,1.0,high,True,0.1024025948134059,0.2958825,medium,True,strong_read_candidate_high_update_pressure,False,analysis/fiben/ablation_variables/query_analytical_metadata_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Aggregation / ranking,select,Transaction,3.0,2.0,2.0,0.0,3.0,1.0,high_reduction_potential,mixed,"['association', 'subtype']",2.0,0.0,0.0,0.0,True,False,False,0.415,1.0,high,True,0.0986274999999999,0.2958825,medium,True,strong_read_candidate_high_update_pressure,False,analysis/fiben/ablation_variables/query_analytical_metadata_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Associative retrieval + comparison,select,Person,5.0,3.0,3.0,0.0,5.0,1.0,high_reduction_potential,mixed,"['association', 'containment', 'ownership', 'subtype']",1.0,0.0,1.0,0.0,True,False,True,0.7200000000000001,1.0,high,True,0.1228831137760871,0.2958825,medium,True,strong_read_candidate_high_update_pressure,False,analysis/fiben/ablation_variables/query_analytical_metadata_fiben.csv
