dataset,query_name,dominant_semantics,depth_D,metadata_status
imdb,QG1_WatchItemById,local,0,confirmed
imdb,QG2_WatchItemByTitle,local,0,confirmed
imdb,QG3_RecommendationByGenreAndSubtype,association,1,confirmed
imdb,QG4_AllPersonsOfTypeForWatchItem,associative,2,confirmed
imdb,QG5_AllPersonsForEpisodesOfSeries,associative,2,confirmed
imdb,QG6_EpisodesOfSeries,containment,1,confirmed
imdb,QG7_UpdateWatchItemMetadata,local,0,confirmed
imdb,QG8_AddPersonRoleToWatchItem,associative,2,confirmed
imdb,QG9_TopRatedSeriesByGenre,association,1,confirmed
imdb,QG10_AdvancedSearchWatchItems,association,1,confirmed
fiben,Q1_CompanyProfileIBM,local,0,confirmed
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,association,1,confirmed
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,associative,2,confirmed
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,associative,4,confirmed
fiben,Q5_ReportsAndMetricDataOfCompany,containment,3,confirmed
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,association,1,confirmed
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,associative,2,confirmed
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,associative,2,confirmed
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,associative,2,confirmed
fiben,Q10_CreateAccountHoldingAndBuyTransaction,associative,2,confirmed
ldbc_snb,IC1_TransitiveFriendsWithName,association,2,provisional
ldbc_snb,IC2_RecentMessagesByFriends,association,2,provisional
ldbc_snb,IC3_FriendsAndFriendsOfFriendsInCountries,association,3,provisional
ldbc_snb,IC4_NewTopics,association,2,provisional
ldbc_snb,IC5_NewGroups,association,2,provisional
ldbc_snb,IC6_TagCoOccurrence,association,2,provisional
ldbc_snb,IC7_RecentLikers,association,2,provisional
ldbc_snb,INS1_AddPerson,local,0,provisional
ldbc_snb,INS2_AddLikeToPost,association,1,provisional
ldbc_snb,INS3_AddLikeToComment,association,1,provisional
ldbc_snb,INS4_AddForum,local,0,provisional
ldbc_snb,INS5_AddForumMembership,association,1,provisional
ldbc_snb,INS6_AddPost,containment,1,provisional
ldbc_snb,INS7_AddComment,containment,1,provisional
ldbc_snb,INS8_AddFriendship,association,1,provisional
ldbc_snb,IS1_ProfileOfPerson,local,0,provisional
ldbc_snb,IS2_RecentMessagesOfPerson,association,1,provisional
ldbc_snb,IS3_FriendsOfPerson,association,1,provisional
ldbc_snb,IS4_ContentOfMessage,local,0,provisional
ldbc_snb,IS5_CreatorOfMessage,association,1,provisional
ldbc_snb,IS6_ForumOfMessage,association,1,provisional
ldbc_snb,IS7_RepliesOfMessage,containment,1,provisional
