scale_label,query_name,n_candidates,n_completed,n_skipped,n_failed,candidate_groups,g_classes,min_components,max_components,has_any_collscan,has_any_group,total_docs_examined,total_keys_examined,total_estimated_docs_examined_bytes
sf1,Q10_CreateAccountHoldingAndBuyTransaction,7,0,7,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,1,1,False,False,0,0,0.0
sf1,Q1_CompanyProfileIBM,2,2,0,0,control;primary,CONTROL;G0,1,1,False,False,2,2,896.0
sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,6,6,0,0,control;primary;secondary_affected,CONTROL;G1;G3;G5;G7;G9,2,4,False,False,21,21,7130.0
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,7,7,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,3,4,False,False,45,77,14559.0
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,7,7,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,4,5,True,False,17164,1321,7184260.0
sf1,Q5_ReportsAndMetricDataOfCompany,4,4,0,0,control;primary;secondary_affected,CONTROL;G2;G4;G9,3,4,False,False,26920,33148,4262703.0
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,6,6,0,0,control;primary;secondary_affected,CONTROL;G1;G3;G5;G7;G9,6,6,True,False,33084,31806,6375844.0
sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,8,8,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G6;G7;G9,3,3,False,True,2872,2872,1006312.0
sf1,Q8_IBMTransactionsBelowAverageSellingPrice,6,6,0,0,control;primary;secondary_affected,CONTROL;G3;G5;G6;G7;G9,3,3,False,True,2154,2154,754734.0
sf1,Q9_PersonsWhoBoughtAndSoldSameStock,7,7,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,2,2,False,True,3206,3206,1125306.0
sf10,Q10_CreateAccountHoldingAndBuyTransaction,7,0,7,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,1,1,False,False,0,0,0.0
sf10,Q1_CompanyProfileIBM,2,2,0,0,control;primary,CONTROL;G0,1,1,False,False,2,2,1106.0
sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,6,6,0,0,control;primary;secondary_affected,CONTROL;G1;G3;G5;G7;G9,2,4,False,False,84,84,201810.0
sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,7,7,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,3,4,False,False,297,329,72670.0
sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,7,7,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,4,5,True,False,4746,5101,862603.0
sf10,Q5_ReportsAndMetricDataOfCompany,4,4,0,0,control;primary;secondary_affected,CONTROL;G2;G4;G9,3,4,False,False,26920,33148,4336915.0
sf10,Q6_TechUSListedSecuritiesWithHighLastTradedValue,6,6,0,0,control;primary;secondary_affected,CONTROL;G1;G3;G5;G7;G9,6,6,True,False,300438,299466,65235040.0
sf10,Q7_PersonsWhoBoughtMoreIBMThanSold,8,8,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G6;G7;G9,3,3,False,True,2944,2944,1018704.0
sf10,Q8_IBMTransactionsBelowAverageSellingPrice,6,6,0,0,control;primary;secondary_affected,CONTROL;G3;G5;G6;G7;G9,3,3,False,True,2208,2208,764028.0
sf10,Q9_PersonsWhoBoughtAndSoldSameStock,7,7,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,2,2,False,True,3206,3206,1125306.0
sf30,Q10_CreateAccountHoldingAndBuyTransaction,7,0,7,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,1,1,False,False,0,0,0.0
sf30,Q1_CompanyProfileIBM,2,2,0,0,control;primary,CONTROL;G0,1,1,False,False,2,2,1112.0
sf30,Q2_CompanyWithIndustryCountryAndListedSecurities,6,6,0,0,control;primary;secondary_affected,CONTROL;G1;G3;G5;G7;G9,2,4,False,False,224,224,4291857.0
sf30,Q3_SecuritiesHeldInEachFinancialServiceAccount,7,7,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,3,4,False,False,857,889,204270.0
sf30,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,7,7,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,4,5,True,False,13286,13501,2374673.0
sf30,Q5_ReportsAndMetricDataOfCompany,4,4,0,0,control;primary;secondary_affected,CONTROL;G2;G4;G9,3,4,False,False,26920,33148,4502047.0
sf30,Q6_TechUSListedSecuritiesWithHighLastTradedValue,6,6,0,0,control;primary;secondary_affected,CONTROL;G1;G3;G5;G7;G9,6,6,True,False,894558,893604,195731812.0
sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,8,8,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G6;G7;G9,3,3,False,True,3104,3104,1046064.0
sf30,Q8_IBMTransactionsBelowAverageSellingPrice,6,6,0,0,control;primary;secondary_affected,CONTROL;G3;G5;G6;G7;G9,3,3,False,True,2328,2328,784548.0
sf30,Q9_PersonsWhoBoughtAndSoldSameStock,7,7,0,0,control;primary;secondary_affected,CONTROL;G2;G3;G4;G5;G7;G9,2,2,False,True,3206,3206,1125306.0
