scale_label,query_name,execution_status,n_candidates
sf1,Q10_CreateAccountHoldingAndBuyTransaction,skipped,7
sf1,Q1_CompanyProfileIBM,completed,2
sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,completed,6
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,completed,7
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,completed,7
sf1,Q5_ReportsAndMetricDataOfCompany,completed,4
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,completed,6
sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,completed,8
sf1,Q8_IBMTransactionsBelowAverageSellingPrice,completed,6
sf1,Q9_PersonsWhoBoughtAndSoldSameStock,completed,7
sf10,Q10_CreateAccountHoldingAndBuyTransaction,skipped,7
sf10,Q1_CompanyProfileIBM,completed,2
sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,completed,6
sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,completed,7
sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,completed,7
sf10,Q5_ReportsAndMetricDataOfCompany,completed,4
sf10,Q6_TechUSListedSecuritiesWithHighLastTradedValue,completed,6
sf10,Q7_PersonsWhoBoughtMoreIBMThanSold,completed,8
sf10,Q8_IBMTransactionsBelowAverageSellingPrice,completed,6
sf10,Q9_PersonsWhoBoughtAndSoldSameStock,completed,7
sf30,Q10_CreateAccountHoldingAndBuyTransaction,skipped,7
sf30,Q1_CompanyProfileIBM,completed,2
sf30,Q2_CompanyWithIndustryCountryAndListedSecurities,completed,6
sf30,Q3_SecuritiesHeldInEachFinancialServiceAccount,completed,7
sf30,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,completed,7
sf30,Q5_ReportsAndMetricDataOfCompany,completed,4
sf30,Q6_TechUSListedSecuritiesWithHighLastTradedValue,completed,6
sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,completed,8
sf30,Q8_IBMTransactionsBelowAverageSellingPrice,completed,6
sf30,Q9_PersonsWhoBoughtAndSoldSameStock,completed,7
