level,execution_status,n_rows,source_results_dir
summary,skipped,7,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf10_test_v1_skip
component,skipped,7,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf10_test_v1_skip
summary,skipped,7,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf1_test_v1
component,skipped,7,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf1_test_v1
summary,skipped,7,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf30_test_v1_skip
component,skipped,7,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf30_test_v1_skip
summary,completed,9,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
component,completed,36,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
summary,completed,9,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
component,completed,36,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
summary,completed,9,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf30_test_v1_param_only
component,completed,36,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf30_test_v1_param_only
summary,completed,6,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf10_test_v2
component,completed,21,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf10_test_v2
summary,completed,6,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf1_test_v2
component,completed,21,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf1_test_v2
summary,completed,6,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf30_test_v4_param_only
component,completed,21,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf30_test_v4_param_only
summary,completed,7,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf10_test_v1_param_only
component,completed,26,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf10_test_v1_param_only
summary,completed,7,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf1_test_v1
component,completed,26,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf1_test_v1
summary,completed,7,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf30_test_v1_param_only
component,completed,26,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf30_test_v1_param_only
summary,completed,4,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q5_sf10_test_v1_param_only
component,completed,14,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q5_sf10_test_v1_param_only
summary,completed,4,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q5_sf1_test_v1_param_only
component,completed,14,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q5_sf1_test_v1_param_only
summary,completed,4,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q5_sf30_test_v1_param_only
component,completed,14,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q5_sf30_test_v1_param_only
summary,completed,27,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf10_test_v1
component,completed,92,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf10_test_v1
summary,completed,27,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf1_test_v1
component,completed,92,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf1_test_v1
summary,completed,27,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
component,completed,92,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
