candidate_id,query_name,final_benchmark_group,design_pattern,g_class,root_entity,scale_label,run_phase,repetition,execution_db_name,execution_status,n_components,n_completed_components,n_failed_components,sum_execution_time_millis,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,docs_per_returned_total,keys_per_returned_total,has_IXSCAN,has_COLLSCAN,has_FETCH,has_SORT,has_AND_SORTED,has_OR,has_PROJECTION,has_LOOKUP,has_GROUP,used_disk,all_stages,all_index_names,query_hashes,plan_cache_keys,n_rejected_plans,sum_estimated_docs_examined_bytes,sum_estimated_returned_bytes,estimated_examined_bytes_per_returned,max_docs_examined_collection_ratio,max_index_to_data_size_ratio,max_collection_avg_obj_size_bytes,collections_touched,source_results_dir
q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline,Q10_CreateAccountHoldingAndBuyTransaction,control,normalized_reference_baseline,CONTROL,Person,sf10,hot,1,fiben_exec_sf10,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_normalized_baseline,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf10_test_v1_skip
q10_create_account_holding_and_buy_transaction__g2__embed_containment_children,Q10_CreateAccountHoldingAndBuyTransaction,primary,embedded_containment,G2,Person,sf10,hot,1,fiben_exec_sf10,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_with_containment,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf10_test_v1_skip
q10_create_account_holding_and_buy_transaction__g3__association_references,Q10_CreateAccountHoldingAndBuyTransaction,primary,association_references,G3,Person,sf10,hot,1,fiben_exec_sf10,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_with_references,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf10_test_v1_skip
q10_create_account_holding_and_buy_transaction__g4__deep_nested_path,Q10_CreateAccountHoldingAndBuyTransaction,primary,deep_nested_document,G4,Person,sf10,hot,1,fiben_exec_sf10,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_deep_nested,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf10_test_v1_skip
q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,Q10_CreateAccountHoldingAndBuyTransaction,primary,shared_target_reference_strategy,G5,Person,sf10,hot,1,fiben_exec_sf10,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_shared_refs,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf10_test_v1_skip
q10_create_account_holding_and_buy_transaction__g7__update_aware_references,Q10_CreateAccountHoldingAndBuyTransaction,secondary_affected,update_aware_reference_design,G7,Person,sf10,hot,1,fiben_exec_sf10,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_update_aware,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf10_test_v1_skip
q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,Q10_CreateAccountHoldingAndBuyTransaction,secondary_affected,benchmark_tradeoff_alternative,G9,Person,sf10,hot,1,fiben_exec_sf10,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_tradeoff,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf10_test_v1_skip
q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline,Q10_CreateAccountHoldingAndBuyTransaction,control,normalized_reference_baseline,CONTROL,Person,sf1,hot,1,fiben_exec_sf1,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_normalized_baseline,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf1_test_v1
q10_create_account_holding_and_buy_transaction__g2__embed_containment_children,Q10_CreateAccountHoldingAndBuyTransaction,primary,embedded_containment,G2,Person,sf1,hot,1,fiben_exec_sf1,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_with_containment,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf1_test_v1
q10_create_account_holding_and_buy_transaction__g3__association_references,Q10_CreateAccountHoldingAndBuyTransaction,primary,association_references,G3,Person,sf1,hot,1,fiben_exec_sf1,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_with_references,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf1_test_v1
q10_create_account_holding_and_buy_transaction__g4__deep_nested_path,Q10_CreateAccountHoldingAndBuyTransaction,primary,deep_nested_document,G4,Person,sf1,hot,1,fiben_exec_sf1,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_deep_nested,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf1_test_v1
q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,Q10_CreateAccountHoldingAndBuyTransaction,primary,shared_target_reference_strategy,G5,Person,sf1,hot,1,fiben_exec_sf1,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_shared_refs,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf1_test_v1
q10_create_account_holding_and_buy_transaction__g7__update_aware_references,Q10_CreateAccountHoldingAndBuyTransaction,secondary_affected,update_aware_reference_design,G7,Person,sf1,hot,1,fiben_exec_sf1,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_update_aware,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf1_test_v1
