scale_label,collection_name,config_name,documents_inserted,elapsed_seconds
sf0.25,watchitems,watchitem_g2,3119040,363.11203318997286
sf0.25,watchitems,watchitem_g3,3119040,372.570759707829
sf0.25,watchitems,watchitem_g4,3119040,1443.7912429908756
sf0.25,watchitems,watchitem_g5,3119040,1814.3806488628034
sf0.25,watchitems,watchitem_g6,3119040,1817.9227255729493
sf0.25,watchitems,watchitem_g0,3119040,345.19706565188244
sf0.25,series,series_g8,186514,146.69672702881508
sf0.25,series,series_g9,186514,148.6940660099499
sf0.5,watchitems,watchitem_g2,6067595,889.6377865190152
sf0.5,watchitems,watchitem_g3,6067595,912.0680107900407
sf0.5,watchitems,watchitem_g4,6067595,3187.3475689771585
sf0.5,watchitems,watchitem_g5,6067595,3835.156849900959
sf0.5,watchitems,watchitem_g6,6067595,3846.1079356609844
sf0.5,watchitems,watchitem_g0,6067595,859.4679478569888
sf0.5,series,series_g8,230194,285.8584590139799
sf0.5,series,series_g9,230194,290.2224333039485
sf1,watchitems,watchitem_g2,11918372,2183.9813257430214
sf1,watchitems,watchitem_g3,11918372,2225.182306092931
sf1,watchitems,watchitem_g4,11918372,7376.819199050078
sf1,watchitems,watchitem_g5,11918372,8635.281294521876
sf1,watchitems,watchitem_g6,11918372,8627.909222115064
sf1,watchitems,watchitem_g0,11918372,2123.1710022769403
sf1,series,series_g8,287707,556.0209965689573
sf1,series,series_g9,287707,563.3728651448619
