scale_label,query_name,query_group,run_phase,execution_status,n_rows
sf0.25,QG10_AdvancedSearchWatchItems,primary,hot,completed,3
sf0.25,QG10_AdvancedSearchWatchItems,secondary_affected,hot,completed,6
sf0.25,QG1_WatchItemById,control,hot,completed,3
sf0.25,QG1_WatchItemById,primary,hot,completed,1
sf0.25,QG1_WatchItemById,secondary_affected,hot,completed,5
sf0.25,QG2_WatchItemByTitle,control,hot,completed,3
sf0.25,QG2_WatchItemByTitle,primary,hot,completed,1
sf0.25,QG2_WatchItemByTitle,secondary_affected,hot,completed,5
sf0.25,QG3_RecommendationByGenreAndSubtype,primary,hot,completed,3
sf0.25,QG3_RecommendationByGenreAndSubtype,secondary_affected,hot,completed,6
sf0.25,QG7_UpdateWatchItemMetadata,control,hot,completed,3
sf0.25,QG7_UpdateWatchItemMetadata,primary,hot,completed,1
sf0.25,QG7_UpdateWatchItemMetadata,secondary_affected,hot,completed,5
sf0.25,QG9_TopRatedSeriesByGenre,primary,hot,completed,3
sf0.25,QG9_TopRatedSeriesByGenre,secondary_affected,hot,completed,6
sf0.5,QG10_AdvancedSearchWatchItems,primary,hot,completed,3
sf0.5,QG10_AdvancedSearchWatchItems,secondary_affected,hot,completed,6
sf0.5,QG1_WatchItemById,control,hot,completed,3
sf0.5,QG1_WatchItemById,primary,hot,completed,1
sf0.5,QG1_WatchItemById,secondary_affected,hot,completed,5
sf0.5,QG2_WatchItemByTitle,control,hot,completed,3
sf0.5,QG2_WatchItemByTitle,primary,hot,completed,1
sf0.5,QG2_WatchItemByTitle,secondary_affected,hot,completed,5
sf0.5,QG3_RecommendationByGenreAndSubtype,primary,hot,completed,3
sf0.5,QG3_RecommendationByGenreAndSubtype,secondary_affected,hot,completed,6
sf0.5,QG7_UpdateWatchItemMetadata,control,hot,completed,3
sf0.5,QG7_UpdateWatchItemMetadata,primary,hot,completed,1
sf0.5,QG7_UpdateWatchItemMetadata,secondary_affected,hot,completed,5
sf0.5,QG9_TopRatedSeriesByGenre,primary,hot,completed,3
sf0.5,QG9_TopRatedSeriesByGenre,secondary_affected,hot,completed,6
sf1,QG10_AdvancedSearchWatchItems,primary,hot,completed,3
sf1,QG10_AdvancedSearchWatchItems,secondary_affected,hot,completed,6
sf1,QG1_WatchItemById,control,hot,completed,3
sf1,QG1_WatchItemById,primary,hot,completed,1
sf1,QG1_WatchItemById,secondary_affected,hot,completed,5
sf1,QG2_WatchItemByTitle,control,hot,completed,3
sf1,QG2_WatchItemByTitle,primary,hot,completed,1
sf1,QG2_WatchItemByTitle,secondary_affected,hot,completed,5
sf1,QG3_RecommendationByGenreAndSubtype,primary,hot,completed,3
sf1,QG3_RecommendationByGenreAndSubtype,secondary_affected,hot,completed,6
sf1,QG7_UpdateWatchItemMetadata,control,hot,completed,3
sf1,QG7_UpdateWatchItemMetadata,primary,hot,completed,1
sf1,QG7_UpdateWatchItemMetadata,secondary_affected,hot,completed,5
sf1,QG9_TopRatedSeriesByGenre,primary,hot,completed,3
sf1,QG9_TopRatedSeriesByGenre,secondary_affected,hot,completed,6
