scale_label,collection_name,config_name,documents_inserted,elapsed_seconds
sf0.25,watchitems,watchitem_g2,3119040,368.47868229588494
sf0.25,watchitems,watchitem_g3,3119040,375.7855183740612
sf0.25,watchitems,watchitem_g4,3119040,1460.8679103909526
sf0.25,watchitems,watchitem_g5,3119040,1840.2907620819751
sf0.25,watchitems,watchitem_g6,3119040,1838.384740037145
sf0.25,watchitems,watchitem_g0,3119040,345.017614612123
sf0.25,series,series_g8,186514,148.54222799581476
sf0.25,series,series_g9,186514,150.2375735961832
sf0.5,watchitems,watchitem_g2,6067595,901.5696837450378
sf0.5,watchitems,watchitem_g3,6067595,922.0073828808963
sf0.5,watchitems,watchitem_g4,6067595,3214.516434191959
sf0.5,watchitems,watchitem_g5,6067595,3883.7821726161055
sf0.5,watchitems,watchitem_g6,6067595,3895.5008403400425
sf0.5,watchitems,watchitem_g0,6067595,858.3113694679923
sf0.5,series,series_g8,230194,289.62068695481867
sf0.5,series,series_g9,230194,293.7302264489699
sf1,watchitems,watchitem_g2,11918372,2187.3068853090517
sf1,watchitems,watchitem_g3,11918372,2222.757534468081
sf1,watchitems,watchitem_g4,11918372,7431.866275711218
sf1,watchitems,watchitem_g5,11918372,8697.54740673001
sf1,watchitems,watchitem_g6,11918372,8714.678238866152
sf1,watchitems,watchitem_g0,11918372,2127.164588312153
sf1,series,series_g8,287707,562.6944380200002
sf1,series,series_g9,287707,570.1778498971835
