scale_label,selected_root,config_name,n_experiments
sf0.25,Series,series_g7,1
sf0.25,Series,series_g8,1
sf0.25,Series,series_g9,1
sf0.25,WatchItem,watchitem_g0,1
sf0.25,WatchItem,watchitem_g2,1
sf0.25,WatchItem,watchitem_g3,1
sf0.25,WatchItem,watchitem_g4,1
sf0.25,WatchItem,watchitem_g5,1
sf0.25,WatchItem,watchitem_g6,1
sf0.5,Series,series_g7,1
sf0.5,Series,series_g8,1
sf0.5,Series,series_g9,1
sf0.5,WatchItem,watchitem_g0,1
sf0.5,WatchItem,watchitem_g2,1
sf0.5,WatchItem,watchitem_g3,1
sf0.5,WatchItem,watchitem_g4,1
sf0.5,WatchItem,watchitem_g5,1
sf0.5,WatchItem,watchitem_g6,1
sf1,Series,series_g7,1
sf1,Series,series_g8,1
sf1,Series,series_g9,1
sf1,WatchItem,watchitem_g0,1
sf1,WatchItem,watchitem_g2,1
sf1,WatchItem,watchitem_g3,1
sf1,WatchItem,watchitem_g4,1
sf1,WatchItem,watchitem_g5,1
sf1,WatchItem,watchitem_g6,1
