benchmark_run_id,experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,query_name,query_group,run_phase,phase_order,repetition,execution_status,error_message,start_ts,end_ts,latency_ms,success,documents_returned,documents_written,bytes_read_estimate,bytes_written_estimate,experiment_goal,query_group_order,execution_db_name,explain_verbosity,param_json,notes,n_components,sum_execution_time_ms,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,docs_per_returned_total,keys_per_returned_total,has_ixscan_any,has_collscan_any,has_fetch_any,has_sort_any,has_update_any,has_and_sorted_any,has_or_stage_any,has_projection_any,has_lookup_any,has_group_any,used_disk_any,all_stages,all_index_names,component_collections,unique_component_collection_count,sum_collection_count_unique,sum_collection_size_bytes_unique,sum_collection_storage_size_bytes_unique,sum_collection_total_index_size_bytes_unique,sum_collection_total_size_bytes_unique,max_collection_avg_obj_size_bytes,sum_estimated_docs_examined_bytes,sum_estimated_returned_bytes,estimated_examined_bytes_per_returned,max_docs_examined_collection_ratio,max_index_to_data_size_ratio
watchitem_g0_sf0.25__primary__QG4_AllPersonsOfTypeForWatchItem__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG4_AllPersonsOfTypeForWatchItem,primary,hot,2,1,completed,,2026-05-31 05:44:36.750617+00:00,2026-05-31 05:44:36.766491+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"{""role_category"": ""actor"", ""watchitem_id"": ""tt0406599""}",,2,4.0,60.0,73.0,82.0,1.2166666666666666,1.3666666666666667,True,False,True,False,False,True,False,False,False,False,False,FETCH|IXSCAN|AND_SORTED,watchitem_id_1|role_category_1|person_id_1,persons|roles,2,19013444.0,3619828454.0,787193856.0,1011228672.0,1798422528.0,193.0,13855.0,11346.0,230.91666666666666,3.890266522767329e-06,0.2885199038787548
watchitem_g0_sf0.25__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-05-31 05:44:36.766711+00:00,2026-05-31 05:44:36.799574+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt12164062""",,3,10.0,4674.0,4674.0,4832.0,1.0,1.0338040222507487,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1|person_id_1,episodes|persons|roles,3,21308131.0,4173093336.0,913489920.0,1095663616.0,2009153536.0,241.0,1125388.0,1125388.0,240.77620881471972,0.0020290348966983296,0.2885199038787548
watchitem_g2_sf0.25__secondary_affected__QG4_AllPersonsOfTypeForWatchItem__hot__r01,watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG4_AllPersonsOfTypeForWatchItem,secondary_affected,hot,2,1,completed,,2026-05-31 05:50:39.436100+00:00,2026-05-31 05:50:39.446760+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"{""role_category"": ""actor"", ""watchitem_id"": ""tt0406599""}",,2,0.0,60.0,73.0,82.0,1.2166666666666666,1.3666666666666667,True,False,True,False,False,True,False,False,False,False,False,FETCH|IXSCAN|AND_SORTED,watchitem_id_1|role_category_1|person_id_1,persons|roles,2,19013444.0,3619828454.0,787193856.0,1011228672.0,1798422528.0,193.0,13855.0,11346.0,230.91666666666666,3.890266522767329e-06,0.2885199038787548
watchitem_g2_sf0.25__secondary_affected__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,secondary_affected,hot,2,1,completed,,2026-05-31 05:50:39.446945+00:00,2026-05-31 05:50:39.474775+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"""tt12164062""",,3,6.0,4674.0,4674.0,4832.0,1.0,1.0338040222507487,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1|person_id_1,episodes|persons|roles,3,21308131.0,4173093336.0,913489920.0,1095663616.0,2009153536.0,241.0,1125388.0,1125388.0,240.77620881471972,0.0020290348966983296,0.2885199038787548
watchitem_g3_sf0.25__secondary_affected__QG4_AllPersonsOfTypeForWatchItem__hot__r01,watchitem_g3_sf0.25,watchitem_g3,G3,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG4_AllPersonsOfTypeForWatchItem,secondary_affected,hot,2,1,completed,,2026-05-31 05:56:53.610649+00:00,2026-05-31 05:56:53.621165+00:00,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"{""role_category"": ""actor"", ""watchitem_id"": ""tt0406599""}",,2,0.0,60.0,73.0,82.0,1.2166666666666666,1.3666666666666667,True,False,True,False,False,True,False,False,False,False,False,FETCH|IXSCAN|AND_SORTED,watchitem_id_1|role_category_1|person_id_1,persons|roles,2,19013444.0,3619828454.0,787193856.0,1011228672.0,1798422528.0,193.0,13855.0,11346.0,230.91666666666666,3.890266522767329e-06,0.2885199038787548
watchitem_g3_sf0.25__secondary_affected__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g3_sf0.25,watchitem_g3,G3,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG5_AllPersonsForEpisodesOfSeries,secondary_affected,hot,2,1,completed,,2026-05-31 05:56:53.621357+00:00,2026-05-31 05:56:53.649974+00:00,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"""tt12164062""",,3,6.0,4674.0,4674.0,4832.0,1.0,1.0338040222507487,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1|person_id_1,episodes|persons|roles,3,21308131.0,4173093336.0,913489920.0,1095663616.0,2009153536.0,241.0,1125388.0,1125388.0,240.77620881471972,0.0020290348966983296,0.2885199038787548
watchitem_g4_sf0.25__primary__QG4_AllPersonsOfTypeForWatchItem__hot__r01,watchitem_g4_sf0.25,watchitem_g4,G4,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG4_AllPersonsOfTypeForWatchItem,primary,hot,2,1,completed,,2026-05-31 06:20:47.397411+00:00,2026-05-31 06:20:47.412559+00:00,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"{""role_category"": ""actor"", ""watchitem_id"": ""tt0406599""}",,2,0.0,10.0,10.0,19.0,1.0,1.9,True,False,True,False,False,False,False,True,False,False,False,LIMIT|PROJECTION_SIMPLE|FETCH|IXSCAN,watchitem_id_1|person_id_1,persons|watchitems,2,5681169.0,4024908563.0,889331712.0,425529344.0,1314861056.0,1152.0,2655.0,2655.0,265.5,3.5127036929053924e-06,0.21144725369253323
watchitem_g4_sf0.25__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g4_sf0.25,watchitem_g4,G4,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-05-31 06:20:47.412755+00:00,2026-05-31 06:20:47.446290+00:00,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt12164062""",,3,7.0,5163.0,5163.0,5321.0,1.0,1.0306023629672671,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1|person_id_1,episodes|persons|watchitems,3,7975856.0,4578173445.0,1015627776.0,509964288.0,1525592064.0,1152.0,1699265.0,1699265.0,329.1235715669185,0.0020290348966983296,0.21144725369253323
watchitem_g5_sf0.25__primary__QG4_AllPersonsOfTypeForWatchItem__hot__r01,watchitem_g5_sf0.25,watchitem_g5,G5,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG4_AllPersonsOfTypeForWatchItem,primary,hot,2,1,completed,,2026-05-31 06:50:56.059681+00:00,2026-05-31 06:50:56.070235+00:00,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"{""role_category"": ""actor"", ""watchitem_id"": ""tt0406599""}",,1,0.0,1.0,1.0,1.0,1.0,1.0,True,False,True,False,False,False,False,True,False,False,False,LIMIT|PROJECTION_SIMPLE|FETCH|IXSCAN,watchitem_id_1,watchitems,1,3119040.0,5466288338.0,1177993216.0,274964480.0,1452957696.0,1752.0,1752.0,1752.0,1752.0,3.2061147019595773e-07,0.05030186170175643
watchitem_g5_sf0.25__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g5_sf0.25,watchitem_g5,G5,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-05-31 06:50:56.070409+00:00,2026-05-31 06:50:56.098528+00:00,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt12164062""",,2,7.0,5156.0,5156.0,5307.0,1.0,1.0292862684251358,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1,episodes|watchitems,2,5413727.0,6019553220.0,1304289280.0,359399424.0,1663688704.0,1752.0,1998096.0,1998096.0,387.52831652443757,0.0020290348966983296,0.15261215151551946
