scale_label,collection_name,config_name,documents_inserted,elapsed_seconds
sf0.25,watchitems,watchitem_g2,3119040,334.40748132695444
sf0.25,watchitems,watchitem_g3,3119040,349.60311448504217
sf0.25,watchitems,watchitem_g4,3119040,1374.2944429870695
sf0.25,watchitems,watchitem_g5,3119040,1705.48057163693
sf0.25,watchitems,watchitem_g6,3119040,1698.4116382859647
sf0.25,watchitems,watchitem_g0,3119040,312.7936115388293
sf0.25,series,series_g8,186514,146.85869381506927
sf0.25,series,series_g9,186514,148.99594992003404
sf0.5,watchitems,watchitem_g2,6067595,748.9087703088298
sf0.5,watchitems,watchitem_g3,6067595,768.2916167438962
sf0.5,watchitems,watchitem_g4,6067595,2863.6202293760143
sf0.5,watchitems,watchitem_g5,6067595,3443.426314214943
sf0.5,watchitems,watchitem_g6,6067595,3447.549710706109
sf0.5,watchitems,watchitem_g0,6067595,706.3758689691313
sf0.5,series,series_g8,230194,287.0607896440197
sf0.5,series,series_g9,230194,290.80632525193505
sf1,watchitems,watchitem_g2,11918372,1675.9677609829232
sf1,watchitems,watchitem_g3,11918372,1709.2251115741674
sf1,watchitems,watchitem_g4,11918372,6173.292351779994
sf1,watchitems,watchitem_g5,11918372,7260.9654591539875
sf1,watchitems,watchitem_g6,11918372,7261.953411394032
sf1,watchitems,watchitem_g0,11918372,1607.8573818220757
sf1,series,series_g8,287707,558.3030696271453
sf1,series,series_g9,287707,565.4187063558493
