benchmark_run_id,experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,query_name,query_group,run_phase,phase_order,repetition,execution_status,error_message,start_ts,end_ts,latency_ms,success,documents_returned,documents_written,bytes_read_estimate,bytes_written_estimate,experiment_goal,query_group_order,execution_db_name,explain_verbosity,param_json,notes,component_index,component_name,operation_type,collection_name,query_shape,projection_shape,sort_shape,limit,raw_explain_path,execution_time_ms,n_returned,total_docs_examined,total_keys_examined,docs_per_returned,keys_per_returned,winning_plan_stage,namespace,query_hash,plan_cache_key,rejected_plans_count,stages,index_names,has_ixscan,has_collscan,has_fetch,has_sort,has_limit,has_update,has_and_sorted,has_or_stage,has_projection,has_lookup,has_group,used_disk,collection_stats_ok,collection_stats_error,collection_count,collection_size_bytes,collection_avg_obj_size_bytes,collection_storage_size_bytes,collection_total_index_size_bytes,collection_total_size_bytes,collection_free_storage_size_bytes,collection_nindexes,collection_scale_factor,collection_index_sizes_json,estimated_docs_examined_bytes,estimated_returned_bytes,docs_examined_collection_ratio,index_to_data_size_ratio
watchitem_g0_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 05:59:02.165754+00:00,,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,1,insert_person_doc,insert_not_explainable,persons,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g0_sf0_25__QG8_AddPersonRoleToWatchItem__c1_insert_person_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g0_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 05:59:02.165754+00:00,,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,insert_role_doc,insert_not_explainable,roles,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g0_sf0_25__QG8_AddPersonRoleToWatchItem__c2_insert_role_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g2_sf0.25__secondary_affected__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG8_AddPersonRoleToWatchItem,secondary_affected,hot,2,1,completed,,2026-05-30 06:04:36.584347+00:00,,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,1,insert_person_doc,insert_not_explainable,persons,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g2_sf0_25__QG8_AddPersonRoleToWatchItem__c1_insert_person_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g2_sf0.25__secondary_affected__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG8_AddPersonRoleToWatchItem,secondary_affected,hot,2,1,completed,,2026-05-30 06:04:36.584347+00:00,,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,insert_role_doc,insert_not_explainable,roles,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g2_sf0_25__QG8_AddPersonRoleToWatchItem__c2_insert_role_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g3_sf0.25__secondary_affected__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g3_sf0.25,watchitem_g3,G3,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG8_AddPersonRoleToWatchItem,secondary_affected,hot,2,1,completed,,2026-05-30 06:10:26.198231+00:00,,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,1,insert_person_doc,insert_not_explainable,persons,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g3_sf0_25__QG8_AddPersonRoleToWatchItem__c1_insert_person_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g3_sf0.25__secondary_affected__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g3_sf0.25,watchitem_g3,G3,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG8_AddPersonRoleToWatchItem,secondary_affected,hot,2,1,completed,,2026-05-30 06:10:26.198231+00:00,,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,insert_role_doc,insert_not_explainable,roles,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g3_sf0_25__QG8_AddPersonRoleToWatchItem__c2_insert_role_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g4_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g4_sf0.25,watchitem_g4,G4,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 06:33:20.501096+00:00,,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,1,insert_person_doc,insert_not_explainable,persons,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g4_sf0_25__QG8_AddPersonRoleToWatchItem__c1_insert_person_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g4_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g4_sf0.25,watchitem_g4,G4,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 06:33:20.501096+00:00,,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,insert_role_doc,insert_not_explainable,roles,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g4_sf0_25__QG8_AddPersonRoleToWatchItem__c2_insert_role_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g4_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g4_sf0.25,watchitem_g4,G4,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 06:33:20.501096+00:00,,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,3,push_embedded_role,update,watchitems,"{""watchitem_id"": ""tt0111161""}",{},[],1.0,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g4_sf0_25__QG8_AddPersonRoleToWatchItem__c3_push_embedded_role_json,0.0,0.0,1.0,1.0,,,UPDATE,imdb_exec_sf0_25.watchitems,0F9B88F2,7805709C,0,UPDATE|FETCH|IXSCAN,watchitem_id_1,True,False,True,False,False,True,False,False,False,False,False,False,True,,3119040.0,3594614736.0,1152.0,762142720.0,334467072.0,1096609792.0,778240.0,9.0,1.0,"{""_id_"": 34287616, ""avg_rating_1"": 21393408, ""num_votes_1"": 20254720, ""primary_genre_1"": 17137664, ""release_year_1"": 17936384, ""title_1"": 59826176, ""title_text"": 105414656, ""title_type_1"": 15495168, ""watchitem_id_1"": 42721280}",1152.0,0.0,3.2061147019595773e-07,0.0930467091925926
watchitem_g5_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g5_sf0.25,watchitem_g5,G5,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 07:01:45.995359+00:00,,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,1,insert_person_doc,insert_not_explainable,persons,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g5_sf0_25__QG8_AddPersonRoleToWatchItem__c1_insert_person_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
