level,dataset,cases,schema_lens_mean_top1,random_k_mean_top1_probability,mean_top1_gap_random_minus_schema,schema_lens_mean_near_best,random_k_mean_near_best_probability,mean_near_best_gap_random_minus_schema,schema_lens_mean_regret,random_k_mean_expected_regret,mean_regret_gap_random_minus_schema,schema_lens_higher_top1_cases,random_k_higher_top1_cases,top1_tie_cases,schema_lens_lower_regret_cases,random_k_lower_regret_cases,regret_tie_cases,run_phase
dataset,fiben,60,0.8333333333333334,0.8048166666666666,-0.02851666666666668,0.9,0.8989333333333334,-0.0010666666666666732,0.09366646670450986,0.07744242757545675,-0.016224039129053132,50,10,0,50,10,0,
dataset,imdb,60,0.6666666666666666,0.7769666666666667,0.11030000000000002,0.7833333333333333,0.8651666666666668,0.08183333333333336,0.06256872190820552,0.04052203136936846,-0.022046690538837045,16,20,24,16,20,24,
dataset,ldbc_snb,132,0.9545454545454546,0.9772424242424241,0.0226969696969697,0.9772727272727273,0.9886666666666666,0.011393939393939394,0.00449658884176547,0.0022282267143667405,-0.002268362127398729,0,6,126,0,6,126,
run_phase,,126,0.8650793650793651,0.8887857142857143,0.023706349206349207,0.8968253968253969,0.9311507936507937,0.03432539682539683,0.05022789021628225,0.037296872856241794,-0.012931017360040464,34,17,75,34,17,75,cold
run_phase,,126,0.8492063492063492,0.8882222222222222,0.03901587301587301,0.9285714285714286,0.9446428571428572,0.01607142857142857,0.028880530766860313,0.021211011770630592,-0.007669518996229716,32,19,75,32,19,75,hot
dataset+run_phase,fiben,30,0.8333333333333334,0.8059999999999998,-0.027333333333333362,0.9333333333333333,0.906,-0.027333333333333334,0.10723126979647805,0.10842384679963701,0.001192577003158978,25,5,0,25,5,0,cold
dataset+run_phase,fiben,30,0.8333333333333334,0.8036333333333332,-0.029700000000000018,0.8666666666666667,0.8918666666666667,0.025199999999999997,0.08010166361254165,0.046461008351276416,-0.03364065526126524,25,5,0,25,5,0,hot
dataset+run_phase,imdb,30,0.7,0.7767666666666667,0.07676666666666669,0.7333333333333333,0.8547000000000001,0.12136666666666668,0.08641676576163829,0.039663707292002845,-0.04675305846963544,9,9,12,9,9,12,cold
dataset+run_phase,imdb,30,0.6333333333333333,0.7771666666666668,0.14383333333333334,0.8333333333333334,0.8756333333333334,0.042300000000000004,0.038720678054772736,0.04138035544673409,0.002659677391961344,7,11,12,7,11,12,hot
dataset+run_phase,ldbc_snb,66,0.9545454545454546,0.9773333333333332,0.022787878787878788,0.9545454545454546,0.9773333333333332,0.022787878787878788,0.00786777425012234,0.003890596320261661,-0.00397717792986068,0,3,63,0,3,63,cold
dataset+run_phase,ldbc_snb,66,0.9545454545454546,0.977151515151515,0.022606060606060605,1.0,1.0,0.0,0.0011254034334085986,0.0005658571084718202,-0.0005595463249367782,0,3,63,0,3,63,hot
overall,,252,0.8571428571428571,0.8885039682539683,0.03136111111111111,0.9126984126984127,0.9378968253968254,0.025198412698412696,0.03955421049157128,0.02925394231343619,-0.010300268178135091,66,36,150,66,36,150,
