dataset,scale_label,query_name,winner,winner_p95,schema_lens_space,available_deterministic_baselines,deterministic_hit_count,deterministic_miss_count,mean_miss_regret,max_miss_regret,miss_details,hit_details
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,G1,0.1553680398501455,G1|G3|G5|G7|G9,4,0,4,0.5547521289691537,0.7592721511660451,always_reference->G3 p95=0.251 regret=0.614; always_embed->G5 p95=0.191 regret=0.231; depth_only->G9 p95=0.273 regret=0.759; relationship_type_only->G3 p95=0.251 regret=0.614,
imdb,sf1,QG9_TopRatedSeriesByGenre,G7,4.0780437040666575,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,1,3,12.853483713178676,38.0906530366016,always_embed->G8 p95=5.036 regret=0.235; depth_only->G8 p95=5.036 regret=0.235; relationship_type_only->G2 p95=159.413 regret=38.091,always_reference->G7
imdb,sf0.5,QG9_TopRatedSeriesByGenre,G7,2.054242697340668,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,1,3,12.942862666612006,37.03661001486344,always_embed->G8 p95=3.895 regret=0.896; depth_only->G8 p95=3.895 regret=0.896; relationship_type_only->G2 p95=78.136 regret=37.037,always_reference->G7
imdb,sf0.25,QG9_TopRatedSeriesByGenre,G7,3.006609698422833,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,1,3,4.204343757835778,12.369737638477112,always_embed->G8 p95=3.372 regret=0.122; depth_only->G8 p95=3.372 regret=0.122; relationship_type_only->G0 p95=40.198 regret=12.370,always_reference->G7
ldbc_snb,sf0.1,IS2_RecentMessagesOfPerson,G6,2.2557887037692126,G0|G3|G4|G6|G7|G9,4,1,3,0.6178210503165209,0.8847959233346551,always_embed->G4 p95=2.651 regret=0.175; depth_only->G9 p95=4.045 regret=0.793; relationship_type_only->G0 p95=4.252 regret=0.885,always_reference->G6
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,G7,0.8635510283056645,G3|G5|G6|G7|G9,4,1,3,0.3204356149071301,0.6897467086422796,always_embed->G9 p95=0.981 regret=0.136; depth_only->G9 p95=0.981 regret=0.136; relationship_type_only->G5 p95=1.459 regret=0.690,always_reference->G7
ldbc_snb,sf0.1,INS7_AddComment,G3,1.1866082008054946,G0|G3|G7|G9,4,1,3,0.49741411242846406,0.6497049704502477,always_embed->G9 p95=1.958 regret=0.650; depth_only->G9 p95=1.958 regret=0.650; relationship_type_only->G7 p95=1.415 regret=0.193,always_reference->G3
imdb,sf0.25,QG8_AddPersonRoleToWatchItem,G0,0.4179502480837982,G0|G2|G3|G4|G5|G6,4,1,3,0.2737711044723768,0.5534264023884681,always_embed->G2 p95=0.465 regret=0.113; depth_only->G9 p95=0.483 regret=0.155; relationship_type_only->G5 p95=0.649 regret=0.553,always_reference->G0
ldbc_snb,sf0.1,IS7_RepliesOfMessage,G0,7.944003101874841,G0|G3|G7|G9,4,1,3,0.3125785605108138,0.3125785605108138,always_embed->G9 p95=10.427 regret=0.313; depth_only->G9 p95=10.427 regret=0.313; relationship_type_only->G9 p95=10.427 regret=0.313,always_reference->G0
ldbc_snb,sf0.1,IC5_NewGroups,G7,135.32296839985065,G0|G3|G4|G6|G7|G9,4,1,3,0.13247902796843078,0.1848243623889243,always_embed->G4 p95=160.334 regret=0.185; depth_only->G6 p95=140.761 regret=0.040; relationship_type_only->G0 p95=158.657 regret=0.172,always_reference->G7
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,G5,0.1171174575574696,G1|G3|G5|G7|G9,4,1,3,0.12132544981453312,0.1411864620911887,always_reference->G7 p95=0.129 regret=0.100; depth_only->G9 p95=0.134 regret=0.141; relationship_type_only->G3 p95=0.132 regret=0.123,always_embed->G5
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,G7,0.8514764602296054,G2|G3|G4|G5|G7|G9,4,1,3,0.04336243578084187,0.0777435628648014,always_embed->G9 p95=0.874 regret=0.026; depth_only->G9 p95=0.874 regret=0.026; relationship_type_only->G5 p95=0.918 regret=0.078,always_reference->G7
ldbc_snb,sf0.1,INS6_AddPost,G0,2.2203130545676686,G0|G3|G7|G9,4,1,3,0.0515640861935229,0.0594427872342927,always_embed->G9 p95=2.352 regret=0.059; depth_only->G9 p95=2.352 regret=0.059; relationship_type_only->G7 p95=2.300 regret=0.036,always_reference->G0
ldbc_snb,sf3,IC5_NewGroups,G7,193.8014049548656,G0|G3|G4|G6|G7|G9,4,1,3,0.03802144449520073,0.0588321075180948,always_embed->G9 p95=200.346 regret=0.034; depth_only->G6 p95=197.961 regret=0.021; relationship_type_only->G3 p95=205.203 regret=0.059,always_reference->G7
imdb,sf0.5,QG10_AdvancedSearchWatchItems,G7,171.64141285902582,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,1,3,0.005770101706615,0.0166956516845296,always_embed->G8 p95=171.694 regret=0.000; depth_only->G8 p95=171.694 regret=0.000; relationship_type_only->G3 p95=174.507 regret=0.017,always_reference->G7
fiben,sf30,Q10_CreateAccountHoldingAndBuyTransaction,G7,0.6190445506945252,G2|G3|G4|G5|G7|G9,4,1,3,0.0030492695492486,0.0030492695492486,always_embed->G5 p95=0.621 regret=0.003; depth_only->G5 p95=0.621 regret=0.003; relationship_type_only->G5 p95=0.621 regret=0.003,always_reference->G7
fiben,sf30,Q9_PersonsWhoBoughtAndSoldSameStock,G7,1.2238605471793562,G2|G3|G4|G5|G7|G9,4,1,3,0.0010015569422278,0.0010015569422278,always_embed->G4 p95=1.225 regret=0.001; depth_only->G4 p95=1.225 regret=0.001; relationship_type_only->G4 p95=1.225 regret=0.001,always_reference->G7
fiben,sf30,Q2_CompanyWithIndustryCountryAndListedSecurities,G9,0.2507009194232523,G1|G3|G5|G7|G9,4,2,2,2.6505106443938242,5.148322443719064,always_reference->CONTROL p95=0.289 regret=0.153; relationship_type_only->G3 p95=1.541 regret=5.148,always_embed->G9; depth_only->G9
ldbc_snb,sf3,IS6_ForumOfMessage,G0,1.3323502091225234,G0|G3|G7|G9,4,2,2,1.4081701039427823,1.4081701039427823,always_embed->G9 p95=3.209 regret=1.408; depth_only->G9 p95=3.209 regret=1.408,always_reference->G0; relationship_type_only->G0
imdb,sf1,QG8_AddPersonRoleToWatchItem,G3,0.3732010467501823,G0|G2|G3|G4|G5|G6,4,2,2,0.4612214489723638,0.9201839085540404,always_embed->G2 p95=0.374 regret=0.002; relationship_type_only->G5 p95=0.717 regret=0.920,always_reference->G3; depth_only->G3
ldbc_snb,sf3,IS2_RecentMessagesOfPerson,G0,2.7112717303680247,G0|G3|G4|G6|G7|G9,4,2,2,0.6781464348161067,0.9105829828314714,always_embed->G4 p95=3.920 regret=0.446; depth_only->G9 p95=5.180 regret=0.911,always_reference->G0; relationship_type_only->G0
ldbc_snb,sf3,INS7_AddComment,G7,1.2418729689670729,G0|G3|G7|G9,4,2,2,0.7610615166447006,0.7610615166447006,always_embed->G9 p95=2.187 regret=0.761; depth_only->G9 p95=2.187 regret=0.761,always_reference->G7; relationship_type_only->G7
imdb,sf0.5,QG6_EpisodesOfSeries,G7,1.0162401005800346,G3|G7|G8|G9,4,2,2,0.3757074980099714,0.3759987940343446,always_embed->G4 p95=1.398 regret=0.375; depth_only->G2 p95=1.398 regret=0.376,always_reference->G7; relationship_type_only->G7
ldbc_snb,sf0.1,IC7_RecentLikers,G4,7.464429102401482,G0|G3|G4|G6,4,2,2,0.3591434271092052,0.3591434271092052,always_reference->G0 p95=10.145 regret=0.359; relationship_type_only->G0 p95=10.145 regret=0.359,always_embed->G4; depth_only->G4
