query_name,official_id,official_title,query_group,operation_type,root_entity,accessed_entities,relationships_used,weighted_relationships,Rc_distinct,Rc_weighted,D,Re,DeltaR,DeltaRratio,depth_class,structural_reduction_class,association_count,associative_count,containment_count,lookup_count,dominant_semantic_type,entity_volatility_mean,entity_volatility_max,relationship_volatility_mean,relationship_volatility_max,update_volatility_mean,update_volatility_max,update_volatility_class,entity_sharedness_mean,entity_sharedness_max,relationship_sharedness_mean,relationship_sharedness_max,observed_sharedness_mean,observed_sharedness_max,observed_sharedness_class,description
IS1_ProfileOfPerson,IS1,Profile of a person,short_read,read,Person,"['Person', 'Place']",['person_is_located_in_place'],['person_is_located_in_place x1'],1,1,1,0,1,1.0,shallow,high,1,0,0,0,association,0.6387794522,1.0,0.0013584488,0.0013584488,0.4263057844,1.0,high,0.2134989210880946,1.0,0.0012435349041327,0.0002931118710307,0.1427471256934406,1.0,high,Official IS1: retrieve a person's profile and city of residence.
IS2_RecentMessagesOfPerson,IS2,Recent messages of a person,short_read,read,Person,"['Person', 'Post', 'Comment']","['post_has_creator_person', 'comment_has_creator_person', 'comment_reply_of_post', 'comment_reply_of_comment']","['post_has_creator_person x1', 'comment_has_creator_person x1', 'comment_reply_of_post x1', 'comment_reply_of_comment x1']",4,4,2,2,2,0.5,medium,medium,2,0,2,0,mixed,0.5668116799,1.0,0.342607511,0.370959207,0.438695012,1.0,high,0.0173685055162052,0.106448461162677,0.0386976554580714,0.106448461162677,0.0295565911972716,0.106448461162677,low,Official IS2: retrieve the last messages created by a person and the original post in the conversation.
IS3_FriendsOfPerson,IS3,Friends of a person,short_read,read,Person,['Person'],['person_knows_person'],['person_knows_person x1'],1,1,1,0,1,1.0,shallow,high,1,0,0,0,association,1.0,1.0,0.0252497729,0.0252497729,0.5126248865,1.0,high,0.0459449900264166,0.106448461162677,0.0085826621382281,0.0161700048851978,0.0272638260823223,0.106448461162677,low,Official IS3: retrieve all friends of a person and the friendship creation date.
IS4_ContentOfMessage,IS4,Content of a message,short_read,read,Post,"['Post', 'Comment']",[],[],0,0,0,0,0,0.0,lookup,none,0,0,0,1,lookup,0.3502175199,0.4311836564,0.0,0.0,0.3502175199,0.4311836564,medium,0.0030802632610995,0.0165119687347337,0.0,0.0,0.0030802632610995,0.0165119687347337,low,Official IS4: retrieve content and creation date of a Message. Message is represented by Post or Comment.
IS5_CreatorOfMessage,IS5,Creator of a message,short_read,read,Post,"['Post', 'Comment', 'Person']","['post_has_creator_person', 'comment_has_creator_person']","['post_has_creator_person x1', 'comment_has_creator_person x1']",2,2,1,1,1,0.5,shallow,medium,2,0,0,0,association,0.5668116799,1.0,0.3142558149,0.370959207,0.4657893339,1.0,high,0.0173685055162052,0.106448461162677,0.0766604208517241,0.106448461162677,0.0410852716504127,0.106448461162677,low,Official IS5: retrieve the author of a Message. Message is represented by Post or Comment.
IS6_ForumOfMessage,IS6,Forum of a message,short_read,read,Post,"['Post', 'Comment', 'Forum', 'Person']","['forum_container_of_post', 'comment_reply_of_post', 'comment_reply_of_comment', 'forum_has_moderator_person']","['forum_container_of_post x1', 'comment_reply_of_post x1', 'comment_reply_of_comment x1', 'forum_has_moderator_person x1']",4,4,3,1,3,0.75,deep,high,1,0,3,0,containment,0.5663087739,1.0,0.2559076729,0.370959207,0.4111082234,1.0,high,0.0130263791371539,0.106448461162677,0.0022044297187587,0.0018075232046897,0.0076154044279563,0.106448461162677,low,Official IS6: retrieve the forum containing a Message and the moderator of that forum.
IS7_RepliesOfMessage,IS7,Replies of a message,short_read,read,Post,"['Post', 'Comment', 'Person']","['comment_reply_of_post', 'comment_reply_of_comment', 'comment_has_creator_person', 'post_has_creator_person', 'person_knows_person']","['comment_reply_of_post x1', 'comment_reply_of_comment x1', 'comment_has_creator_person x1', 'post_has_creator_person x1', 'person_knows_person x1']",5,5,2,3,2,0.4,medium,medium,3,0,2,0,association,0.5668116799,1.0,0.2791359634,0.370959207,0.3870143571,1.0,high,0.0173685055162052,0.106448461162677,0.0326746567941027,0.106448461162677,0.0269348500648911,0.106448461162677,low,Official IS7: retrieve one-hop replies of a Message and whether reply author knows original author.
IC1_TransitiveFriendsWithName,IC1,Transitive friends with a certain name,complex_read,read,Person,"['Person', 'Place', 'Organisation']","['person_knows_person', 'person_is_located_in_place', 'person_study_at_organisation', 'person_work_at_organisation', 'organisation_is_located_in_place']","['person_knows_person x3', 'person_is_located_in_place x1', 'person_study_at_organisation x1', 'person_work_at_organisation x1', 'organisation_is_located_in_place x1']",5,7,4,3,4,0.5714285714,deep,medium,5,0,0,0,association,0.4260525064,1.0,0.0058650239,0.0252497729,0.1634353298,1.0,high,0.1430091730526001,1.0,0.0037490221649489,0.0161700048851978,0.0559715787478181,1.0,high,"Official IC1: find people connected by up to 3 knows hops with a given first name, including workplaces and studies."
IC2_RecentMessagesByFriends,IC2,Recent messages by your friends,complex_read,read,Person,"['Person', 'Post', 'Comment']","['person_knows_person', 'post_has_creator_person', 'comment_has_creator_person']","['person_knows_person x1', 'post_has_creator_person x1', 'comment_has_creator_person x1']",3,3,2,1,2,0.6666666667000001,medium,medium,3,0,0,0,association,0.5668116799,1.0,0.2179204676,0.370959207,0.3923660738,1.0,high,0.0173685055162052,0.106448461162677,0.0539678346138921,0.106448461162677,0.0356681700650486,0.106448461162677,low,Official IC2: find recent messages created by the friends of a person.
IC3_FriendsAndFriendsOfFriendsInCountries,IC3,Friends and friends of friends that have been to given countries,complex_read,read,Person,"['Person', 'Post', 'Comment', 'Place']","['person_knows_person', 'person_is_located_in_place', 'post_has_creator_person', 'comment_has_creator_person', 'post_is_located_in_place', 'comment_is_located_in_place', 'place_is_part_of_place']","['person_knows_person x2', 'person_is_located_in_place x1', 'post_has_creator_person x1', 'comment_has_creator_person x1', 'post_is_located_in_place x1', 'comment_is_located_in_place x1', 'place_is_part_of_place x1']",7,8,4,4,4,0.5,deep,medium,6,0,1,0,association,0.4944984861,1.0,0.1833759259,0.370959207,0.2965114023,1.0,high,0.108289592174597,1.0,0.2946154578244825,1.0,0.2268605975881605,1.0,high,Official IC3: find friends and friends-of-friends who created messages in two countries.
IC4_NewTopics,IC4,New topics,complex_read,read,Person,"['Person', 'Post', 'Tag']","['person_knows_person', 'post_has_creator_person', 'post_has_tag']","['person_knows_person x1', 'post_has_creator_person x1', 'post_has_tag x1']",3,3,3,0,3,1.0,deep,high,3,0,0,0,association,0.5731296187,1.0,0.1801182061,0.2575524227,0.3766239124,1.0,high,0.0188532356940605,0.106448461162677,0.0292445657552493,0.0404494382022471,0.0240489007246549,0.106448461162677,low,Official IC4: find new tags attached to posts created by friends in a time interval.
