query_name,official_id,official_title,query_group,operation_type,root_entity,dominant_semantic_type,Rc_weighted,D,Re,DeltaRratio,update_volatility_max,observed_sharedness_max,g_class,activation_strength,activation_reason,g_family,g_role,g_label
IC1_TransitiveFriendsWithName,IC1,Transitive friends with a certain name,complex_read,read,Person,association,7,4,3,0.5714285714,1.0,1.0,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IC1_TransitiveFriendsWithName,IC1,Transitive friends with a certain name,complex_read,read,Person,association,7,4,3,0.5714285714,1.0,1.0,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IC2_RecentMessagesByFriends,IC2,Recent messages by your friends,complex_read,read,Person,association,3,2,1,0.6666666667000001,1.0,0.106448461162677,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IC2_RecentMessagesByFriends,IC2,Recent messages by your friends,complex_read,read,Person,association,3,2,1,0.6666666667000001,1.0,0.106448461162677,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IC3_FriendsAndFriendsOfFriendsInCountries,IC3,Friends and friends of friends that have been to given countries,complex_read,read,Person,association,8,4,4,0.5,1.0,1.0,G7,secondary,Containment-family baseline.,containment,baseline,Containment baseline
IC3_FriendsAndFriendsOfFriendsInCountries,IC3,Friends and friends of friends that have been to given countries,complex_read,read,Person,association,8,4,4,0.5,1.0,1.0,G9,secondary,"Containment path has high sharedness, high volatility, or high residual traversal.",containment,hybrid_containment_candidate,Hybrid containment with references or summaries
IC3_FriendsAndFriendsOfFriendsInCountries,IC3,Friends and friends of friends that have been to given countries,complex_read,read,Person,association,8,4,4,0.5,1.0,1.0,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IC3_FriendsAndFriendsOfFriendsInCountries,IC3,Friends and friends of friends that have been to given countries,complex_read,read,Person,association,8,4,4,0.5,1.0,1.0,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IC4_NewTopics,IC4,New topics,complex_read,read,Person,association,3,3,0,1.0,1.0,0.106448461162677,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IC4_NewTopics,IC4,New topics,complex_read,read,Person,association,3,3,0,1.0,1.0,0.106448461162677,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IC5_NewGroups,IC5,New groups,complex_read,read,Person,association,5,3,2,0.6000000000000001,1.0,0.106448461162677,G4,secondary,Associative-family baseline using explicit relationship documents.,associative,baseline,Associative relationship as explicit document
IC5_NewGroups,IC5,New groups,complex_read,read,Person,association,5,3,2,0.6000000000000001,1.0,0.106448461162677,G6,secondary,Associative relation is volatile/shared and should be represented with references or reverse indexes.,associative,referenced_or_reverse_associative,Referenced or reverse-indexed associative pattern
IC5_NewGroups,IC5,New groups,complex_read,read,Person,association,5,3,2,0.6000000000000001,1.0,0.106448461162677,G7,secondary,Containment-family baseline.,containment,baseline,Containment baseline
IC5_NewGroups,IC5,New groups,complex_read,read,Person,association,5,3,2,0.6000000000000001,1.0,0.106448461162677,G9,secondary,"Containment path has high sharedness, high volatility, or high residual traversal.",containment,hybrid_containment_candidate,Hybrid containment with references or summaries
IC5_NewGroups,IC5,New groups,complex_read,read,Person,association,5,3,2,0.6000000000000001,1.0,0.106448461162677,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IC5_NewGroups,IC5,New groups,complex_read,read,Person,association,5,3,2,0.6000000000000001,1.0,0.106448461162677,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IC6_TagCoOccurrence,IC6,Tag co-occurrence,complex_read,read,Person,association,4,3,1,0.75,1.0,0.106448461162677,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IC6_TagCoOccurrence,IC6,Tag co-occurrence,complex_read,read,Person,association,4,3,1,0.75,1.0,0.106448461162677,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IC7_RecentLikers,IC7,Recent likers,complex_read,read,Person,association,5,2,3,0.4,1.0,0.106448461162677,G4,secondary,Associative-family baseline using explicit relationship documents.,associative,baseline,Associative relationship as explicit document
IC7_RecentLikers,IC7,Recent likers,complex_read,read,Person,association,5,2,3,0.4,1.0,0.106448461162677,G6,secondary,Associative relation is volatile/shared and should be represented with references or reverse indexes.,associative,referenced_or_reverse_associative,Referenced or reverse-indexed associative pattern
IC7_RecentLikers,IC7,Recent likers,complex_read,read,Person,association,5,2,3,0.4,1.0,0.106448461162677,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IC7_RecentLikers,IC7,Recent likers,complex_read,read,Person,association,5,2,3,0.4,1.0,0.106448461162677,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
INS1_AddPerson,INS1,Add person,insert,insert,Person,association,4,1,3,0.25,1.0,1.0,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
INS1_AddPerson,INS1,Add person,insert,insert,Person,association,4,1,3,0.25,1.0,1.0,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
INS2_AddLikeToPost,INS2,Add like to post,insert,insert,Person,associative,1,1,0,1.0,1.0,0.106448461162677,G4,primary,Associative-family baseline using explicit relationship documents.,associative,baseline,Associative relationship as explicit document
INS2_AddLikeToPost,INS2,Add like to post,insert,insert,Person,associative,1,1,0,1.0,1.0,0.106448461162677,G6,primary,Associative relation is volatile/shared and should be represented with references or reverse indexes.,associative,referenced_or_reverse_associative,Referenced or reverse-indexed associative pattern
INS3_AddLikeToComment,INS3,Add like to comment,insert,insert,Person,associative,1,1,0,1.0,1.0,0.106448461162677,G4,primary,Associative-family baseline using explicit relationship documents.,associative,baseline,Associative relationship as explicit document
INS3_AddLikeToComment,INS3,Add like to comment,insert,insert,Person,associative,1,1,0,1.0,1.0,0.106448461162677,G6,primary,Associative relation is volatile/shared and should be represented with references or reverse indexes.,associative,referenced_or_reverse_associative,Referenced or reverse-indexed associative pattern
INS4_AddForum,INS4,Add forum,insert,insert,Forum,association,2,1,1,0.5,1.0,0.106448461162677,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
INS4_AddForum,INS4,Add forum,insert,insert,Forum,association,2,1,1,0.5,1.0,0.106448461162677,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
INS5_AddForumMembership,INS5,Add forum membership,insert,insert,Forum,associative,1,1,0,1.0,1.0,0.106448461162677,G4,primary,Associative-family baseline using explicit relationship documents.,associative,baseline,Associative relationship as explicit document
INS5_AddForumMembership,INS5,Add forum membership,insert,insert,Forum,associative,1,1,0,1.0,1.0,0.106448461162677,G6,primary,Associative relation is volatile/shared and should be represented with references or reverse indexes.,associative,referenced_or_reverse_associative,Referenced or reverse-indexed associative pattern
INS6_AddPost,INS6,Add post,insert,insert,Post,association,4,1,3,0.25,1.0,1.0,G7,secondary,Containment-family baseline.,containment,baseline,Containment baseline
INS6_AddPost,INS6,Add post,insert,insert,Post,association,4,1,3,0.25,1.0,1.0,G9,secondary,"Containment path has high sharedness, high volatility, or high residual traversal.",containment,hybrid_containment_candidate,Hybrid containment with references or summaries
INS6_AddPost,INS6,Add post,insert,insert,Post,association,4,1,3,0.25,1.0,1.0,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
INS6_AddPost,INS6,Add post,insert,insert,Post,association,4,1,3,0.25,1.0,1.0,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
INS7_AddComment,INS7,Add comment,insert,insert,Comment,association,5,1,4,0.2,1.0,1.0,G7,secondary,Containment-family baseline.,containment,baseline,Containment baseline
INS7_AddComment,INS7,Add comment,insert,insert,Comment,association,5,1,4,0.2,1.0,1.0,G9,secondary,"Containment path has high sharedness, high volatility, or high residual traversal.",containment,hybrid_containment_candidate,Hybrid containment with references or summaries
INS7_AddComment,INS7,Add comment,insert,insert,Comment,association,5,1,4,0.2,1.0,1.0,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
INS7_AddComment,INS7,Add comment,insert,insert,Comment,association,5,1,4,0.2,1.0,1.0,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
INS8_AddFriendship,INS8,Add friendship,insert,insert,Person,association,1,1,0,1.0,1.0,0.106448461162677,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
INS8_AddFriendship,INS8,Add friendship,insert,insert,Person,association,1,1,0,1.0,1.0,0.106448461162677,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IS1_ProfileOfPerson,IS1,Profile of a person,short_read,read,Person,association,1,1,0,1.0,1.0,1.0,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IS1_ProfileOfPerson,IS1,Profile of a person,short_read,read,Person,association,1,1,0,1.0,1.0,1.0,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IS2_RecentMessagesOfPerson,IS2,Recent messages of a person,short_read,read,Person,mixed,4,2,2,0.5,1.0,0.106448461162677,G0,secondary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IS2_RecentMessagesOfPerson,IS2,Recent messages of a person,short_read,read,Person,mixed,4,2,2,0.5,1.0,0.106448461162677,G3,secondary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IS2_RecentMessagesOfPerson,IS2,Recent messages of a person,short_read,read,Person,mixed,4,2,2,0.5,1.0,0.106448461162677,G4,secondary,Associative-family baseline using explicit relationship documents.,associative,baseline,Associative relationship as explicit document
IS2_RecentMessagesOfPerson,IS2,Recent messages of a person,short_read,read,Person,mixed,4,2,2,0.5,1.0,0.106448461162677,G6,secondary,Associative relation is volatile/shared and should be represented with references or reverse indexes.,associative,referenced_or_reverse_associative,Referenced or reverse-indexed associative pattern
IS2_RecentMessagesOfPerson,IS2,Recent messages of a person,short_read,read,Person,mixed,4,2,2,0.5,1.0,0.106448461162677,G7,secondary,Containment-family baseline.,containment,baseline,Containment baseline
IS2_RecentMessagesOfPerson,IS2,Recent messages of a person,short_read,read,Person,mixed,4,2,2,0.5,1.0,0.106448461162677,G9,secondary,"Containment path has high sharedness, high volatility, or high residual traversal.",containment,hybrid_containment_candidate,Hybrid containment with references or summaries
IS3_FriendsOfPerson,IS3,Friends of a person,short_read,read,Person,association,1,1,0,1.0,1.0,0.106448461162677,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IS3_FriendsOfPerson,IS3,Friends of a person,short_read,read,Person,association,1,1,0,1.0,1.0,0.106448461162677,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IS4_ContentOfMessage,IS4,Content of a message,short_read,read,Post,lookup,0,0,0,0.0,0.4311836564,0.0165119687347337,G1,primary,Lookup query with no explicit relationship traversal.,lookup,baseline,Single-entity lookup document
IS4_ContentOfMessage,IS4,Content of a message,short_read,read,Post,lookup,0,0,0,0.0,0.4311836564,0.0165119687347337,G0,control,Control baseline for root document comparison.,association,baseline,Root document with referenced associations
IS5_CreatorOfMessage,IS5,Creator of a message,short_read,read,Post,association,2,1,1,0.5,1.0,0.106448461162677,G0,primary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IS5_CreatorOfMessage,IS5,Creator of a message,short_read,read,Post,association,2,1,1,0.5,1.0,0.106448461162677,G3,primary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IS6_ForumOfMessage,IS6,Forum of a message,short_read,read,Post,containment,4,3,1,0.75,1.0,0.106448461162677,G0,secondary,Association-family baseline root document.,association,baseline,Root document with referenced associations
IS6_ForumOfMessage,IS6,Forum of a message,short_read,read,Post,containment,4,3,1,0.75,1.0,0.106448461162677,G3,secondary,"Association path has high sharedness, high volatility, deep traversal, or residual traversal.",association,reference_or_summary_candidate,Root document with references or denormalized summaries
IS6_ForumOfMessage,IS6,Forum of a message,short_read,read,Post,containment,4,3,1,0.75,1.0,0.106448461162677,G7,primary,Containment-family baseline.,containment,baseline,Containment baseline
IS6_ForumOfMessage,IS6,Forum of a message,short_read,read,Post,containment,4,3,1,0.75,1.0,0.106448461162677,G9,primary,"Containment path has high sharedness, high volatility, or high residual traversal.",containment,hybrid_containment_candidate,Hybrid containment with references or summaries
IS7_RepliesOfMessage,IS7,Replies of a message,short_read,read,Post,association,5,2,3,0.4,1.0,0.106448461162677,G7,secondary,Containment-family baseline.,containment,baseline,Containment baseline
IS7_RepliesOfMessage,IS7,Replies of a message,short_read,read,Post,association,5,2,3,0.4,1.0,0.106448461162677,G9,secondary,"Containment path has high sharedness, high volatility, or high residual traversal.",containment,hybrid_containment_candidate,Hybrid containment with references or summaries
