query_name,official_id,query_group,operation_type,root_entity,n_accessed_entities,n_relationships_used,entity_sharedness_mean,entity_sharedness_max,relationship_sharedness_mean,relationship_sharedness_max,observed_sharedness_mean,observed_sharedness_max
IC3_FriendsAndFriendsOfFriendsInCountries,IC3,complex_read,read,Person,4,7,0.10828959217459705,1.0,0.29461545782448256,1.0,0.22686059758816057,1.0
INS6_AddPost,INS6,insert,insert,Post,5,4,0.08752251184639084,1.0,0.24457805028827215,1.0,0.15732497337611587,1.0
INS7_AddComment,INS7,insert,insert,Comment,5,5,0.08826899090253665,1.0,0.21875407377632827,0.9960918417195896,0.15351153233943243,1.0
IS1_ProfileOfPerson,IS1,short_read,read,Person,2,1,0.2134989210880946,1.0,0.0012435349041327102,0.00029311187103077673,0.14274712569344064,1.0
INS1_AddPerson,INS1,insert,insert,Person,4,4,0.10930352624302386,1.0,0.002884200518802861,0.008451392281387396,0.056093863380913364,1.0
IC1_TransitiveFriendsWithName,IC1,complex_read,read,Person,3,5,0.14300917305260014,1.0,0.0037490221649489398,0.01617000488519785,0.05597157874781814,1.0
IS5_CreatorOfMessage,IS5,short_read,read,Post,3,2,0.017368505516205213,0.10644846116267709,0.07666042085172413,0.10644846116267709,0.04108527165041278,0.10644846116267709
INS5_AddForumMembership,INS5,insert,insert,Forum,2,1,0.022972495013208305,0.10644846116267709,0.06120839760862801,0.07293600390815828,0.0357177958783482,0.10644846116267709
IC2_RecentMessagesByFriends,IC2,complex_read,read,Person,3,3,0.017368505516205213,0.10644846116267709,0.053967834613892145,0.10644846116267709,0.03566817006504868,0.10644846116267709
IS2_RecentMessagesOfPerson,IS2,short_read,read,Person,3,4,0.017368505516205213,0.10644846116267709,0.03869765545807143,0.10644846116267709,0.029556591197271626,0.10644846116267709
IC7_RecentLikers,IC7,complex_read,read,Person,3,5,0.017368505516205213,0.10644846116267709,0.035150456394709456,0.10644846116267709,0.028482224815270366,0.10644846116267709
IC5_NewGroups,IC5,complex_read,read,Person,3,4,0.01612437375596221,0.10644846116267709,0.036140269307252226,0.07293600390815828,0.02756202835669936,0.10644846116267709
IS3_FriendsOfPerson,IS3,short_read,read,Person,1,1,0.04594499002641661,0.10644846116267709,0.008582662138228175,0.01617000488519785,0.027263826082322393,0.10644846116267709
INS8_AddFriendship,INS8,insert,insert,Person,1,1,0.04594499002641661,0.10644846116267709,0.008582662138228175,0.01617000488519785,0.027263826082322393,0.10644846116267709
IS7_RepliesOfMessage,IS7,short_read,read,Post,3,5,0.017368505516205213,0.10644846116267709,0.03267465679410278,0.10644846116267709,0.026934850064891193,0.10644846116267709
IC4_NewTopics,IC4,complex_read,read,Person,3,3,0.018853235694060555,0.10644846116267709,0.02924456575524932,0.04044943820224719,0.024048900724654942,0.10644846116267709
IC6_TagCoOccurrence,IC6,complex_read,read,Person,3,3,0.018853235694060555,0.10644846116267709,0.02924456575524932,0.04044943820224719,0.024048900724654942,0.10644846116267709
INS3_AddLikeToComment,INS3,insert,insert,Person,2,1,0.02483869265357281,0.10644846116267709,0.009727405713349542,0.013141182217879825,0.01980159700683172,0.10644846116267709
INS2_AddLikeToPost,INS2,insert,insert,Person,2,1,0.024186560633943317,0.10644846116267709,0.004121372418521307,0.01651196873473376,0.01749816456213598,0.10644846116267709
INS4_AddForum,INS4,insert,insert,Forum,3,2,0.018043858613570548,0.10644846116267709,0.00749734827711368,0.01787982413287738,0.0138252544789878,0.10644846116267709
IS6_ForumOfMessage,IS6,short_read,read,Post,4,4,0.013026379137153911,0.10644846116267709,0.002204429718758706,0.00180752320468979,0.0076154044279563085,0.10644846116267709
IS4_ContentOfMessage,IS4,short_read,read,Post,2,0,0.0030802632610995163,0.01651196873473376,0.0,0.0,0.0030802632610995163,0.01651196873473376
