query_name,official_id,query_group,operation_type,root_entity,n_touched_entities,n_touched_relationships,entity_volatility_mean,entity_volatility_max,relationship_volatility_mean,relationship_volatility_max,update_volatility_mean,update_volatility_max
INS5_AddForumMembership,INS5,insert,insert,Forum,2,1,0.7824000278425504,1.0,1.0,1.0,0.8549333518950336,1.0
INS2_AddLikeToPost,INS2,insert,insert,Person,2,1,0.7155918282114642,1.0,0.34998222959365005,0.34998222959365005,0.5937219620055262,1.0
IS3_FriendsOfPerson,IS3,short_read,read,Person,1,1,1.0,1.0,0.02524977293369664,0.02524977293369664,0.5126248864668483,1.0
INS8_AddFriendship,INS8,insert,insert,Person,1,1,1.0,1.0,0.02524977293369664,0.02524977293369664,0.5126248864668483,1.0
IC5_NewGroups,IC5,complex_read,read,Person,3,4,0.6653279040360097,1.0,0.3850886545827903,1.0,0.5051911900627415,1.0
INS3_AddLikeToComment,INS3,insert,insert,Person,2,1,0.6346256917133609,1.0,0.24005844489199543,0.24005844489199543,0.5031032761062391,1.0
IS5_CreatorOfMessage,IS5,short_read,read,Post,3,2,0.5668116799498834,1.0,0.3142558148718556,0.37095920704497887,0.4657893339186723,1.0
IS2_RecentMessagesOfPerson,IS2,short_read,read,Person,3,4,0.5668116799498834,1.0,0.34260751095841724,0.37095920704497887,0.4386950119547599,1.0
IS1_ProfileOfPerson,IS1,short_read,read,Person,2,1,0.6387794521978213,1.0,0.001358448840974608,0.001358448840974608,0.42630578441220573,1.0
INS7_AddComment,INS7,insert,insert,Comment,5,5,0.45323982876831514,1.0,0.37095920704497887,0.37095920704497887,0.41209951790664706,1.0
IS6_ForumOfMessage,IS6,short_read,read,Post,4,4,0.5663087738836877,1.0,0.255907672866564,0.37095920704497887,0.41110822337512587,1.0
INS6_AddPost,INS6,insert,insert,Post,5,4,0.5123495632199909,1.0,0.25755242269873235,0.25755242269873235,0.3991063896549872,1.0
IC2_RecentMessagesByFriends,IC2,complex_read,read,Person,3,3,0.5668116799498834,1.0,0.21792046755913597,0.37095920704497887,0.39236607375450966,1.0
IS7_RepliesOfMessage,IS7,short_read,read,Post,3,5,0.5668116799498834,1.0,0.2791359633534731,0.37095920704497887,0.387014357077127,1.0
INS4_AddForum,INS4,insert,insert,Forum,3,2,0.6176684184271279,1.0,0.02415985467756585,0.02415985467756585,0.3802649929273031,1.0
IC4_NewTopics,IC4,complex_read,read,Person,3,3,0.5731296186730704,1.0,0.18011820611038712,0.25755242269873235,0.3766239123917288,1.0
IC6_TagCoOccurrence,IC6,complex_read,read,Person,3,3,0.5731296186730704,1.0,0.18011820611038712,0.25755242269873235,0.3766239123917288,1.0
IC7_RecentLikers,IC7,complex_read,read,Person,3,5,0.5668116799498834,1.0,0.24876041543261068,0.37095920704497887,0.36802963962658797,1.0
IC3_FriendsAndFriendsOfFriendsInCountries,IC3,complex_read,read,Person,4,7,0.4944984860613232,1.0,0.18337592589458485,0.37095920704497887,0.29651140231885337,1.0
INS1_AddPerson,INS1,insert,insert,Person,4,4,0.3915906797062611,1.0,0.001358448840974608,0.001358448840974608,0.19647456427361784,1.0
IC1_TransitiveFriendsWithName,IC1,complex_read,read,Person,3,5,0.4260525064095871,1.0,0.005865023891324093,0.02524977293369664,0.16343532983567272,1.0
IS4_ContentOfMessage,IS4,short_read,read,Post,2,0,0.3502175199248251,0.43118365642292833,0.0,0.0,0.3502175199248251,0.43118365642292833
