query_name,official_id,Rc_weighted,D,Re,DeltaR,DeltaRratio
IS1_ProfileOfPerson,IS1,1,1,0,1,1.0
IS2_RecentMessagesOfPerson,IS2,4,2,2,2,0.5
IS3_FriendsOfPerson,IS3,1,1,0,1,1.0
IS4_ContentOfMessage,IS4,0,0,0,0,0.0
IS5_CreatorOfMessage,IS5,2,1,1,1,0.5
IS6_ForumOfMessage,IS6,4,3,1,3,0.75
IS7_RepliesOfMessage,IS7,5,2,3,2,0.4
IC1_TransitiveFriendsWithName,IC1,7,4,3,4,0.5714285714285714
IC2_RecentMessagesByFriends,IC2,3,2,1,2,0.6666666666666666
IC3_FriendsAndFriendsOfFriendsInCountries,IC3,8,4,4,4,0.5
IC4_NewTopics,IC4,3,3,0,3,1.0
IC5_NewGroups,IC5,5,3,2,3,0.6
IC6_TagCoOccurrence,IC6,4,3,1,3,0.75
IC7_RecentLikers,IC7,5,2,3,2,0.4
INS1_AddPerson,INS1,4,1,3,1,0.25
INS2_AddLikeToPost,INS2,1,1,0,1,1.0
INS3_AddLikeToComment,INS3,1,1,0,1,1.0
INS4_AddForum,INS4,2,1,1,1,0.5
INS5_AddForumMembership,INS5,1,1,0,1,1.0
INS6_AddPost,INS6,4,1,3,1,0.25
INS7_AddComment,INS7,5,1,4,1,0.2
INS8_AddFriendship,INS8,1,1,0,1,1.0
