query_name,official_id,official_title,query_group,operation_type,root_entity,accessed_entities,relationships_used,Rc_distinct,Rc_weighted,D,Re,DeltaR,DeltaRratio,association_count,associative_count,containment_count,lookup_count,dominant_semantic_type,weighted_relationships,description
IS1_ProfileOfPerson,IS1,Profile of a person,short_read,read,Person,"['Person', 'Place']",['person_is_located_in_place'],1,1,1,0,1,1.0,1,0,0,0,association,['person_is_located_in_place x1'],Official IS1: retrieve a person's profile and city of residence.
IS2_RecentMessagesOfPerson,IS2,Recent messages of a person,short_read,read,Person,"['Person', 'Post', 'Comment']","['post_has_creator_person', 'comment_has_creator_person', 'comment_reply_of_post', 'comment_reply_of_comment']",4,4,2,2,2,0.5,2,0,2,0,mixed,"['post_has_creator_person x1', 'comment_has_creator_person x1', 'comment_reply_of_post x1', 'comment_reply_of_comment x1']",Official IS2: retrieve the last messages created by a person and the original post in the conversation.
IS3_FriendsOfPerson,IS3,Friends of a person,short_read,read,Person,['Person'],['person_knows_person'],1,1,1,0,1,1.0,1,0,0,0,association,['person_knows_person x1'],Official IS3: retrieve all friends of a person and the friendship creation date.
IS4_ContentOfMessage,IS4,Content of a message,short_read,read,Post,"['Post', 'Comment']",[],0,0,0,0,0,0.0,0,0,0,1,lookup,[],Official IS4: retrieve content and creation date of a Message. Message is represented by Post or Comment.
IS5_CreatorOfMessage,IS5,Creator of a message,short_read,read,Post,"['Post', 'Comment', 'Person']","['post_has_creator_person', 'comment_has_creator_person']",2,2,1,1,1,0.5,2,0,0,0,association,"['post_has_creator_person x1', 'comment_has_creator_person x1']",Official IS5: retrieve the author of a Message. Message is represented by Post or Comment.
IS6_ForumOfMessage,IS6,Forum of a message,short_read,read,Post,"['Post', 'Comment', 'Forum', 'Person']","['forum_container_of_post', 'comment_reply_of_post', 'comment_reply_of_comment', 'forum_has_moderator_person']",4,4,3,1,3,0.75,1,0,3,0,containment,"['forum_container_of_post x1', 'comment_reply_of_post x1', 'comment_reply_of_comment x1', 'forum_has_moderator_person x1']",Official IS6: retrieve the forum containing a Message and the moderator of that forum.
IS7_RepliesOfMessage,IS7,Replies of a message,short_read,read,Post,"['Post', 'Comment', 'Person']","['comment_reply_of_post', 'comment_reply_of_comment', 'comment_has_creator_person', 'post_has_creator_person', 'person_knows_person']",5,5,2,3,2,0.4,3,0,2,0,association,"['comment_reply_of_post x1', 'comment_reply_of_comment x1', 'comment_has_creator_person x1', 'post_has_creator_person x1', 'person_knows_person x1']",Official IS7: retrieve one-hop replies of a Message and whether reply author knows original author.
IC1_TransitiveFriendsWithName,IC1,Transitive friends with a certain name,complex_read,read,Person,"['Person', 'Place', 'Organisation']","['person_knows_person', 'person_is_located_in_place', 'person_study_at_organisation', 'person_work_at_organisation', 'organisation_is_located_in_place']",5,7,4,3,4,0.5714285714285714,5,0,0,0,association,"['person_knows_person x3', 'person_is_located_in_place x1', 'person_study_at_organisation x1', 'person_work_at_organisation x1', 'organisation_is_located_in_place x1']","Official IC1: find people connected by up to 3 knows hops with a given first name, including workplaces and studies."
IC2_RecentMessagesByFriends,IC2,Recent messages by your friends,complex_read,read,Person,"['Person', 'Post', 'Comment']","['person_knows_person', 'post_has_creator_person', 'comment_has_creator_person']",3,3,2,1,2,0.6666666666666666,3,0,0,0,association,"['person_knows_person x1', 'post_has_creator_person x1', 'comment_has_creator_person x1']",Official IC2: find recent messages created by the friends of a person.
IC3_FriendsAndFriendsOfFriendsInCountries,IC3,Friends and friends of friends that have been to given countries,complex_read,read,Person,"['Person', 'Post', 'Comment', 'Place']","['person_knows_person', 'person_is_located_in_place', 'post_has_creator_person', 'comment_has_creator_person', 'post_is_located_in_place', 'comment_is_located_in_place', 'place_is_part_of_place']",7,8,4,4,4,0.5,6,0,1,0,association,"['person_knows_person x2', 'person_is_located_in_place x1', 'post_has_creator_person x1', 'comment_has_creator_person x1', 'post_is_located_in_place x1', 'comment_is_located_in_place x1', 'place_is_part_of_place x1']",Official IC3: find friends and friends-of-friends who created messages in two countries.
IC4_NewTopics,IC4,New topics,complex_read,read,Person,"['Person', 'Post', 'Tag']","['person_knows_person', 'post_has_creator_person', 'post_has_tag']",3,3,3,0,3,1.0,3,0,0,0,association,"['person_knows_person x1', 'post_has_creator_person x1', 'post_has_tag x1']",Official IC4: find new tags attached to posts created by friends in a time interval.
IC5_NewGroups,IC5,New groups,complex_read,read,Person,"['Person', 'Forum', 'Post']","['person_knows_person', 'forum_has_member_person', 'forum_container_of_post', 'post_has_creator_person']",4,5,3,2,3,0.6,2,1,1,0,association,"['person_knows_person x2', 'forum_has_member_person x1', 'forum_container_of_post x1', 'post_has_creator_person x1']",Official IC5: find forums joined by friends/friends-of-friends and count their posts.
IC6_TagCoOccurrence,IC6,Tag co-occurrence,complex_read,read,Person,"['Person', 'Post', 'Tag']","['person_knows_person', 'post_has_creator_person', 'post_has_tag']",3,4,3,1,3,0.75,3,0,0,0,association,"['person_knows_person x2', 'post_has_creator_person x1', 'post_has_tag x1']",Official IC6: find tags co-occurring with a given tag on posts by friends/friends-of-friends.
IC7_RecentLikers,IC7,Recent likers,complex_read,read,Person,"['Person', 'Post', 'Comment']","['post_has_creator_person', 'comment_has_creator_person', 'person_likes_post', 'person_likes_comment', 'person_knows_person']",5,5,2,3,2,0.4,3,2,0,0,association,"['post_has_creator_person x1', 'comment_has_creator_person x1', 'person_likes_post x1', 'person_likes_comment x1', 'person_knows_person x1']",Official IC7: find recent likes on a person's messages and whether likers are friends.
INS1_AddPerson,INS1,Add person,insert,insert,Person,"['Person', 'Place', 'Tag', 'Organisation']","['person_is_located_in_place', 'person_has_interest_tag', 'person_study_at_organisation', 'person_work_at_organisation']",4,4,1,3,1,0.25,4,0,0,0,association,"['person_is_located_in_place x1', 'person_has_interest_tag x1', 'person_study_at_organisation x1', 'person_work_at_organisation x1']","Official INS1: add a Person connected by location, interests, studyAt and workAt."
INS2_AddLikeToPost,INS2,Add like to post,insert,insert,Person,"['Person', 'Post']",['person_likes_post'],1,1,1,0,1,1.0,0,1,0,0,associative,['person_likes_post x1'],Official INS2: add a likes edge from Person to Post.
INS3_AddLikeToComment,INS3,Add like to comment,insert,insert,Person,"['Person', 'Comment']",['person_likes_comment'],1,1,1,0,1,1.0,0,1,0,0,associative,['person_likes_comment x1'],Official INS3: add a likes edge from Person to Comment.
INS4_AddForum,INS4,Add forum,insert,insert,Forum,"['Forum', 'Person', 'Tag']","['forum_has_moderator_person', 'forum_has_tag']",2,2,1,1,1,0.5,2,0,0,0,association,"['forum_has_moderator_person x1', 'forum_has_tag x1']",Official INS4: add a Forum connected to a moderator and tags.
