operation_name,query_id,operation_kind,frequency,step_order,conceptual_type,type_kind,access_volume,multiplier_from_previous,multiplier_status,relationship_name_for_multiplier,from_entity_for_multiplier,to_entity_for_multiplier,relationship_confidence_status,observed_cardinality
Q10a_CreateAccountAndHolding,Q10,insert,1.0,1,Person,entity,1.0,1.0,first_step_frequency,,,,,
Q10a_CreateAccountAndHolding,Q10,insert,1.0,2,person_owns_financial_service_account,relationship,1.941516966067864,1.941516966067864,observed_source_to_target_avg,person_owns_financial_service_account,Person,FinancialServiceAccount,high_confidence_observed,observed_N_to_M
Q10a_CreateAccountAndHolding,Q10,insert,1.0,3,FinancialServiceAccount,entity,1.941516966067864,1.0,entity_inherits_previous_relationship_volume,person_owns_financial_service_account,,,high_confidence_observed,observed_N_to_M
Q10a_CreateAccountAndHolding,Q10,insert,1.0,4,account_has_holding,relationship,3.992015968063871,2.056132414927521,observed_source_to_target_avg,account_has_holding,FinancialServiceAccount,Holding,high_confidence_observed,observed_N_to_M
Q10a_CreateAccountAndHolding,Q10,insert,1.0,5,Holding,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,account_has_holding,,,high_confidence_observed,observed_N_to_M
Q10a_CreateAccountAndHolding,Q10,insert,1.0,6,holding_refers_to_listed_security,relationship,3.992015968063871,1.0,observed_source_to_target_avg,holding_refers_to_listed_security,Holding,ListedSecurity,high_confidence_observed,observed_N_to_M
Q10a_CreateAccountAndHolding,Q10,insert,1.0,7,ListedSecurity,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,holding_refers_to_listed_security,,,high_confidence_observed,observed_N_to_M
Q10b_CreateAccountAndBuyTransaction,Q10,insert,1.0,1,Person,entity,1.0,1.0,first_step_frequency,,,,,
Q10b_CreateAccountAndBuyTransaction,Q10,insert,1.0,2,person_owns_financial_service_account,relationship,1.941516966067864,1.941516966067864,observed_source_to_target_avg,person_owns_financial_service_account,Person,FinancialServiceAccount,high_confidence_observed,observed_N_to_M
Q10b_CreateAccountAndBuyTransaction,Q10,insert,1.0,3,FinancialServiceAccount,entity,1.941516966067864,1.0,entity_inherits_previous_relationship_volume,person_owns_financial_service_account,,,high_confidence_observed,observed_N_to_M
