relationship_name,edge_id,semantic_type,source_entity,target_entity,hint_type,hint_confidence,observed_cardinality,computation_status,lmm_confidence_status,avg_source_to_target,avg_target_to_source,avg_derivation_method,source_view,target_view,bridge_view,selected_source_column,selected_target_column,bridge_source_column,bridge_target_column,source_non_null_rows,target_non_null_rows,source_distinct_keys,target_distinct_keys,joined_rows,joined_distinct_source_keys,joined_distinct_target_keys,notes,use_in_main_comparison,comparison_mode,row_limit,bridge_non_null_rows
corporation_has_industry,Corporation -- Industry [corporation_has_industry],descriptor,Corporation,Industry,direct,high,observed_N_to_M,computed,high_confidence_observed,1.0,6.4916201117318435,direct_fk_observed_join,fiben_corporations,fiben_industries,,ISCLASSIFIEDBY,INDUSTRYSECTORCLASSIFIERID,,,2324,452,358,452,2324,358,358,Corporation points to IndustrySectorClassifier through ISCLASSIFIEDBY.,True,schemalens_artifact_consistent,200000,
corporation_has_country,Corporation -- Country [corporation_has_country],descriptor,Corporation,Country,direct,high,observed_N_to_M,computed,high_confidence_observed,1.0,116.2,direct_fk_observed_join,fiben_corporations,fiben_countries,,ISDOMICILEDIN,COUNTRYID,,,2324,249,20,249,2324,20,20,Corporation points to Country through ISDOMICILEDIN.,True,schemalens_artifact_consistent,200000,
corporation_has_listed_security,Corporation -- ListedSecurity [corporation_has_listed_security],association,Corporation,ListedSecurity,bridge,medium,no_observed_matches,computed,needs_review_no_observed_match,,,not_derived_no_observed_match,fiben_corporations,fiben_listed_securities,fiben_securities,CORPORATIONID,LISTEDSECURITYID,ISPROVIDEDBY,ISTRADEDON,2324,2745,2324,2745,0,0,0,Derived path Corporation -> Security -> ListedSecurity.,True,schemalens_artifact_consistent,200000,2745.0
listed_security_represents_security,ListedSecurity -- Security [listed_security_represents_security],association,ListedSecurity,Security,direct,medium,no_observed_matches,computed,needs_review_no_observed_match,,,not_derived_no_observed_match,fiben_listed_securities,fiben_securities,,LISTEDSECURITYID,ISTRADEDON,,,2745,2745,2745,3,0,0,0,Security appears to point to ListedSecurity through ISTRADEDON.,True,schemalens_artifact_consistent,200000,
person_owns_financial_service_account,Person -- FinancialServiceAccount [person_owns_financial_service_account],ownership,Person,FinancialServiceAccount,direct,high,observed_N_to_M,computed,high_confidence_observed,1.9415169660678642,1.9454,direct_fk_observed_join,fiben_persons,fiben_financial_service_accounts,,PERSONID,ISOWNEDBY,,,50100,97270,50100,50000,97270,50000,50000,FinancialServiceAccount points to Person through ISOWNEDBY.,True,schemalens_artifact_consistent,200000,
account_has_holding,FinancialServiceAccount -- Holding [account_has_holding],containment,FinancialServiceAccount,Holding,direct,high,observed_N_to_M,computed,high_confidence_observed,2.0561324149275215,5.487721223761833,direct_fk_observed_join,fiben_financial_service_accounts,fiben_holdings,,FINANCIALSERVICEACCOUNTID,ISHELDBY,,,97270,200000,97270,36445,200000,36445,36445,Holding points to FinancialServiceAccount through ISHELDBY.,True,schemalens_artifact_consistent,200000,
holding_refers_to_listed_security,Holding -- ListedSecurity [holding_refers_to_listed_security],association,Holding,ListedSecurity,direct,high,observed_N_to_M,computed,high_confidence_observed,1.0,72.85974499089254,direct_fk_observed_join,fiben_holdings,fiben_listed_securities,,REFERSTO,LISTEDSECURITYID,,,200000,2745,2745,2745,200000,2745,2745,Holding points to ListedSecurity through REFERSTO.,True,schemalens_artifact_consistent,200000,
account_records_transaction,FinancialServiceAccount -- Transaction [account_records_transaction],containment,FinancialServiceAccount,Transaction,direct,high,observed_N_to_M,computed,high_confidence_observed,2.0561324149275215,2.3574341686508404,direct_fk_observed_join,fiben_financial_service_accounts,fiben_transactions,,FINANCIALSERVICEACCOUNTID,ISFACILITATEDBY,,,97270,200000,97270,84838,200000,84838,84838,SecuritiesTransaction points to FinancialServiceAccount through ISFACILITATEDBY.,True,schemalens_artifact_consistent,200000,
transaction_refers_to_listed_security,Transaction -- ListedSecurity [transaction_refers_to_listed_security],association,Transaction,ListedSecurity,direct,high,observed_N_to_M,computed,high_confidence_observed,1.0,72.85974499089254,direct_fk_observed_join,fiben_transactions,fiben_listed_securities,,REFERSTO,LISTEDSECURITYID,,,200000,2745,2745,2745,200000,2745,2745,SecuritiesTransaction points to ListedSecurity through REFERSTO.,True,schemalens_artifact_consistent,200000,
buy_transaction_is_transaction,BuyTransaction -- Transaction [buy_transaction_is_transaction],subtype,BuyTransaction,Transaction,subtype_alias,medium,observed_1_to_1,computed,needs_review_medium_hint_confidence,1.0,1.0,subtype_or_observed_1_to_1,fiben_buy_transactions,fiben_transactions,,SECURITIESTRANSACTIONID,SECURITIESTRANSACTIONID,,,200000,200000,200000,200000,200000,200000,200000,BuyTransaction is currently a conceptual alias over SecuritiesTransaction.,True,schemalens_artifact_consistent,200000,
