relationship_name,hint_type,source_entity,target_entity,source_view,target_view,source_column,target_column,bridge_view,source_view_exists,target_view_exists,bridge_view_exists,source_column_exists,target_column_exists,bridge_columns_exist,confidence,is_valid,notes
corporation_has_industry,direct,Corporation,Industry,fiben_corporations,fiben_industries,ISCLASSIFIEDBY,INDUSTRYSECTORCLASSIFIERID,,True,True,,True,True,,high,True,Corporation points to IndustrySectorClassifier through ISCLASSIFIEDBY.
corporation_has_country,direct,Corporation,Country,fiben_corporations,fiben_countries,ISDOMICILEDIN,COUNTRYID,,True,True,,True,True,,high,True,Corporation points to Country through ISDOMICILEDIN.
corporation_has_listed_security,bridge,Corporation,ListedSecurity,fiben_corporations,fiben_listed_securities,CORPORATIONID,LISTEDSECURITYID,fiben_securities,True,True,True,True,True,True,medium,True,Derived path Corporation -> Security -> ListedSecurity.
listed_security_represents_security,direct,ListedSecurity,Security,fiben_listed_securities,fiben_securities,LISTEDSECURITYID,ISTRADEDON,,True,True,,True,True,,medium,True,Security appears to point to ListedSecurity through ISTRADEDON.
person_owns_financial_service_account,direct,Person,FinancialServiceAccount,fiben_persons,fiben_financial_service_accounts,PERSONID,ISOWNEDBY,,True,True,,True,True,,high,True,FinancialServiceAccount points to Person through ISOWNEDBY.
account_has_holding,direct,FinancialServiceAccount,Holding,fiben_financial_service_accounts,fiben_holdings,FINANCIALSERVICEACCOUNTID,ISHELDBY,,True,True,,True,True,,high,True,Holding points to FinancialServiceAccount through ISHELDBY.
holding_refers_to_listed_security,direct,Holding,ListedSecurity,fiben_holdings,fiben_listed_securities,REFERSTO,LISTEDSECURITYID,,True,True,,True,True,,high,True,Holding points to ListedSecurity through REFERSTO.
account_records_transaction,direct,FinancialServiceAccount,Transaction,fiben_financial_service_accounts,fiben_transactions,FINANCIALSERVICEACCOUNTID,ISFACILITATEDBY,,True,True,,True,True,,high,True,SecuritiesTransaction points to FinancialServiceAccount through ISFACILITATEDBY.
transaction_refers_to_listed_security,direct,Transaction,ListedSecurity,fiben_transactions,fiben_listed_securities,REFERSTO,LISTEDSECURITYID,,True,True,,True,True,,high,True,SecuritiesTransaction points to ListedSecurity through REFERSTO.
buy_transaction_is_transaction,subtype_alias,BuyTransaction,Transaction,fiben_buy_transactions,fiben_transactions,SECURITIESTRANSACTIONID,SECURITIESTRANSACTIONID,,True,True,,True,True,,medium,True,BuyTransaction is currently a conceptual alias over SecuritiesTransaction.
sell_transaction_is_transaction,subtype_alias,SellTransaction,Transaction,fiben_sell_transactions,fiben_transactions,SECURITIESTRANSACTIONID,SECURITIESTRANSACTIONID,,True,True,,True,True,,medium,True,SellTransaction is currently a conceptual alias over SecuritiesTransaction.
corporation_has_financial_report,direct,Corporation,FinancialReport,fiben_corporations,fiben_reports,CORPORATIONID,ISPROVIDEDBY,,True,True,,True,True,,high,True,FinancialReport points to Corporation through ISPROVIDEDBY.
financial_report_contains_report_element,direct,FinancialReport,ReportElement,fiben_reports,fiben_report_elements,FINANCIALREPORTID,ISMEMBEROF,,True,True,,True,True,,high,True,ReportElement points to FinancialReport through ISMEMBEROF.
report_element_has_statement_element,direct,ReportElement,StatementElement,fiben_report_elements,fiben_statement_elements,ELEMENTSOFFINANCIALREPORTID,ELEMENTOFFINANCIALSTATEMENTID,,True,True,,True,True,,low,True,Tentative mapping. Needs validation with observed matches.
financial_report_contains_disclosure,direct,FinancialReport,Disclosure,fiben_reports,fiben_disclosures,HASUNIQUEIDENTIFIER,HASUNIQUEIDENTIFIER,,True,True,,True,True,,low,True,Tentative mapping because Disclosure has no obvious report foreign key.
