operation_name,query_id,operation_kind,frequency,description,step_order,conceptual_type,type_kind
Q1_CompanyProfileIBM,Q1,read,1.0,Show the profile of company IBM.,1,Corporation,entity
Q2a_CompanyIndustry,Q2,read,1.0,Show IBM with its industry.,1,Corporation,entity
Q2a_CompanyIndustry,Q2,read,1.0,Show IBM with its industry.,2,corporation_has_industry,relationship
Q2a_CompanyIndustry,Q2,read,1.0,Show IBM with its industry.,3,Industry,entity
Q2b_CompanyCountry,Q2,read,1.0,Show IBM with its country.,1,Corporation,entity
Q2b_CompanyCountry,Q2,read,1.0,Show IBM with its country.,2,corporation_has_country,relationship
Q2b_CompanyCountry,Q2,read,1.0,Show IBM with its country.,3,Country,entity
Q2c_CompanyListedSecurities,Q2,read,1.0,Show IBM with its listed securities.,1,Corporation,entity
Q2c_CompanyListedSecurities,Q2,read,1.0,Show IBM with its listed securities.,2,corporation_has_listed_security,relationship
Q2c_CompanyListedSecurities,Q2,read,1.0,Show IBM with its listed securities.,3,ListedSecurity,entity
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,Show the securities held in each financial service account.,1,FinancialServiceAccount,entity
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,Show the securities held in each financial service account.,2,account_has_holding,relationship
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,Show the securities held in each financial service account.,3,Holding,entity
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,Show the securities held in each financial service account.,4,holding_refers_to_listed_security,relationship
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,Show the securities held in each financial service account.,5,ListedSecurity,entity
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,Show the securities held in each financial service account.,6,listed_security_represents_security,relationship
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,Show the securities held in each financial service account.,7,Security,entity
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,"Show the companies reached from a person through account, holding, and listed security.",1,Person,entity
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,"Show the companies reached from a person through account, holding, and listed security.",2,person_owns_financial_service_account,relationship
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,"Show the companies reached from a person through account, holding, and listed security.",3,FinancialServiceAccount,entity
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,"Show the companies reached from a person through account, holding, and listed security.",4,account_has_holding,relationship
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,"Show the companies reached from a person through account, holding, and listed security.",5,Holding,entity
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,"Show the companies reached from a person through account, holding, and listed security.",6,holding_refers_to_listed_security,relationship
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,"Show the companies reached from a person through account, holding, and listed security.",7,ListedSecurity,entity
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,"Show the companies reached from a person through account, holding, and listed security.",8,corporation_has_listed_security,relationship
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,"Show the companies reached from a person through account, holding, and listed security.",9,Corporation,entity
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,Show the financial reports of a company and the statement metric data contained in each report.,1,Corporation,entity
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,Show the financial reports of a company and the statement metric data contained in each report.,2,corporation_has_financial_report,relationship
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,Show the financial reports of a company and the statement metric data contained in each report.,3,FinancialReport,entity
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,Show the financial reports of a company and the statement metric data contained in each report.,4,financial_report_contains_report_element,relationship
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,Show the financial reports of a company and the statement metric data contained in each report.,5,ReportElement,entity
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,Show the financial reports of a company and the statement metric data contained in each report.,6,report_element_has_statement_element,relationship
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,Show the financial reports of a company and the statement metric data contained in each report.,7,StatementElement,entity
Q5b_ReportsAndDisclosuresOfCompany,Q5,read,1.0,Show the financial reports of a company and the disclosure data contained in each report.,1,Corporation,entity
Q5b_ReportsAndDisclosuresOfCompany,Q5,read,1.0,Show the financial reports of a company and the disclosure data contained in each report.,2,corporation_has_financial_report,relationship
Q5b_ReportsAndDisclosuresOfCompany,Q5,read,1.0,Show the financial reports of a company and the disclosure data contained in each report.,3,FinancialReport,entity
