scale_label,query_name,best_candidate_id,best_g_class,best_group,best_design_pattern,best_n_components,best_docs_examined,best_keys_examined,best_estimated_docs_examined_bytes,best_has_COLLSCAN,best_has_GROUP,best_collections_touched
sf1,Q1_CompanyProfileIBM,q1_company_profile_ibm__g0__root_only,G0,primary,root_only_collection,1,1,1,431.0,False,False,corporations
sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,q2_company_with_industry_country_and_listed_securities__g3__association_references,G3,primary,association_references,4,4,4,1126.0,False,False,corporations_with_references;countries;industries;listed_securities
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g3__association_references,G3,primary,association_references,4,7,11,1798.0,False,False,financial_service_accounts_with_references;holdings;listed_securities;securities
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,primary,deep_nested_document,4,2446,182,1025218.0,True,False,corporations;holdings;persons_deep_nested;securities
sf1,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__g4__deep_nested_path,G4,primary,deep_nested_document,3,6718,8263,1065417.0,False,False,corporations_deep_nested;report_elements;statement_elements
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,G3,primary,association_references,6,5514,5301,1057424.0,True,False,corporations;countries;industries;listed_securities;listed_securitys_with_references;securities
sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,3,359,359,125789.0,False,True,securities;transactions
sf1,Q8_IBMTransactionsBelowAverageSellingPrice,q8_ibmtransactions_below_average_selling_price__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,3,359,359,125789.0,False,True,securities;transactions
sf1,Q9_PersonsWhoBoughtAndSoldSameStock,q9_persons_who_bought_and_sold_same_stock__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,2,458,458,160758.0,False,True,transactions
sf10,Q1_CompanyProfileIBM,q1_company_profile_ibm__g0__root_only,G0,primary,root_only_collection,1,1,1,536.0,False,False,corporations
