semantic_view,file_path,file_name,file_size_bytes,delimiter,n_columns,columns,n_rows,row_count_policy
fiben_buy_transactions,/home/hudson/Documents/framework_test/fiben/data full/SECURITIESTRANSACTION.csv,SECURITIESTRANSACTION.csv,48410000,",",7,"['600000000000', '150000033539', '10000', '1003213', '2', '2015-10-07-14.59.03.000000', '+2.48800000000000E+003']",,not_counted
fiben_corporations,/home/hudson/Documents/framework_test/fiben/data full/CORPORATION.csv,CORPORATION.csv,100677,",",5,"['1000', '7372', '237', 'ACCL', 'Accelrys']",,not_counted
fiben_countries,/home/hudson/Documents/framework_test/fiben/data full/COUNTRY.csv,COUNTRY.csv,5925,",",3,"['1', 'Afghanistan', '4']",,not_counted
fiben_disclosures,/home/hudson/Documents/framework_test/fiben/data full/DISCLOSURE.csv,DISCLOSURE.csv,39192836,",",15,"['21585325', '2015', '20150930', '10-Q', 'Q3', 'USD', 'instant', 'us-gaap/2015_AccountsPayableCurrent', '20150930.1', 'false', '+3.88000000000000E+008', '2015.1', 'http://fasb.org/us-gaap/2015', 'amd-20150926.xml', 'Q3.1']",,not_counted
fiben_financial_service_accounts,/home/hudson/Documents/framework_test/fiben/data full/FINANCIALSERVICEACCOUNT.csv,FINANCIALSERVICEACCOUNT.csv,7587060,",",5,"['150000000000', '400000000000', '400000050047', '104164783', '2012-01-16-00.00.00.000000']",,not_counted
fiben_holdings,/home/hudson/Documents/framework_test/fiben/data full/HOLDING.csv,HOLDING.csv,37290686,",",5,"['500000000000', '150000000000', '1003507', 'Stock RLI', '+2.73657600000000E+003']",,not_counted
fiben_industries,/home/hudson/Documents/framework_test/fiben/data full/INDUSTRYSECTORCLASSIFICATIONSCHEME.csv,INDUSTRYSECTORCLASSIFICATIONSCHEME.csv,21,",",3,"['1', 'SIC_SCHEME', 'SIC']",,not_counted
fiben_listed_securities,/home/hudson/Documents/framework_test/fiben/data full/LISTEDSECURITY.csv,LISTEDSECURITY.csv,198362,",",5,"['1001000', '1000', '2015-05-20-00.00.00.000000', 'DDD', '3D Systems Corporation']",,not_counted
fiben_persons,/home/hudson/Documents/framework_test/fiben/data full/PERSON.csv,PERSON.csv,5000058,",",9,"['400000000000', '99', '135', 'Male', '1959-03-14-00.00.00.000000', 'Montse McDougal', 'McDougal', 'Montse', 'Sachem']",,not_counted
fiben_report_elements,/home/hudson/Documents/framework_test/fiben/data full/ELEMENTSOFFINANCIALREPORT.csv,ELEMENTSOFFINANCIALREPORT.csv,136774513,",",2,"['62063948', '1156402']",,not_counted
fiben_reports,/home/hudson/Documents/framework_test/fiben/data full/FINANCIALREPORT.csv,FINANCIALREPORT.csv,1738836,",",3,"['1001821', '1693', '0000003499-14-000005']",,not_counted
fiben_securities,/home/hudson/Documents/framework_test/fiben/data full/SECURITY.csv,SECURITY.csv,41175,",",3,"['1001000', '1', '1070']",,not_counted
fiben_sell_transactions,/home/hudson/Documents/framework_test/fiben/data full/SECURITIESTRANSACTION.csv,SECURITIESTRANSACTION.csv,48410000,",",7,"['600000000000', '150000033539', '10000', '1003213', '2', '2015-10-07-14.59.03.000000', '+2.48800000000000E+003']",,not_counted
fiben_statement_elements,/home/hudson/Documents/framework_test/fiben/data full/ELEMENTOFFINANCIALSTATEMENT.csv,ELEMENTOFFINANCIALSTATEMENT.csv,81779585,",",15,"['32375187', '2016', '20160630', '10-K', 'Q4', 'USD', 'instant', 'us-gaap/2015_LiabilitiesCurrent', '20160630.1', 'false', '+8.41100000000000E+007', '2016.1', 'http://fasb.org/us-gaap/2015', 'ktcc-20160702.xml', 'Q4.1']",,not_counted
fiben_transactions,/home/hudson/Documents/framework_test/fiben/data full/SECURITIESTRANSACTION.csv,SECURITIESTRANSACTION.csv,48410000,",",7,"['600000000000', '150000033539', '10000', '1003213', '2', '2015-10-07-14.59.03.000000', '+2.48800000000000E+003']",,not_counted
