collection,index,reason,status
lmm_corporation,corporationid,planned_collection_index,created
lmm_corporation,isprovidedby,planned_collection_index,created
lmm_corporation,isdomiciledin,planned_collection_index,created
lmm_corporation,countryid,planned_collection_index,created
lmm_corporation,isclassifiedby,planned_collection_index,created
lmm_corporation,industrysectorclassifierid,planned_collection_index,created
lmm_corporation,listedsecurityid,planned_collection_index,created
lmm_corporation,istradedon,planned_collection_index,created
lmm_disclosure,hasuniqueidentifier,planned_collection_index,created
lmm_financial_report,financialreportid,planned_collection_index,created
lmm_financial_report,ismemberof,planned_collection_index,created
lmm_financial_report,corporationid,planned_collection_index,created
lmm_financial_report,isprovidedby,planned_collection_index,created
lmm_financial_report,hasuniqueidentifier,planned_collection_index,created
lmm_financial_service_account,financialserviceaccountid,planned_collection_index,created
lmm_financial_service_account,isfacilitatedby,planned_collection_index,created
lmm_financial_service_account,personid,planned_collection_index,created
lmm_financial_service_account,isownedby,planned_collection_index,created
lmm_financial_service_account,isheldby,planned_collection_index,created
lmm_listed_security,refersto,planned_collection_index,created
lmm_listed_security,listedsecurityid,planned_collection_index,created
lmm_listed_security,corporationid,planned_collection_index,created
lmm_listed_security,isprovidedby,planned_collection_index,created
lmm_listed_security,istradedon,planned_collection_index,created
lmm_person,personid,planned_collection_index,created
lmm_person,isownedby,planned_collection_index,created
lmm_report_element,financialreportid,planned_collection_index,created
lmm_report_element,ismemberof,planned_collection_index,created
lmm_report_element,elementsoffinancialreportid,planned_collection_index,created
lmm_report_element,elementoffinancialstatementid,planned_collection_index,created
lmm_security,listedsecurityid,planned_collection_index,created
lmm_security,istradedon,planned_collection_index,created
lmm_sell_transaction,securitiestransactionid,planned_collection_index,created
lmm_statement_element,elementsoffinancialreportid,planned_collection_index,created
lmm_statement_element,elementoffinancialstatementid,planned_collection_index,created
lmm_transaction,securitiestransactionid,planned_collection_index,created
lmm_transaction,refersto,planned_collection_index,created
lmm_transaction,listedsecurityid,planned_collection_index,created
lmm_transaction,financialserviceaccountid,planned_collection_index,created
lmm_transaction,isfacilitatedby,planned_collection_index,created
lmm_transaction,SECURITIESTRANSACTIONID,edge_parent_or_reference_index,created
lmm_transaction,SECURITIESTRANSACTIONID,edge_parent_or_reference_index,created
lmm_buy_transaction,SECURITIESTRANSACTIONID,edge_secondary_collection_index,skipped_missing_collection
lmm_buy_transaction,SECURITIESTRANSACTIONID,edge_secondary_collection_index,skipped_missing_collection
lmm_transaction,SECURITIESTRANSACTIONID,edge_parent_or_reference_index,created
lmm_transaction,SECURITIESTRANSACTIONID,edge_parent_or_reference_index,created
lmm_sell_transaction,SECURITIESTRANSACTIONID,edge_secondary_collection_index,created
lmm_sell_transaction,SECURITIESTRANSACTIONID,edge_secondary_collection_index,created
lmm_transaction,REFERSTO,edge_parent_or_reference_index,created
lmm_transaction,LISTEDSECURITYID,edge_parent_or_reference_index,created
lmm_listed_security,REFERSTO,edge_secondary_collection_index,created
lmm_listed_security,LISTEDSECURITYID,edge_secondary_collection_index,created
lmm_financial_report,FINANCIALREPORTID,edge_parent_or_reference_index,created
lmm_financial_report,ISMEMBEROF,edge_parent_or_reference_index,created
lmm_report_element,FINANCIALREPORTID,edge_secondary_collection_index,created
lmm_report_element,ISMEMBEROF,edge_secondary_collection_index,created
lmm_corporation,CORPORATIONID,edge_parent_or_reference_index,created
lmm_corporation,ISPROVIDEDBY,edge_parent_or_reference_index,created
lmm_financial_report,CORPORATIONID,edge_secondary_collection_index,created
lmm_financial_report,ISPROVIDEDBY,edge_secondary_collection_index,created
lmm_financial_service_account,FINANCIALSERVICEACCOUNTID,edge_parent_or_reference_index,created
lmm_financial_service_account,ISFACILITATEDBY,edge_parent_or_reference_index,created
lmm_transaction,FINANCIALSERVICEACCOUNTID,edge_secondary_collection_index,created
lmm_transaction,ISFACILITATEDBY,edge_secondary_collection_index,created
lmm_person,PERSONID,edge_parent_or_reference_index,created
lmm_person,ISOWNEDBY,edge_parent_or_reference_index,created
lmm_financial_service_account,PERSONID,edge_secondary_collection_index,created
lmm_financial_service_account,ISOWNEDBY,edge_secondary_collection_index,created
lmm_financial_service_account,FINANCIALSERVICEACCOUNTID,edge_parent_or_reference_index,created
lmm_financial_service_account,ISHELDBY,edge_parent_or_reference_index,created
lmm_holding,FINANCIALSERVICEACCOUNTID,edge_secondary_collection_index,skipped_missing_collection
lmm_holding,ISHELDBY,edge_secondary_collection_index,skipped_missing_collection
_src_fiben_holdings,ISHELDBY,auxiliary_embedding_foreign_index,created
lmm_listed_security,REFERSTO,edge_parent_or_reference_index,created
lmm_listed_security,LISTEDSECURITYID,edge_parent_or_reference_index,created
lmm_holding,REFERSTO,edge_secondary_collection_index,skipped_missing_collection
lmm_holding,LISTEDSECURITYID,edge_secondary_collection_index,skipped_missing_collection
_src_fiben_holdings,REFERSTO,auxiliary_embedding_foreign_index,created
lmm_corporation,ISDOMICILEDIN,edge_parent_or_reference_index,created
lmm_corporation,COUNTRYID,edge_parent_or_reference_index,created
lmm_country,ISDOMICILEDIN,edge_secondary_collection_index,skipped_missing_collection
lmm_country,COUNTRYID,edge_secondary_collection_index,skipped_missing_collection
_src_fiben_countries,COUNTRYID,auxiliary_embedding_foreign_index,created
lmm_corporation,ISCLASSIFIEDBY,edge_parent_or_reference_index,created
lmm_corporation,INDUSTRYSECTORCLASSIFIERID,edge_parent_or_reference_index,created
lmm_industry,ISCLASSIFIEDBY,edge_secondary_collection_index,skipped_missing_collection
